age,workclass,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
34,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States
31,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,50,United-States
54,Local-gov,Some-college,Divorced,Craft-repair,Unmarried,White,Male,0,0,42,United-States
57,Private,5th-6th,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,50,United-States
45,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,46,United-States
45,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
20,Local-gov,HS-grad,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States
41,Private,Doctorate,Divorced,Sales,Unmarried,White,Female,0,0,50,United-States
18,Private,11th,Never-married,Other-service,Other-relative,Black,Male,0,0,15,United-States
61,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States
34,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States
31,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,2407,0,65,United-States
39,State-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,70,United-States
28,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
39,Private,11th,Divorced,Craft-repair,Not-in-family,White,Male,0,1876,46,United-States
30,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,99999,0,50,United-States
27,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States
30,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1848,50,United-States
62,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
28,Private,Some-college,Never-married,Prof-specialty,Own-child,Black,Female,0,0,40,United-States
34,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
18,Private,Some-college,Never-married,Other-service,Own-child,White,Male,0,0,8,United-States
21,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,0,0,30,United-States
30,Private,7th-8th,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States
38,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
39,Federal-gov,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States
69,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,33,United-States
28,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States
45,Local-gov,Bachelors,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,7298,0,40,United-States
20,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States
37,Private,HS-grad,Never-married,Other-service,Unmarried,Black,Male,0,0,40,United-States
34,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
27,Private,HS-grad,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States
61,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States
27,Self-emp-inc,Some-college,Separated,Sales,Own-child,White,Female,0,0,40,United-States
39,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,38,United-States
54,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,36,United-States
17,Private,10th,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States
56,Private,Masters,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States
22,Private,HS-grad,Never-married,Exec-managerial,Own-child,White,Female,0,0,20,United-States
39,Private,Some-college,Married-civ-spouse,Adm-clerical,Own-child,Black,Female,0,0,50,United-States
24,Private,HS-grad,Never-married,Other-service,Unmarried,White,Male,0,0,40,El-Salvador
33,Federal-gov,Masters,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,Nicaragua
28,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,80,United-States
41,Private,5th-6th,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Mexico
50,Private,Assoc-voc,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,40,United-States
19,Private,11th,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States
18,Private,11th,Never-married,Prof-specialty,Own-child,White,Male,0,0,15,United-States
25,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States
47,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,15024,0,40,United-States
21,Private,HS-grad,Separated,Farming-fishing,Own-child,White,Male,0,0,40,United-States
28,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,45,United-States
23,Private,11th,Never-married,Other-service,Other-relative,White,Male,0,0,40,Philippines
25,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States
48,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,89,United-States
57,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States
60,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States
45,Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Female,0,0,40,United-States
58,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,52,United-States
47,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
53,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States
48,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,25,United-States
24,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States
21,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States
72,Private,Some-college,Widowed,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0,0,4,United-States
44,Self-emp-inc,Some-college,Never-married,Exec-managerial,Not-in-family,Black,Male,2202,0,45,United-States
26,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
48,Private,HS-grad,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,16,United-States
19,Private,HS-grad,Never-married,Prof-specialty,Own-child,White,Female,0,0,28,United-States
26,Self-emp-not-inc,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Portugal
65,Private,Masters,Divorced,Sales,Not-in-family,White,Male,0,0,28,United-States
39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
35,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,40,United-States
23,Private,Some-college,Never-married,Exec-managerial,Own-child,Other,Male,0,0,24,Peru
25,Private,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,0,0,60,United-States
26,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,70,United-States
39,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States
41,Private,11th,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States
56,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
44,Local-gov,Assoc-voc,Never-married,Craft-repair,Not-in-family,White,Male,0,0,44,United-States
56,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States
55,State-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,1617,40,United-States
29,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States
49,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,2407,0,50,United-States
25,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
47,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
41,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
43,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,0,0,21,Trinadad&Tobago
19,Private,Some-college,Never-married,Transport-moving,Own-child,White,Male,0,0,30,United-States
29,Private,HS-grad,Married-spouse-absent,Other-service,Not-in-family,Other,Female,0,0,40,Columbia
40,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
27,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States
52,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,7298,0,45,United-States
22,Private,Assoc-voc,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States
56,Private,9th,Divorced,Craft-repair,Not-in-family,White,Female,0,0,40,United-States
20,Private,12th,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States
47,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,40,United-States
31,Private,HS-grad,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,30,Mexico
34,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States
18,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,30,United-States
43,Private,HS-grad,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States
18,Local-gov,12th,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-States
57,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
24,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States
29,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,2258,45,United-States
56,Self-emp-not-inc,Some-college,Divorced,Sales,Unmarried,White,Female,0,0,48,United-States
29,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States
36,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States
22,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0,0,45,United-States
21,Private,Assoc-acdm,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States
38,Private,Masters,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50,Italy
23,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States
31,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
19,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States
59,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,0,0,38,United-States
27,Private,Assoc-voc,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
62,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1628,70,United-States
24,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,1408,50,United-States
30,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States
19,Private,HS-grad,Never-married,Prof-specialty,Own-child,Black,Female,0,0,24,United-States
55,Self-emp-not-inc,HS-grad,Widowed,Other-service,Not-in-family,White,Female,0,0,25,Nicaragua
21,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,0,0,30,United-States
58,State-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,16,United-States
45,Self-emp-not-inc,Some-college,Never-married,Sales,Not-in-family,White,Male,0,0,55,United-States
39,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
19,Private,HS-grad,Never-married,Craft-repair,Other-relative,White,Male,0,0,25,Mexico
40,Private,Prof-school,Married-civ-spouse,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines
62,Local-gov,HS-grad,Divorced,Transport-moving,Other-relative,White,Male,0,0,40,United-States
51,Self-emp-not-inc,5th-6th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
30,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,United-States
59,Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States
48,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,20,United-States
72,Private,11th,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
59,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
48,Private,Some-college,Married-civ-spouse,Sales,Husband,Black,Male,0,0,8,United-States
31,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,15024,0,56,United-States
41,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
30,Private,Some-college,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States
54,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
40,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
34,Local-gov,Masters,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States
90,Private,HS-grad,Widowed,Prof-specialty,Not-in-family,White,Female,0,4356,40,United-States
41,Private,HS-grad,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States
27,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
22,Local-gov,Some-college,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Vietnam
29,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States
43,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States
40,Private,Assoc-acdm,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
63,Private,11th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,30,United-States
24,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Wife,Other,Female,0,0,40,Puerto-Rico
21,Private,10th,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States
39,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,4650,0,40,United-States
22,Private,Some-college,Never-married,Sales,Own-child,Black,Female,0,0,40,United-States
29,Private,HS-grad,Separated,Prof-specialty,Unmarried,Black,Female,0,0,20,United-States
48,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico
22,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
29,Private,HS-grad,Never-married,Machine-op-inspct,Other-relative,Other,Male,0,0,40,Ecuador
44,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,Other,Female,0,0,30,Mexico
38,Private,10th,Widowed,Transport-moving,Unmarried,Black,Male,114,0,40,United-States
31,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,60,India
39,Private,5th-6th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico
37,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States
28,Private,Some-college,Divorced,Other-service,Other-relative,Black,Male,0,0,24,United-States
26,State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States
39,Private,Preschool,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,El-Salvador
61,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States
