user_idx,recourse,cost,elicitation,length,mixture_class,model_score
0,1,50.91181503537227,0,2,5,0.19935061
1,1,2.0,0,2,4,0.12766592
2,1,51.910405703408685,0,2,5,0.14145544
3,1,127.16311880058316,0,3,2,0.49692807
4,1,2.0,0,2,4,0.069834515
5,1,350.94352652816497,0,4,3,0.012024565
6,1,2.0,0,2,4,0.09527259
7,1,592.2632136048339,0,3,1,0.011895294
8,1,336.55182551705605,0,3,3,0.011897402
9,1,55.605722000976684,0,2,5,0.09988915
10,1,53.30751474932139,0,2,1,0.21406022
11,1,2.0,0,2,4,0.481334
12,1,173.61014912065767,0,3,5,0.0058755237
13,1,354.73644481664394,0,3,3,0.062315535
14,1,54.479884245396505,0,2,1,0.39990324
15,1,596.9956340979114,0,3,1,0.017227666
16,1,229.62166257255464,0,3,5,0.15410167
17,1,2.0,0,2,0,0.35980552
18,1,299.1357108272257,0,5,3,0.017586874
19,1,52.23235410938962,0,3,4,0.0075014126
20,1,2.0,0,2,4,0.2511207
21,1,626.8524635759267,0,5,5,0.0010251465
22,1,50.61825875614939,0,3,4,0.018503029
23,1,179.37882064801192,0,4,5,0.024704818
24,1,3.0,0,3,0,0.08631718
25,1,605.924428689829,0,3,1,0.054588377
26,1,663.1765092529904,0,4,1,0.0051366836
27,1,4.162762185292877,0,3,0,0.32088813
28,1,2.0,0,2,4,0.1839525
29,1,327.4847338726201,0,3,3,0.004512585
30,1,2.0,0,2,4,0.4793886
31,1,2.0,0,2,0,0.15276177
32,1,2.0,0,2,4,0.1764376
33,1,3.0,0,3,0,0.13365352
34,1,593.4140839919219,0,3,1,0.006996702
35,1,84.2423692732755,0,2,3,0.48744112
36,1,90.63116344471484,0,2,2,0.19223104
37,1,21.277089553813948,0,2,3,0.41423777
38,1,31.20383744912081,0,2,4,0.02838313
39,1,430.27610492872066,0,3,2,0.009760104
40,1,95.60248269595238,0,6,2,0.039692476
41,1,17.291125884506016,0,5,0,0.011243696
42,1,52.891290669508464,0,2,1,0.27884188
