user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
0,1,33.70290552626393,0,2,5,0.0,2028.0
1,1,2.0,0,2,4,0.0,2028.0
2,1,282.4055598644169,0,3,0,0.0,2028.0
3,1,593.2884487503834,0,4,5,0.0,2028.0
4,1,709.9458231856354,0,5,3,0.0,2028.0
5,1,2.0,0,2,4,0.0,2028.0
6,0,78.09447627549193,0,2,2,0.0,2028.0
7,1,2.0,0,2,4,0.0,2028.0
8,0,128.5285675881698,0,2,1,0.0,2028.0
9,0,0.0,0,0,3,0.0,2028.0
10,1,2.0,0,2,2,0.0,2028.0
11,1,37.08005241702446,0,2,5,0.0,2028.0
12,1,56.24891746711648,0,2,1,0.0,2028.0
13,1,55.45862579099099,0,2,1,0.0,2028.0
14,1,80.2375587590848,0,2,2,0.0,2028.0
15,1,36.59893835851007,0,2,5,0.0,2028.0
16,1,36.6166264457983,0,3,5,0.0,2028.0
17,1,179.2380240732612,0,4,0,0.0,2028.0
18,1,56.23783613619798,0,3,5,0.0,2028.0
19,1,62.10306152763036,0,2,1,0.0,2028.0
20,1,56.53017668925372,0,2,1,0.0,2028.0
21,1,55.224735364990075,0,2,1,0.0,2028.0
22,1,86.03805261935346,0,2,2,0.0,2028.0
23,1,134.90672664937802,0,2,0,0.0,2028.0
24,1,23.912500663580836,0,2,3,0.0,2028.0
25,1,220.8020313550443,0,4,4,0.0,2028.0
26,1,35.804796732384304,0,3,5,0.0,2028.0
27,0,1.0,0,1,5,0.0,2028.0
28,1,33.70134079019595,0,2,5,0.0,2028.0
29,1,2.0,0,2,4,0.0,2028.0
30,1,193.26737247768548,0,3,4,0.0,2028.0
31,1,281.3094589752284,0,3,3,0.0,2028.0
32,1,32.9052321651253,0,3,5,0.0,2028.0
33,1,35.95876945482386,0,2,5,0.0,2028.0
34,1,80.11479057780109,0,3,2,0.0,2028.0
35,1,34.802422149913404,0,2,5,0.0,2028.0
36,1,79.43278486421184,0,3,2,0.0,2028.0
37,1,42.10500286209529,0,3,4,0.0,2028.0
38,1,38.1946810146583,0,3,3,0.0,2028.0
39,1,25.464654486734467,0,2,3,0.0,2028.0
40,1,88.94368039646974,0,2,2,0.0,2028.0
41,1,142.23531729242734,0,2,0,0.0,2028.0
42,1,35.36444702452977,0,3,5,0.0,2028.0
43,1,35.32990832536471,0,3,4,0.0,2028.0
44,1,142.753403852725,0,2,0,0.0,2028.0
45,1,35.36176872439553,0,2,5,0.0,2028.0
46,1,2.0,0,2,4,0.0,2028.0
