user_idx,recourse,cost,elicitation,length,mixture_class,model_score
0,1,91.65107024595204,1.0,6,2,0.011666418
1,1,424.46271749141204,1.0,3,2,0.0067552933
2,0,1.0,1.0,1,2,0.0046702046
3,1,55.4302453568812,1.0,3,4,0.0071567316
4,1,286.9517467213053,1.0,4,3,0.01103166
5,1,734.8404778931549,1.0,4,1,0.0006690775
6,1,21.393728452579353,1.0,3,4,0.008582012
7,1,334.7857240596609,1.0,3,3,0.00867202
8,1,359.84309834977086,1.0,3,3,0.010004805
9,1,587.3538038208354,1.0,3,1,0.004873253
10,1,181.82166609107372,1.0,3,5,0.005717034
11,1,589.2810265837466,1.0,3,1,0.011287542
12,1,33.71686609595909,1.0,3,4,0.0075941556
13,1,181.8611126705873,1.0,3,0,0.016154835
14,1,587.2855047849171,1.0,5,2,0.007899395
15,1,176.45126092472586,1.0,3,5,0.016890232
16,1,589.6645609987847,1.0,3,1,0.013482074
17,1,434.62081834251154,1.0,6,0,0.0033275462
18,1,589.4805367856706,1.0,3,1,0.0043179463
19,1,567.2738227626396,1.0,5,2,0.006296907
20,1,184.3608891408339,1.0,3,0,0.00397609
21,1,367.63051780508886,1.0,5,3,0.01110073
22,1,184.00212558584292,1.0,3,0,0.015818436
23,1,581.5107745150569,1.0,6,2,0.012783362
24,1,147.97402225364806,1.0,5,5,0.0059897737
25,1,588.6386737178584,1.0,3,1,0.013515342
26,1,39.289161071731456,1.0,3,4,0.01266198
27,0,13.33901039817832,1.0,3,3,0.0067663593
28,1,535.6098751356689,1.0,4,2,0.0020622823
29,1,681.9417296910381,1.0,6,5,0.0038908788
30,1,367.4424875858384,1.0,4,0,0.0040410855
31,1,421.79996703361485,1.0,3,2,0.014811895
32,1,603.8229803553793,1.0,3,1,0.004960529
33,1,588.2064110897489,1.0,3,1,0.012296709
34,1,557.2393264244278,1.0,5,3,0.010382076
35,1,596.8225553220476,1.0,3,1,0.01500824
36,1,5.0,1.0,5,0,0.016217716
37,1,7.693950054692031,1.0,4,0,0.015420692
38,1,180.03926804219762,1.0,3,5,0.0066505247
39,1,604.2253683503186,1.0,3,1,0.007936981
40,1,56.23193642117057,1.0,3,4,0.0072428673
41,1,663.1765092529904,1.0,4,1,0.0051366864
42,1,170.5826320643818,1.0,3,5,0.0046846676
43,1,175.36708855756663,1.0,3,5,0.011065808
44,1,436.70168986076965,1.0,4,2,0.007330283
45,1,602.6859908167594,1.0,3,1,0.00931157
46,1,328.99682621814276,1.0,3,3,0.0050617224
47,1,580.3904624176374,1.0,3,1,0.011517542
48,1,166.11827630021463,1.0,3,5,0.002149206
49,1,472.31290395165337,1.0,6,4,0.0007754221
50,1,336.55182551705605,1.0,3,3,0.011897402
51,1,341.77821646506266,1.0,3,3,0.005894857
52,1,50.82735261309627,1.0,3,4,0.007899395
53,1,593.595080723419,1.0,3,1,0.014803041
54,1,593.724188423218,1.0,3,1,0.0058755237
55,1,422.02546391640914,1.0,3,2,0.00564713
56,1,4.0,1.0,4,0,0.006016269
57,1,167.27831978201297,1.0,3,5,0.004269491
58,1,374.39346253278205,1.0,6,3,0.0065005114
59,1,441.7823940429321,1.0,4,2,0.011356258
60,1,358.44060098015893,1.0,4,3,0.013499134
61,0,15.28355080198116,1.0,6,3,0.011504959
62,1,586.5420643951201,1.0,3,1,0.006712922
63,1,40.738805178642096,1.0,3,4,0.010224837
64,1,8.853679336914027,1.0,4,0,0.011924143
65,1,52.250005927983224,1.0,3,4,0.010192844
66,1,571.9870598701383,1.0,6,2,0.011705199
67,1,28.41565007689084,1.0,3,4,0.016897842
68,1,143.83798989016483,1.0,5,5,0.012257054
69,1,606.1361966745776,1.0,3,1,0.008143386
70,1,542.0707355781415,1.0,4,2,0.004437174
71,1,335.2515425147402,1.0,3,3,0.0060322015
72,1,600.6120010016411,1.0,3,1,0.008011149
73,1,51.71918753153514,1.0,3,4,0.0141649265
74,1,4.0,1.0,4,0,0.009833556
75,1,318.7182782408757,1.0,5,0,0.011262606
76,1,544.2377607812995,1.0,4,2,0.0039758882
77,0,6.0,1.0,6,2,0.013400532
78,1,298.5877350962482,1.0,5,3,0.011453713
79,1,324.95619091547564,1.0,3,3,0.004338918
80,1,612.5700972562956,1.0,5,5,0.007850357
81,1,4.0,1.0,4,0,0.012833659
82,1,589.8174984378416,1.0,3,1,0.0047718654
83,1,607.0432771510399,1.0,3,1,0.008340538
84,1,52.79213824259131,1.0,3,4,0.009468404
85,1,422.5894487011334,1.0,3,2,0.00931443
86,1,583.5739178805931,1.0,3,1,0.00645494
87,1,183.45285454905408,1.0,3,0,0.010595009
88,1,323.9896997182955,1.0,4,0,0.008158274
89,1,171.4724572924955,1.0,3,5,0.0038462672
90,1,44.32654726516937,1.0,3,4,0.016467728
91,1,371.46769351230864,1.0,6,3,0.004098925
92,1,166.38992542652184,1.0,3,5,0.0045689386
93,1,337.2584716926989,1.0,3,3,0.0048082056
94,1,545.2327927258254,1.0,5,2,0.0066320337
95,1,325.48136296388935,1.0,3,3,0.0052567115
96,1,173.85677368589643,1.0,3,5,0.004867415
97,1,415.36223719829115,1.0,3,2,0.017049655
98,1,425.4368246640206,1.0,3,2,0.012767647
99,1,603.7269633892776,1.0,3,1,0.008871724
100,1,528.6975285319902,1.0,4,2,0.010536973
101,1,46.83675833822977,1.0,3,4,0.009709298
102,1,343.0857475353746,1.0,3,3,0.008858326
103,1,168.94216792754867,1.0,4,5,0.017566174
104,1,52.69744898236536,1.0,3,4,0.010913167
105,1,426.8692847314377,1.0,3,2,0.01439833
106,1,177.59743349056106,1.0,4,5,0.013499134
107,1,338.27532349361263,1.0,3,3,0.0058954014
108,1,328.14841764870596,1.0,3,3,0.008895327
109,1,4.120448273676459,1.0,4,0,0.011132423
110,1,415.7028018401437,1.0,3,2,0.013280072
111,1,599.9045736034539,1.0,3,1,0.014581653
112,1,45.41312679150769,1.0,3,4,0.0048044105
113,1,426.33316306604434,1.0,3,2,0.0032435732
114,1,362.77325747996485,1.0,6,4,0.0044983886
115,1,241.05845095509966,1.0,6,0,0.006261014
116,1,48.964823629637806,1.0,3,4,0.009333157
117,1,379.62300026898436,1.0,4,2,0.017596515
118,1,49.638273600483885,1.0,3,4,0.013617121
119,1,46.482741567494784,1.0,3,4,0.010914135
120,1,356.2729852769725,1.0,4,3,0.010040641
121,1,140.5592265758505,1.0,5,5,0.006617972
122,1,169.8756205902135,1.0,3,5,0.007872501
123,1,323.63434899650423,1.0,3,3,0.002149206
124,1,331.619701952464,1.0,3,3,0.004716184
125,1,182.42067887918157,1.0,3,5,0.009683372
126,1,429.84106439514454,1.0,6,3,0.0038051575
127,1,580.4024873809772,1.0,5,3,0.004839089
128,1,591.8344061249567,1.0,3,1,0.0035109078
129,1,348.16613696404016,1.0,4,3,0.013129271
130,1,306.1872872269793,1.0,5,3,0.01670559
131,1,411.06270206763327,1.0,3,2,0.0029874668
132,1,331.1881292392202,1.0,3,3,0.009128682
133,0,6.0,1.0,6,0,0.0065862797
