user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
0,1,25.520437938629993,0,4,5,0.19935061,2030.0
1,1,2.0,0,2,4,0.12766592,2030.0
2,1,140.51734406731043,0,2,5,0.14145544,2030.0
3,1,2.0,0,2,2,0.49692807,2030.0
4,1,2.0,0,2,4,0.069834515,2030.0
5,1,321.6554656047004,0,3,3,0.012024565,2030.0
6,1,2.0,0,2,4,0.09527259,2030.0
7,1,592.2632136048339,0,3,1,0.011895294,2030.0
8,1,327.5377297224832,0,3,3,0.011897402,2030.0
9,1,51.58388692658453,0,3,5,0.09988915,2030.0
10,1,259.1988451052896,0,4,1,0.21406022,2030.0
11,1,2.0,0,2,4,0.481334,2030.0
12,1,168.22421070302818,0,3,5,0.0058755237,2030.0
13,1,303.60731803038317,0,2,3,0.062315535,2030.0
14,1,74.95852351110075,0,2,1,0.39990324,2030.0
15,1,541.691561919569,0,2,1,0.017227666,2030.0
16,1,141.9839158510166,0,2,5,0.15410167,2030.0
17,1,2.0,0,2,0,0.35980552,2030.0
18,1,319.25654705158485,0,3,3,0.017586874,2030.0
19,1,52.23235410938962,0,3,4,0.0075014126,2030.0
20,1,2.0,0,2,4,0.2511207,2030.0
21,1,611.2941574641058,0,4,5,0.0010251465,2030.0
22,1,50.61825875614939,0,3,4,0.018503029,2030.0
23,1,139.21343477800139,0,5,5,0.024704823,2030.0
24,1,2.0,0,2,0,0.08631718,2030.0
25,1,562.0509462389588,0,2,1,0.054588377,2030.0
26,1,724.8523940458125,0,4,1,0.0051366836,2030.0
27,1,2.0,0,2,0,0.32088813,2030.0
28,1,2.0,0,2,4,0.1839525,2030.0
29,1,318.8039250654864,0,3,3,0.004512585,2030.0
30,1,2.0,0,2,4,0.4793886,2030.0
31,1,2.0,0,2,0,0.15276177,2030.0
32,1,2.0,0,2,4,0.1764376,2030.0
33,1,3.0,0,3,0,0.13365352,2030.0
34,1,593.4140839919219,0,3,1,0.006996702,2030.0
35,1,2.0,0,2,3,0.48744112,2030.0
36,1,90.63116344471484,0,2,2,0.19223104,2030.0
37,1,3.2016184901143525,0,3,3,0.41423777,2030.0
38,1,31.20383744912081,0,2,4,0.02838313,2030.0
39,1,427.00389967753455,0,3,2,0.009760104,2030.0
40,1,356.6301450729945,0,6,2,0.039692476,2030.0
41,1,167.86536300181396,0,3,0,0.011243696,2030.0
