user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,False,174.96602903493908,1.0,4,5,0.004368610578444143,2027.0
1,False,107.69009440097506,1.0,3,4,0.0005305945528627418,2027.0
2,True,344.496726175932,1.0,4,3,0.007614926997359348,2027.0
3,True,329.89282311708683,1.0,3,3,0.011843593064926359,2027.0
4,True,780.8572534046575,1.0,5,1,0.01107155783258247,2027.0
5,True,411.83857921922606,1.0,4,2,0.017588763616861458,2027.0
6,True,154.2316433046094,1.0,4,4,0.017301115664107386,2027.0
7,True,324.77932102793477,1.0,4,3,0.01762949601083501,2027.0
8,False,356.69139547854166,1.0,4,3,0.0037354361413345443,2027.0
9,False,663.8250456550954,1.0,4,1,0.001327906812214225,2027.0
10,True,48.964823629637806,1.0,3,4,0.011077141046272675,2027.0
11,False,172.50226339393996,1.0,4,5,0.00044671528443562,2027.0
12,False,241.8230039990626,1.0,4,1,0.00019505038769118555,2027.0
13,True,234.62751528917713,1.0,4,4,0.004895677152287276,2027.0
14,False,86.55371420678604,1.0,2,2,0.004284238940569321,2027.0
15,True,613.2986120323619,1.0,3,1,0.017539274307111153,2027.0
16,False,171.01058027897363,1.0,3,0,0.0017549304250327386,2027.0
17,True,53.40952070850766,1.0,3,4,0.009004529399509447,2027.0
18,True,652.9410244649225,1.0,4,1,0.007834701128572898,2027.0
19,True,404.0062948284269,1.0,3,2,0.0030441180924349735,2027.0
20,True,586.8492717889958,1.0,5,2,0.006995280837132078,2027.0
21,True,40.32628603310384,1.0,3,4,0.016960254505381103,2027.0
22,True,263.6897844806658,1.0,5,4,0.0043435054960108115,2027.0
23,False,54.4112469960675,1.0,2,1,0.005580158570767378,2027.0
24,True,163.62595833648425,1.0,3,5,0.012122861213455011,2027.0
25,False,161.62144641749984,1.0,3,5,0.0017223725224642947,2027.0
26,False,38.45430484600381,1.0,3,3,0.006787181185637181,2027.0
27,True,170.67770243346112,1.0,4,5,0.0079759600548121,2027.0
28,True,411.10329730549967,1.0,5,3,0.0017044360590319416,2027.0
29,True,435.57017439738485,1.0,5,4,0.0192916254732332,2027.0
30,False,46.9106501055157,1.0,3,5,0.01144235589309897,2027.0
31,True,349.13583419178667,1.0,5,0,0.0036727335158930835,2027.0
32,True,339.09906987953946,1.0,3,3,0.01734414437514652,2027.0
33,True,164.28225617823995,1.0,3,5,0.0029348888324608213,2027.0
34,True,169.64233651305977,1.0,3,5,0.01876035624721056,2027.0
35,True,47.871853471447025,1.0,3,4,0.014133179625712311,2027.0
36,True,537.1119929222607,1.0,4,2,0.01746814496745786,2027.0
37,False,587.9514765614764,1.0,3,1,0.0018029054654066289,2027.0
38,True,239.1984666321208,1.0,5,5,0.001955692980492248,2027.0
39,False,248.84015093140147,1.0,4,1,0.012032475220445092,2027.0
40,False,769.3914411178702,1.0,5,1,0.00044483888029462915,2027.0
41,False,186.63050649200648,1.0,4,5,0.011593953122054254,2027.0
42,True,349.24069122884566,1.0,4,3,0.010201798978411794,2027.0
43,False,45.1425197899733,1.0,2,5,0.011572080970656075,2027.0
44,True,46.726255817661155,1.0,3,4,0.006085493545395296,2027.0
45,True,233.74095079457112,1.0,5,5,0.0006365080068592736,2027.0
46,True,160.052808890513,1.0,4,4,0.01928647032358651,2027.0
47,True,484.41067173029296,1.0,5,0,0.0008122137616199458,2027.0
48,True,56.336218521539095,1.0,3,4,0.008314140567149172,2027.0
49,True,233.6629586704604,1.0,5,5,0.0031099636043658853,2027.0
50,False,415.30754123380285,1.0,4,2,0.0018982785166654962,2027.0
51,True,586.0894096752497,1.0,3,1,0.015153830203625339,2027.0
52,True,245.58227860630353,1.0,4,4,0.010013514464650134,2027.0
53,True,588.766552151348,1.0,3,1,0.009969625932093934,2027.0
54,True,433.05358161543006,1.0,4,2,0.017534186350081832,2027.0
55,False,778.8285340973093,1.0,5,1,0.0006967117442002444,2027.0
56,True,710.2076221500272,1.0,4,1,0.01157881461077525,2027.0
57,False,128.37511054000632,1.0,5,3,0.006337822123201924,2027.0
58,True,423.0788450563829,1.0,4,2,0.009646332143507613,2027.0
59,False,490.51195289195016,1.0,4,0,0.011202549228160202,2027.0
60,False,163.64335445529903,1.0,3,5,0.0036594812908114648,2027.0
61,False,298.1001670728835,1.0,4,4,0.009454054553033246,2027.0
62,True,353.4043516779279,1.0,5,0,0.002339982028997329,2027.0
63,True,234.37433689916088,1.0,5,5,0.01646512219681469,2027.0
64,True,347.8315304213345,1.0,4,3,0.012527951648712184,2027.0
65,False,320.48085142580015,1.0,3,3,0.0022497685397828236,2027.0
66,True,424.1034402312562,1.0,5,2,0.007406147374183094,2027.0
67,False,149.2672302622874,1.0,3,0,0.013020795140376639,2027.0
68,True,656.1506791025016,1.0,4,1,0.017842947355522016,2027.0
69,True,769.6788820838606,1.0,5,1,0.003739382295518383,2027.0
70,True,63.086763524401974,1.0,3,4,0.01962837364276681,2027.0
71,False,169.27229281922965,1.0,3,0,0.0018070781180318815,2027.0
72,True,768.2667917789498,1.0,5,1,0.004488078784602237,2027.0
73,True,170.5572052506551,1.0,4,5,0.01722150477368112,2027.0
74,False,308.7414166408345,1.0,3,3,0.001504947175094524,2027.0
75,True,176.45331441524755,1.0,3,5,0.0032436653047743613,2027.0
76,True,171.024033513257,1.0,3,0,0.01102051099646457,2027.0
77,True,361.14159192287207,1.0,4,3,0.010916601346389061,2027.0
78,True,766.3878161198913,1.0,5,1,0.009107973900052461,2027.0
79,False,167.73251427329149,1.0,3,5,0.005948638444074418,2027.0
80,True,172.4549273923425,1.0,4,5,0.017999394911443214,2027.0
81,True,169.9190859993055,1.0,3,0,0.017111766753820125,2027.0
82,True,430.688295752803,1.0,4,2,0.0029868607965282037,2027.0
83,False,487.5410609301266,1.0,4,0,0.010656549027467339,2027.0
84,True,383.2274023087302,1.0,4,3,0.008985286395893547,2027.0
85,False,169.23406840756678,1.0,3,0,0.0035413034110986907,2027.0
86,True,248.76757912031974,1.0,5,5,0.011145052274813739,2027.0
87,True,433.3976632547012,1.0,3,2,0.012777512862831353,2027.0
88,True,168.32974124363176,1.0,3,5,0.01099040860674044,2027.0
89,True,582.8528785169145,1.0,5,2,0.002708111292725157,2027.0
90,True,166.48431381492966,1.0,4,5,0.007946641697345717,2027.0
91,False,406.64509606206184,1.0,3,2,0.005145711848025813,2027.0
92,True,422.43996665812745,1.0,3,2,0.014869414210231217,2027.0
93,False,207.78237914724193,1.0,4,2,0.004834967479316521,2027.0
94,False,304.43494928923354,1.0,4,0,0.0006896436636888742,2027.0
