user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,False,888.6031316584749,1.0,5,2,0.05228595559776642,2023.0
1,False,625.0193973968554,1.0,4,5,0.3899716158312368,2023.0
2,True,171.5666607498327,1.0,4,5,0.012473636029630001,2023.0
3,False,435.70938040493934,1.0,5,0,0.024770494895785176,2023.0
4,True,124.63972706977572,1.0,3,2,0.4604445972453815,2023.0
5,False,514.7817425322581,1.0,5,4,0.014946270037907591,2023.0
6,True,683.0266634422599,1.0,6,5,0.10147276895982063,2023.0
7,True,2.582249087777029,1.0,2,3,0.39992442050228877,2023.0
8,True,536.8093356058109,1.0,5,5,0.01722150477368112,2023.0
9,True,231.6230587977403,1.0,4,1,0.3425057487914653,2023.0
10,False,767.5510988031431,1.0,6,5,0.005157626291103669,2023.0
11,False,943.7542948292792,1.0,6,3,0.0018051666701270027,2023.0
12,False,921.5352977987152,1.0,5,1,0.1732824115147908,2023.0
13,False,778.4063512735611,1.0,6,5,0.028465268047618557,2023.0
14,True,600.2210717084927,1.0,6,5,0.05536613223859312,2023.0
15,False,870.2819876859311,1.0,5,2,0.02750160137715823,2023.0
16,True,89.32611124752844,1.0,2,2,0.4232000534341501,2023.0
17,True,25.37908408127732,1.0,2,3,0.2812357167034646,2023.0
18,False,114.36948327682175,1.0,4,3,0.0200829527061566,2023.0
19,False,841.9511821224655,1.0,5,2,0.006672329581398587,2023.0
20,False,1.0,1.0,1,2,0.39389017316462427,2023.0
21,True,860.8448309360213,1.0,6,1,0.03174563269684582,2023.0
22,False,899.6839470718,1.0,5,1,0.01503690001086499,2023.0
23,True,481.99588096966716,1.0,6,4,0.013378631156215681,2023.0
24,True,871.2564235672173,1.0,6,1,0.16875120847445627,2023.0
25,True,659.0424937294754,1.0,4,1,0.22617873922786522,2023.0
26,False,361.55889180490954,1.0,4,4,0.009500528126615206,2023.0
27,True,358.8337829968775,1.0,6,4,0.02447753512681869,2023.0
28,False,447.8213802672619,1.0,5,4,0.012730117233949676,2023.0
29,True,33.32808184923907,1.0,2,4,0.41557813115438896,2023.0
30,True,396.9889679618882,1.0,5,4,0.18437652282451727,2023.0
31,False,392.79203438385605,1.0,5,3,0.004605061596437102,2023.0
32,False,262.2607794827095,1.0,4,4,0.039900185057454365,2023.0
33,True,318.84704050654193,1.0,3,0,0.2731887150465431,2023.0
34,False,0.0,1.0,0,4,0.17900580894240567,2023.0
35,True,669.6191618943624,1.0,6,3,0.3007178730444238,2023.0
36,False,685.689761029943,1.0,4,3,0.16576263571390765,2023.0
37,False,284.39210338079465,1.0,6,0,0.004773112582872775,2023.0
38,True,254.8694601783633,1.0,4,1,0.09456806953140104,2023.0
39,False,350.9034114369621,1.0,3,0,0.04246772754619288,2023.0
40,True,118.5611080269491,1.0,2,1,0.18577055952549754,2023.0
41,True,107.4327388233343,1.0,2,4,0.3583262913649552,2023.0
42,False,532.2539916236394,1.0,6,4,0.0005305945528627418,2023.0
43,True,388.5560212264332,1.0,5,1,0.23299865655947702,2023.0
44,False,787.0314512646735,1.0,4,1,0.01023162703586935,2023.0
45,False,498.1962330353972,1.0,3,2,0.05547595663247065,2023.0
46,False,699.7311239579223,1.0,6,5,0.030408778406600882,2023.0
47,True,628.1805699093769,1.0,5,5,0.18751233348672539,2023.0
48,True,2.0,1.0,2,5,0.32728723421964084,2023.0
49,True,585.2028369900348,1.0,4,5,0.12968592537762183,2023.0
50,True,156.89226344024036,1.0,3,4,0.3759870964937654,2023.0
51,False,644.5390850507765,1.0,4,3,0.02026357835639663,2023.0
52,False,667.6176289353344,1.0,4,3,0.04227735747342781,2023.0
53,False,682.3320319446533,1.0,6,5,0.0260131536997365,2023.0
54,False,991.1409074886772,1.0,6,1,0.01184279493263746,2023.0
55,True,251.79850406821618,1.0,6,5,0.29341769164109954,2023.0
56,False,174.5284750622345,1.0,4,5,0.009011367113779206,2023.0
57,False,549.8518493430611,1.0,5,4,0.10817829671294295,2023.0
58,False,671.481017626681,1.0,6,5,0.09704149496618034,2023.0
59,False,854.6480324538336,1.0,6,2,0.0014590871996148773,2023.0
60,False,283.54108610959304,1.0,5,0,0.012275068781988328,2023.0
61,True,2.0,1.0,2,2,0.33549127541815676,2023.0
62,True,226.91594714758173,1.0,5,4,0.1732872723076528,2023.0
63,False,934.0092560317346,1.0,5,1,0.03823741932840384,2023.0
64,True,488.480448043415,1.0,6,4,0.016960254505381103,2023.0
65,False,462.9446279412267,1.0,4,2,0.03498559981609486,2023.0
66,False,1040.6264202584866,1.0,6,1,0.014455090719711723,2023.0
