user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
0,1,209.88073966193454,0,3,2,0.05228595559776642,2030.0
1,1,45.38553578879361,0,2,5,0.3899716158312368,2030.0
2,1,53.11826092733786,0,3,5,0.012473636029630001,2030.0
3,1,183.8137233707045,0,5,0,0.024770494895785176,2030.0
4,1,125.91596278332688,0,2,2,0.4604445972453815,2030.0
5,1,101.4466763977738,0,4,4,0.014946270037907591,2030.0
6,1,47.55959428022638,0,2,5,0.10147276895982063,2030.0
7,1,39.4792416662832,0,2,3,0.39992442050228877,2030.0
8,1,54.063209077809915,0,3,5,0.01722150477368112,2030.0
9,1,55.70838538223976,0,2,1,0.3425057487914653,2030.0
10,1,131.62083307202474,0,5,5,0.005157626291103669,2030.0
11,1,63.14601476123917,0,5,3,0.0018051666701270027,2030.0
12,1,57.704063340396644,0,2,1,0.1732824115147908,2030.0
13,1,48.02093885124343,0,3,5,0.028465268047618557,2030.0
14,1,48.62103446500932,0,3,5,0.05536613223859312,2030.0
15,1,212.69766292703503,0,3,2,0.02750160137715823,2030.0
16,1,51.0896229274703,0,2,2,0.4232000534341501,2030.0
17,1,25.37908408127732,0,2,3,0.2812357167034646,2030.0
18,1,49.42621932674277,0,3,3,0.0200829527061566,2030.0
19,1,542.8592877758902,0,4,2,0.006672329581398587,2030.0
20,1,87.28404726526097,0,2,2,0.39389017316462427,2030.0
21,1,171.5534854191872,0,3,1,0.03174563269684582,2030.0
22,1,169.49791944559982,0,3,1,0.01503690001086499,2030.0
23,1,107.9864098332935,0,3,4,0.013378631156215681,2030.0
24,1,55.18091423555888,0,2,1,0.16875120847445627,2030.0
25,1,56.21424572228574,0,2,1,0.22617873922786522,2030.0
26,1,152.5469944515262,0,4,4,0.009500528126615206,2030.0
27,1,97.75098773529743,0,3,4,0.0244775351268187,2030.0
28,1,110.64632653509128,0,3,4,0.012730117233949676,2030.0
29,1,2.0,0,2,4,0.41557813115438896,2030.0
30,1,2.0,0,2,4,0.18437652282451727,2030.0
31,1,326.80496560366475,0,4,3,0.004605061596437102,2030.0
32,1,112.95607020756947,0,3,4,0.039900185057454365,2030.0
33,1,164.15288618756855,0,2,0,0.2731887150465431,2030.0
34,1,2.0,0,2,4,0.17900580894240567,2030.0
35,1,39.16875725521889,0,2,3,0.3007178730444238,2030.0
36,1,42.79325221245921,0,2,3,0.16576263571390765,2030.0
37,1,342.31802761748304,0,5,0,0.004773112582872775,2030.0
38,1,55.33076618740754,0,2,1,0.09456806953140104,2030.0
39,1,184.51806055819662,0,5,0,0.04246772754619288,2030.0
