user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,True,20.050865253429684,1.0,2,0,0.49083768880595186,2023.0
1,True,62.29776698212169,1.0,2,3,0.3365111668531429,2023.0
2,False,698.1128259008034,1.0,5,5,0.33028730878986,2023.0
3,True,76.30151725536842,1.0,2,1,0.4275121830791395,2023.0
4,True,111.51473083475477,1.0,2,4,0.361677609195608,2023.0
5,True,85.15575662532822,1.0,2,1,0.41372139716775014,2023.0
6,True,17.889699363710836,1.0,2,2,0.31182963169837774,2023.0
7,True,713.3275591400991,1.0,5,5,0.473483396274227,2023.0
8,True,670.9473269919463,1.0,5,5,0.4640954780286948,2023.0
9,True,76.64689428929569,1.0,2,1,0.3662196228806592,2023.0
10,False,215.11927653856844,1.0,4,3,0.04876823617350886,2023.0
11,True,53.5553862120649,1.0,2,0,0.4361577939019977,2023.0
12,True,137.11138581724913,1.0,2,4,0.29160072056817155,2023.0
13,True,2.0,1.0,2,5,0.4601354819802568,2023.0
14,True,113.21650515974163,1.0,2,4,0.41374005631717964,2023.0
15,True,655.1584068127358,1.0,5,5,0.4991024091332422,2023.0
16,False,304.395614637755,1.0,5,2,0.25731535887437806,2023.0
17,True,69.86114231196058,1.0,2,3,0.319583992246371,2023.0
18,False,98.87780487518673,1.0,5,1,0.41339082146512507,2023.0
19,True,22.785986539222108,1.0,2,2,0.3470159402770506,2023.0
20,True,83.43151463189744,1.0,2,1,0.3612398861007986,2023.0
21,True,132.27029614033438,1.0,2,4,0.29931761714343513,2023.0
22,True,62.21795566026701,1.0,2,0,0.3774571620035147,2023.0
23,True,84.27913869101616,1.0,2,1,0.3656084590247478,2023.0
24,False,1.0,1.0,1,2,0.2808926096165812,2023.0
25,False,76.12081335796034,1.0,5,1,0.01994794059369941,2023.0
26,True,151.69133187585513,1.0,2,3,0.2671492942619731,2023.0
27,True,2.0,1.0,2,1,0.39875909829759426,2023.0
28,False,1.0,1.0,1,3,0.28860684706673556,2023.0
29,True,83.38670431707922,1.0,2,0,0.38146286863375,2023.0
30,True,21.469765445849884,1.0,2,2,0.43415559934227843,2023.0
31,False,699.9259515671237,1.0,5,5,0.4457906801494719,2023.0
32,True,75.08584161292781,1.0,2,0,0.2814560170208975,2023.0
33,False,459.9598446232376,1.0,5,0,0.44254659620427156,2023.0
34,True,2.0,1.0,2,5,0.4619752809690493,2023.0
35,True,93.49231088518377,1.0,2,1,0.42672346750273926,2023.0
36,False,333.0419680285329,1.0,5,2,0.01237136112515868,2023.0
37,True,22.23168089103644,1.0,2,2,0.21057827004870905,2023.0
38,True,129.73400168176158,1.0,5,3,0.4792088602470086,2023.0
39,True,2.0,1.0,2,5,0.4087266698245366,2023.0
40,True,61.507685351310144,1.0,2,0,0.2820540261004882,2023.0
41,False,166.4562103793068,1.0,5,4,0.11043757875998265,2023.0
42,True,41.0171539325081,1.0,2,3,0.34082707860615485,2023.0
43,False,186.1130397466734,1.0,5,4,0.1680037061719573,2023.0
44,True,607.1991743662613,1.0,5,5,0.3338794425342358,2023.0
45,True,2.0,1.0,2,5,0.4891285543980761,2023.0
46,True,75.6203982734731,1.0,5,1,0.4602367232587287,2023.0
47,False,116.6600487539618,1.0,5,3,0.019524262679885253,2023.0
48,True,44.02147667412918,1.0,2,3,0.3285542269693064,2023.0
49,False,533.7539495805597,1.0,5,0,0.09250336215178498,2023.0
50,True,2.0,1.0,2,4,0.42625052397827473,2023.0
51,True,82.01610818161423,1.0,2,1,0.32440399789750374,2023.0
52,True,2.0,1.0,2,5,0.4057251958530468,2023.0
53,False,216.01869875660526,1.0,2,5,0.2677265274112762,2023.0
54,True,2.0,1.0,2,5,0.3642687129323423,2023.0
55,False,280.4910164246373,1.0,4,3,0.031988267875369125,2023.0
56,False,92.33211210802942,1.0,5,1,0.43905486444341507,2023.0
57,True,184.108929009912,1.0,5,4,0.48782985632609804,2023.0
58,True,22.943771471279796,1.0,2,2,0.3265511494140801,2023.0
59,True,86.04972220948206,1.0,2,1,0.3886368632792169,2023.0
60,False,702.3640988995539,1.0,5,5,0.1613869117615986,2023.0
61,True,84.57628794580457,1.0,5,1,0.4702367090423361,2023.0
62,True,69.53566946431283,1.0,2,3,0.33563389742169547,2023.0
63,True,8.655208115298052,1.0,2,2,0.23122018882551107,2023.0
64,True,40.733091851573704,1.0,2,0,0.3942312168224783,2023.0
65,False,272.75635979588617,1.0,4,3,0.1563315472735993,2023.0
66,True,81.22546494331878,1.0,2,1,0.34572266774378624,2023.0
67,True,2.0,1.0,2,5,0.3809551635201308,2023.0
68,False,2.0,1.0,2,1,0.06070574406308137,2023.0
69,False,707.7011085737156,1.0,5,5,0.340638388920429,2023.0
70,False,717.4953893951501,1.0,5,5,0.48529604515421837,2023.0
71,True,697.8871096065822,1.0,5,5,0.495113708475488,2023.0
72,False,507.3175992133115,1.0,5,0,0.123162769873136,2023.0
73,True,64.20682326643762,1.0,2,3,0.244322587287041,2023.0
74,False,419.92814212933547,1.0,5,0,0.45477604991378473,2023.0
75,False,144.10608018391636,1.0,5,3,0.0335521113473946,2023.0
76,False,465.28833120312197,1.0,5,0,0.28725393525383364,2023.0
77,True,81.06419239924367,1.0,2,0,0.3784589768931701,2023.0
78,True,138.92802554800136,1.0,2,4,0.37219453149219234,2023.0
79,False,413.1167316106001,1.0,5,0,0.23631556639343287,2023.0
80,True,353.21947629758654,1.0,5,2,0.4938254812943397,2023.0
81,True,2.0,1.0,2,5,0.3933788028843781,2023.0
82,False,97.01179244815353,1.0,5,1,0.2869115722914139,2023.0
83,False,298.9148043046263,1.0,5,2,0.4885739810443047,2023.0
84,False,267.4959479536816,1.0,5,2,0.20996284933967854,2023.0
85,False,194.44049173646135,1.0,4,4,0.19456086726811112,2023.0
86,False,83.89045107173065,1.0,5,1,0.057667958615816924,2023.0
87,False,137.5733685168034,1.0,2,2,0.006921676321197274,2023.0
88,True,76.04479777878427,1.0,2,0,0.2699372879266148,2023.0
89,False,310.84299601482843,1.0,5,2,0.237070962533122,2023.0
90,False,140.94900076093586,1.0,5,4,0.2356743122549162,2023.0
91,False,100.61147945044347,1.0,2,3,0.13485604510605573,2023.0
92,True,87.84959815373911,1.0,2,1,0.32288072624821196,2023.0
93,False,163.8526466393012,1.0,5,4,0.4585741874278458,2023.0
94,True,2.0,1.0,2,5,0.3645580922013281,2023.0
95,True,118.83375200166063,1.0,2,4,0.4076295097499943,2023.0
96,False,308.13344759213686,1.0,5,2,0.3758797506167404,2023.0
97,True,55.732747451616746,1.0,2,0,0.4904443411970282,2023.0
98,True,27.93467251418145,1.0,2,3,0.4684021339276658,2023.0
99,True,42.43336442656168,1.0,2,3,0.36888037813848523,2023.0
100,True,71.46141129787763,1.0,2,1,0.44078042460656175,2023.0
101,True,18.759383371260142,1.0,2,2,0.33876475371140113,2023.0
102,False,715.8011541367612,1.0,5,5,0.0828096427555977,2023.0
103,True,48.281535249541626,1.0,2,0,0.49242054284571457,2023.0
104,True,644.7712797429925,1.0,5,5,0.48826767398304266,2023.0
105,True,24.23362343601658,1.0,2,2,0.2270694610289288,2023.0
106,False,249.6524264877321,1.0,5,2,0.06598665991876729,2023.0
107,False,176.2913462981792,1.0,5,3,0.3461253292966725,2023.0
108,False,279.3344004586535,1.0,5,2,0.05667293987995192,2023.0
109,True,24.60405871718858,1.0,2,2,0.3535950098430027,2023.0
110,True,52.965799772021725,1.0,2,0,0.31966665347798456,2023.0
111,True,2.0,1.0,2,5,0.40562922954883096,2023.0
112,False,181.3127592281204,1.0,5,4,0.33702171540458803,2023.0
113,False,318.3720616039123,1.0,5,2,0.15227630369660555,2023.0
114,False,150.1966953145079,1.0,5,4,0.39386672690238217,2023.0
115,True,358.2907925283318,1.0,5,2,0.4815883144805862,2023.0
116,True,22.13378634337938,1.0,2,0,0.4585795592519532,2023.0
117,True,86.54265253085784,1.0,2,1,0.29226910150323937,2023.0
118,True,111.40182479004105,1.0,2,4,0.43696804705034253,2023.0
119,False,352.01804540392897,1.0,5,2,0.4299020373132288,2023.0
120,True,21.714903109274672,1.0,2,2,0.48381726990759005,2023.0
121,True,433.4288574976092,1.0,5,0,0.49113313996594754,2023.0
122,False,279.265126950076,1.0,5,2,0.4738840589743679,2023.0
123,True,152.55136038224612,1.0,2,4,0.24754330371497682,2023.0
124,False,694.3194835049256,1.0,5,5,0.11733954379025385,2023.0
125,False,440.53702244502415,1.0,5,0,0.38329496562131365,2023.0
126,False,261.4041054105687,1.0,4,1,0.0001467488332997292,2023.0
127,False,455.96361618585865,1.0,5,0,0.14873969989383376,2023.0
128,True,2.0,1.0,2,5,0.4009854947179377,2023.0
129,True,2.0,1.0,2,5,0.3176750737604777,2023.0
130,False,57.019113966861084,1.0,2,2,0.42534341617070176,2023.0
131,False,327.6052750879059,1.0,5,2,0.3990463636720582,2023.0
132,True,359.5914232880633,1.0,5,2,0.42981491445379594,2023.0
133,False,188.47662888758737,1.0,5,4,0.31939588053541285,2023.0
134,False,124.98096997581885,1.0,5,3,0.34648123121829005,2023.0
135,True,129.08459982858065,1.0,2,4,0.2709841625526813,2023.0
136,False,143.70457443586602,1.0,5,4,0.46360028728258457,2023.0
137,True,96.90906333144513,1.0,5,1,0.4656690281766642,2023.0
138,True,109.53948362236409,1.0,2,4,0.40717629238866465,2023.0
139,True,2.0,1.0,2,5,0.39135126975740964,2023.0
140,True,37.806662050093195,1.0,2,0,0.4786200164550966,2023.0
141,False,128.41355806682066,1.0,2,2,0.0019281141658808263,2023.0
142,False,509.17423934089334,1.0,5,0,0.178225671855566,2023.0
143,True,60.76270567432569,1.0,2,3,0.376352591511144,2023.0
144,False,447.5102437744018,1.0,5,0,0.16913363836457718,2023.0
145,True,78.05016582635933,1.0,2,0,0.3070829100755216,2023.0
146,True,107.15289949635263,1.0,2,4,0.3403678088483341,2023.0
147,True,2.0,1.0,2,5,0.37821465309313906,2023.0
148,False,465.1280499299693,1.0,5,0,0.13453275915167814,2023.0
149,False,144.32170732461793,1.0,4,4,0.11936749544171474,2023.0
150,False,115.76514933007519,1.0,5,4,0.0937183882958955,2023.0
151,False,96.25456502316561,1.0,5,1,0.17683474704880112,2023.0
152,True,19.772836111598245,1.0,2,2,0.19195270573346537,2023.0
153,False,151.75015834863297,1.0,2,0,0.4581032795279553,2023.0
154,False,698.0204728168808,1.0,5,5,0.32647727044484876,2023.0
155,False,131.48525541683506,1.0,5,4,0.10675198876919688,2023.0
