user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,0.0,1.0,True,1,1,0.03589266927198224,2026.0
1,0.0,1.0,True,1,0,0.035000573165822675,2026.0
2,0.0,1.0,True,1,3,0.18569015962135846,2026.0
3,0.0,1.0,True,1,4,0.005482542209953718,2026.0
4,1.0,333.09485452317944,False,6,3,0.1911601355245619,2026.0
5,0.0,1.0,True,1,4,0.03930887167540414,2026.0
6,0.0,1.0,True,1,0,0.030893806995901243,2026.0
7,0.0,1.0,True,1,0,0.06511225949309545,2026.0
8,1.0,267.4040633780084,True,5,3,0.11229294087944108,2026.0
9,0.0,1.0,True,1,5,0.0472017165922795,2026.0
10,1.0,46.68437122921465,True,5,3,0.16989627090516476,2026.0
11,0.0,1.0,True,1,1,0.10425786849744614,2026.0
12,0.0,1.0,True,1,4,4.2694304469771153e-17,2026.0
13,1.0,297.82010583884045,True,6,4,0.13925616275038608,2026.0
14,0.0,1.0,True,1,1,0.05681672183978521,2026.0
15,0.0,1.0,True,1,1,4.167355673372758e-17,2026.0
16,1.0,325.07114060255526,True,8,2,0.09460449325027237,2026.0
17,0.0,1.0,True,1,4,0.18973291252259955,2026.0
18,0.0,1.0,True,1,2,0.03407378594049334,2026.0
19,1.0,1177.9596145232986,True,7,5,0.027853711784199958,2026.0
20,0.0,1.0,True,1,4,0.006367727466873047,2026.0
21,0.0,1.0,True,1,1,0.19987321473060796,2026.0
22,1.0,298.7407372892983,False,7,4,0.171055558795249,2026.0
23,1.0,304.9196800204428,False,7,2,0.1455729923866577,2026.0
24,0.0,1.0,True,1,5,0.11772458401142534,2026.0
25,1.0,348.3173851676528,False,8,2,3.83914092463091e-17,2026.0
26,0.0,1.0,True,1,4,0.10675198876919688,2026.0
27,1.0,386.3744520867011,False,7,1,0.10905679034967929,2026.0
28,0.0,1.0,True,1,0,0.1458401288954364,2026.0
29,0.0,1.0,True,1,4,0.09430347351807915,2026.0
30,0.0,1.0,True,1,1,0.05824472845673475,2026.0
31,1.0,273.7481555847535,False,6,2,0.06924590691476037,2026.0
32,1.0,906.4518552180543,False,8,0,0.054233785994713,2026.0
33,0.0,1.0,True,1,3,0.00237339444705851,2026.0
34,1.0,250.52239458822453,False,7,4,0.029178544077988037,2026.0
35,0.0,1.0,True,1,3,0.019190001498990562,2026.0
36,0.0,1.0,True,1,4,0.1642237584623524,2026.0
37,0.0,1.0,True,1,3,0.09843485737523533,2026.0
38,1.0,662.7732049668668,False,7,0,0.10575064884603258,2026.0
39,0.0,1.0,True,1,5,0.1514705056992298,2026.0
40,0.0,1.0,True,1,0,0.053127875107781726,2026.0
41,0.0,1.0,True,1,3,0.07409370408278812,2026.0
42,1.0,944.8628628853899,True,7,5,1.6051475934667103e-05,2026.0
43,1.0,353.2263520649338,True,5,4,0.07763769929871171,2026.0
44,0.0,1.0,True,1,4,0.19697633457850608,2026.0
45,0.0,1.0,True,1,5,0.11250323385305148,2026.0
46,0.0,1.0,True,1,1,0.003023788216728468,2026.0
47,0.0,1.0,True,1,4,0.013432658868607242,2026.0
48,0.0,1.0,True,1,1,0.087176147728465,2026.0
49,1.0,231.90724576591197,False,7,1,0.1851786957627289,2026.0
