user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,False,373.34972068485723,1.0,4,1,0.03589266927198224,2026.0
1,False,342.3980280322596,1.0,4,0,0.035000573165822675,2026.0
2,True,409.17837793923667,1.0,5,3,0.18569015962135846,2026.0
3,False,199.709362670348,1.0,4,4,0.005482542209953718,2026.0
4,True,414.33760828652663,1.0,5,3,0.1911601355245619,2026.0
5,False,331.16963839959897,1.0,5,4,0.03930887167540414,2026.0
6,False,305.493735629522,1.0,4,0,0.030893806995901243,2026.0
7,False,514.0652683295312,1.0,5,0,0.06511225949309545,2026.0
8,False,573.0677660862343,1.0,5,3,0.11229294087944108,2026.0
9,False,545.6523100902664,1.0,5,5,0.0472017165922795,2026.0
10,True,275.93406294185905,1.0,5,3,0.16989627090516476,2026.0
11,True,377.48873762268494,1.0,6,1,0.10425786849744614,2026.0
12,False,666.7159580520533,1.0,5,4,4.2694304469771153e-17,2026.0
13,True,345.7614942319856,1.0,6,4,0.13925616275038608,2026.0
14,False,351.08247558189294,1.0,5,1,0.05681672183978521,2026.0
15,False,430.48245154915804,1.0,5,1,4.167355673372758e-17,2026.0
16,False,317.5717515932659,1.0,5,2,0.09460449325027237,2026.0
17,True,481.4631216747997,1.0,5,4,0.18973291252259955,2026.0
18,False,249.74050578989122,1.0,5,2,0.03407378594049334,2026.0
19,False,478.6487519650178,1.0,4,5,0.027853711784199958,2026.0
20,False,216.84582747519238,1.0,4,4,0.006367727466873047,2026.0
21,True,332.0235401697772,1.0,6,1,0.19987321473060796,2026.0
22,True,213.49845356220587,1.0,5,4,0.17105555879524897,2026.0
23,True,269.76657629100606,1.0,5,2,0.1455729923866577,2026.0
24,True,693.4524729128684,1.0,6,5,0.11772458401142534,2026.0
25,False,116.61735284898174,1.0,5,2,3.83914092463091e-17,2026.0
26,False,474.08073861885725,1.0,6,4,0.10675198876919688,2026.0
27,True,459.18276931772095,1.0,6,1,0.10905679034967929,2026.0
28,True,241.96515132075643,1.0,6,0,0.1458401288954364,2026.0
29,True,537.6473767243522,1.0,6,4,0.09430347351807915,2026.0
30,False,355.2535050602427,1.0,4,1,0.05824472845673475,2026.0
31,False,177.28533014991334,1.0,5,2,0.06924590691476037,2026.0
32,False,415.8676285242709,1.0,5,0,0.054233785994713,2026.0
33,False,580.1252602475348,1.0,4,3,0.00237339444705851,2026.0
34,False,500.38305111120826,1.0,6,4,0.029178544077988037,2026.0
35,False,438.4125710601647,1.0,6,3,0.019190001498990562,2026.0
36,True,401.43091108099475,1.0,6,4,0.1642237584623524,2026.0
37,False,558.9948873213827,1.0,5,3,0.09843485737523533,2026.0
38,False,375.5704137697744,1.0,5,0,0.10575064884603258,2026.0
39,True,711.0986856001925,1.0,5,5,0.1514705056992298,2026.0
40,False,293.5819618835029,1.0,6,0,0.053127875107781726,2026.0
41,False,528.9823891270346,1.0,5,3,0.07409370408278812,2026.0
42,False,475.4207024392331,1.0,4,5,1.605147593466716e-05,2026.0
43,False,508.2315876230322,1.0,6,4,0.07763769929871171,2026.0
44,True,476.58719757121423,1.0,5,4,0.19697633457850608,2026.0
45,False,504.8093594141697,1.0,5,5,0.11250323385305148,2026.0
46,False,478.62634068264094,1.0,5,1,0.003023788216728468,2026.0
47,False,501.99931221905626,1.0,6,4,0.013432658868607242,2026.0
48,False,240.57282211088508,1.0,4,1,0.087176147728465,2026.0
49,True,192.78039327977848,1.0,5,1,0.1851786957627289,2026.0
50,False,351.70527656468767,1.0,6,4,0.1272601503299857,2026.0
51,False,190.6155589709615,1.0,4,4,0.08875000415982369,2026.0
