user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
0,1,2.0,0,2,0,0.49083768880595186,2030.0
1,1,46.89078894913656,0,2,3,0.3365111668531429,2030.0
2,1,2.0,0,2,5,0.33028730878986,2030.0
3,1,87.1122931922848,0,2,1,0.4275121830791395,2030.0
4,1,111.51473083475477,0,2,4,0.361677609195608,2030.0
5,1,94.75277628510986,0,2,1,0.41372139716775014,2030.0
6,1,18.521176100522514,0,2,2,0.31182963169837774,2030.0
7,1,2.0,0,2,5,0.473483396274227,2030.0
8,1,2.0,0,2,5,0.4640954780286948,2030.0
9,1,84.04427618253597,0,2,1,0.3662196228806592,2030.0
10,1,252.34115870484197,0,5,3,0.04876823617350886,2030.0
11,1,61.558353883094455,0,2,0,0.4361577939019977,2030.0
12,1,124.27294960861408,0,2,4,0.29160072056817155,2030.0
13,1,2.0,0,2,5,0.4601354819802568,2030.0
14,1,61.457601606284165,0,3,4,0.41374005631717964,2030.0
15,1,2.0,0,2,5,0.4991024091332422,2030.0
16,1,119.95782101381974,0,3,2,0.25731535887437806,2030.0
17,1,46.63260521333335,0,2,3,0.319583992246371,2030.0
18,1,82.131868339063,0,2,1,0.41339082146512507,2030.0
19,1,20.49977431955746,0,2,2,0.3470159402770506,2030.0
20,1,88.96534501605689,0,2,1,0.3612398861007986,2030.0
21,1,115.30037308000414,0,2,4,0.29931761714343513,2030.0
22,1,74.06976908222452,0,2,0,0.3774571620035147,2030.0
23,1,76.79662309036847,0,2,1,0.3656084590247478,2030.0
24,1,21.695566239773157,0,2,2,0.2808926096165812,2030.0
25,1,321.53523945957284,0,6,1,0.01994794059369941,2030.0
26,1,151.69133187585513,0,2,3,0.2671492942619731,2030.0
27,1,90.81808090621968,0,2,1,0.39875909829759426,2030.0
28,1,218.72372434413467,0,4,3,0.28860684706673556,2030.0
29,1,71.5905322148782,0,2,0,0.38146286863375,2030.0
30,1,24.324644448890005,0,2,2,0.43415559934227843,2030.0
31,1,2.0,0,2,5,0.4457906801494719,2030.0
32,1,59.05513770708096,0,2,0,0.2814560170208975,2030.0
33,1,2.0,0,2,0,0.44254659620427156,2030.0
34,1,2.0,0,2,5,0.4619752809690493,2030.0
35,1,102.93268315671538,0,2,1,0.42672346750273926,2030.0
36,0,237.59221389533553,0,5,2,0.01237136112515868,2030.0
37,1,21.25722723304263,0,3,2,0.21057827004870905,2030.0
38,1,48.323972141904086,0,2,3,0.4792088602470086,2030.0
39,1,2.0,0,2,5,0.4087266698245366,2030.0
40,1,61.507685351310144,0,2,0,0.2820540261004882,2030.0
41,1,430.2289157658629,0,4,4,0.11043757875998265,2030.0
42,1,56.859381579971235,0,2,3,0.34082707860615485,2030.0
43,1,225.29903763334482,0,4,4,0.1680037061719573,2030.0
44,1,309.25975388833774,0,3,5,0.3338794425342358,2030.0
45,1,2.0,0,2,5,0.4891285543980761,2030.0
46,1,86.02255322778798,0,2,1,0.4602367232587287,2030.0
47,0,396.1135758909832,0,5,3,0.019524262679885253,2030.0
48,1,51.877057019392765,0,2,3,0.3285542269693064,2030.0
49,1,363.26720351831636,0,4,0,0.09250336215178498,2030.0
50,1,68.70694259456758,0,2,4,0.42625052397827473,2030.0
51,1,82.01610818161423,0,2,1,0.32440399789750374,2030.0
52,1,2.0,0,2,5,0.4057251958530468,2030.0
53,1,2.0,0,2,5,0.2677265274112762,2030.0
54,1,2.0,0,2,5,0.3642687129323423,2030.0
55,1,409.37359624016915,0,6,3,0.031988267875369125,2030.0
56,1,73.05776198418246,0,2,1,0.43905486444341507,2030.0
57,1,59.68104576620813,0,2,4,0.48782985632609804,2030.0
58,1,24.13455755287427,0,2,2,0.3265511494140801,2030.0
59,1,80.5289964016199,0,2,1,0.3886368632792169,2030.0
60,1,384.32429423201273,0,4,5,0.1613869117615986,2030.0
61,1,73.60293535412981,0,2,1,0.4702367090423361,2030.0
62,1,46.513863990372904,0,2,3,0.33563389742169547,2030.0
63,1,46.20444254186644,0,3,2,0.23122018882551107,2030.0
64,1,60.3393485780112,0,2,0,0.3942312168224783,2030.0
65,1,114.02846603793328,0,3,3,0.1563315472735993,2030.0
66,1,73.57008089166581,0,2,1,0.34572266774378624,2030.0
67,1,2.0,0,2,5,0.3809551635201308,2030.0
68,0,207.59105550924383,0,3,1,0.06070574406308137,2030.0
69,1,2.0,0,2,5,0.340638388920429,2030.0
70,1,2.0,0,2,5,0.48529604515421837,2030.0
71,1,2.0,0,2,5,0.495113708475488,2030.0
72,1,170.71463875890322,0,3,0,0.123162769873136,2030.0
73,1,56.07100632367075,0,2,3,0.244322587287041,2030.0
74,1,2.0,0,2,0,0.45477604991378473,2030.0
75,0,48.7215623548391,0,1,3,0.0335521113473946,2030.0
76,1,113.5888644254484,0,2,0,0.28725393525383364,2030.0
77,1,65.42471435460955,0,2,0,0.3784589768931701,2030.0
78,1,151.89235803281719,0,2,4,0.37219453149219234,2030.0
79,1,91.31333698834749,0,3,0,0.23631556639343287,2030.0
80,1,19.335783073866438,0,2,2,0.4938254812943397,2030.0
81,1,2.0,0,2,5,0.3933788028843781,2030.0
82,1,67.04104872252788,0,2,1,0.2869115722914139,2030.0
83,1,18.04413703515809,0,2,2,0.4885739810443047,2030.0
84,1,131.1964750275334,0,4,2,0.20996284933967854,2030.0
85,1,167.86073090395254,0,2,4,0.19456086726811112,2030.0
86,1,280.2548970556687,0,4,1,0.057667958615816924,2030.0
87,0,305.74001527238886,0,5,2,0.006921676321197274,2030.0
88,1,61.06310160913648,0,3,0,0.2699372879266148,2030.0
89,1,106.73458722380502,0,3,2,0.237070962533122,2030.0
90,1,127.46286512886283,0,2,4,0.2356743122549162,2030.0
91,1,237.47501134729413,0,3,3,0.13485604510605573,2030.0
92,1,76.4234613391913,0,2,1,0.32288072624821196,2030.0
93,1,59.32966489185587,0,2,4,0.4585741874278458,2030.0
94,1,2.0,0,2,5,0.3645580922013281,2030.0
95,1,67.54111779567504,0,3,4,0.4076295097499943,2030.0
96,1,16.82642543488072,0,2,2,0.3758797506167404,2030.0
97,1,63.62305579317241,0,2,0,0.4904443411970282,2030.0
98,1,52.1782015622775,0,2,3,0.4684021339276658,2030.0
99,1,50.36733305318029,0,2,3,0.36888037813848523,2030.0
100,1,80.75994047455265,0,2,1,0.44078042460656175,2030.0
101,1,19.386895120143652,0,2,2,0.33876475371140113,2030.0
102,0,287.57932737664294,0,2,5,0.0828096427555977,2030.0
103,1,2.0,0,2,0,0.49242054284571457,2030.0
104,1,110.75545317158833,0,2,5,0.48826767398304266,2030.0
105,1,24.95370430056574,0,2,2,0.2270694610289288,2030.0
106,1,163.28258151209815,0,6,2,0.06598665991876729,2030.0
107,1,47.01334827118164,0,2,3,0.3461253292966725,2030.0
108,1,309.7661357649488,0,6,2,0.05667293987995192,2030.0
109,1,22.188441193268186,0,2,2,0.3535950098430027,2030.0
110,1,61.09711340164681,0,2,0,0.31966665347798456,2030.0
111,1,2.0,0,2,5,0.40562922954883096,2030.0
112,1,105.49375768526798,0,2,4,0.33702171540458803,2030.0
113,1,25.340469206590214,0,3,2,0.15227630369660555,2030.0
114,1,94.65524846325138,0,2,4,0.39386672690238217,2030.0
115,1,27.9786545761625,0,2,2,0.4815883144805862,2030.0
116,1,2.0,0,2,0,0.4585795592519532,2030.0
117,1,80.52511758835536,0,2,1,0.29226910150323937,2030.0
118,1,59.6512461963334,0,2,4,0.43696804705034253,2030.0
119,1,21.004787612098944,0,2,2,0.4299020373132288,2030.0
120,1,24.759518152016312,0,2,2,0.48381726990759005,2030.0
121,1,2.0,0,2,0,0.49113313996594754,2030.0
122,1,18.100541163743305,0,2,2,0.4738840589743679,2030.0
123,1,144.06581987457304,0,2,4,0.24754330371497682,2030.0
124,1,300.1560237166908,0,4,5,0.11733954379025385,2030.0
125,1,55.884291196013315,0,2,0,0.38329496562131365,2030.0
126,0,458.17258865271754,0,5,1,0.0001467488332997292,2030.0
127,1,186.90204057689624,0,4,0,0.14873969989383376,2030.0
128,1,2.0,0,2,5,0.4009854947179377,2030.0
129,1,2.0,0,2,5,0.3176750737604777,2030.0
130,1,21.253449109031575,0,2,2,0.42534341617070176,2030.0
131,1,28.21096014498103,0,2,2,0.3990463636720582,2030.0
132,1,19.686655329315805,0,2,2,0.42981491445379594,2030.0
133,1,116.05954142977757,0,2,4,0.31939588053541285,2030.0
134,1,49.71762071004896,0,2,3,0.34648123121829005,2030.0
