user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score
0,False,1.0,1.0,1,4,0.0006690778
1,False,1.0,1.0,1,3,0.009398235
2,False,1.0,1.0,1,2,0.0057883305
3,True,674.1355173734914,1.0,4,3,0.009315398
4,False,1.0,1.0,1,0,0.0062969043
5,False,1.0,1.0,1,0,0.014292444
6,False,1.0,1.0,1,1,0.008921952
7,False,1.0,1.0,1,0,0.0059779524
8,False,1.0,1.0,1,5,0.0046031377
9,False,1.0,1.0,1,0,0.011132417
10,False,1.0,1.0,1,4,0.013270621
11,False,1.0,1.0,1,5,0.014188824
12,False,1.0,1.0,1,3,0.0024601102
13,True,433.174932750264,1.0,3,2,0.0066277944
14,False,1.0,1.0,1,2,0.010049545
15,False,1.0,1.0,1,4,0.004338918
16,False,1.0,1.0,1,3,0.0066736713
17,False,1.0,1.0,1,0,0.014581647
18,False,1.0,1.0,1,3,0.008921952
19,False,1.0,1.0,1,2,0.012085985
20,False,1.0,1.0,1,2,0.006766363
21,False,1.0,1.0,1,1,0.008564284
22,False,1.0,1.0,1,0,0.010595009
23,False,1.0,1.0,1,1,0.012833659
24,False,1.0,1.0,1,3,0.008158274
25,False,1.0,1.0,1,4,0.009709298
26,False,1.0,1.0,1,1,0.0013075722
27,False,1.0,1.0,1,4,0.0029451544
28,False,1.0,1.0,1,2,0.015731439
29,True,693.5826691679381,1.0,4,3,0.0068084504
30,False,1.0,1.0,1,3,0.0020622814
31,True,320.4829335299803,1.0,5,0,0.009136501
32,False,1.0,1.0,1,1,0.0072428673
33,True,404.12508336366193,1.0,4,3,0.00564713
34,False,1.0,1.0,1,4,0.010428505
35,False,1.0,1.0,1,4,0.007201404
36,False,1.0,1.0,1,3,0.006632037
37,False,1.0,1.0,1,1,0.0027987661
38,False,1.0,1.0,1,5,0.007872501
39,True,325.21134067955114,1.0,3,3,0.010166634
40,True,163.49726233151847,1.0,3,5,0.003031388
41,True,697.9216816878456,1.0,3,2,0.017511157
42,False,1.0,1.0,1,5,0.0074264
43,True,582.460470239221,1.0,3,5,0.011513559
