user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,True,34.22374871013206,1.0,2,5,0.19935061,2027.0
1,True,2.0,1.0,2,4,0.12766592,2027.0
2,True,46.47855653685254,1.0,2,5,0.14145544,2027.0
3,True,73.4985682247045,1.0,2,2,0.49692807,2027.0
4,True,2.0,1.0,2,4,0.069834515,2027.0
5,False,1.0,1.0,1,3,0.012024565,2027.0
6,True,2.0,1.0,2,4,0.09527259,2027.0
7,False,1.0,1.0,1,1,0.011895294,2027.0
8,True,409.93893748251344,1.0,4,3,0.011897402,2027.0
9,True,49.90375913133702,1.0,2,5,0.09988915,2027.0
10,True,58.886005632996,1.0,2,1,0.21406022,2027.0
11,True,2.0,1.0,2,4,0.481334,2027.0
12,False,1.0,1.0,1,5,0.0058755237,2027.0
13,True,120.08333186497538,1.0,3,3,0.062315535,2027.0
14,True,64.12434853812525,1.0,2,1,0.39990324,2027.0
15,True,253.17150261584234,1.0,4,1,0.017227666,2027.0
16,True,48.06888467666448,1.0,2,5,0.15410167,2027.0
17,True,116.0514722712748,1.0,2,0,0.35980552,2027.0
18,False,1.0,1.0,1,3,0.017586874,2027.0
19,False,1.0,1.0,1,4,0.0075014126,2027.0
20,True,2.0,1.0,2,4,0.2511207,2027.0
21,False,1.0,1.0,1,5,0.0010251465,2027.0
22,False,1.0,1.0,1,4,0.018503029,2027.0
23,True,126.4642234308259,1.0,3,5,0.024704823,2027.0
24,True,170.40736786273214,1.0,2,0,0.08631718,2027.0
25,True,260.1604224204445,1.0,4,1,0.054588377,2027.0
26,False,1.0,1.0,1,1,0.0051366836,2027.0
27,True,143.81669137033558,1.0,2,0,0.32088813,2027.0
28,True,2.0,1.0,2,4,0.1839525,2027.0
29,False,1.0,1.0,1,3,0.004512585,2027.0
30,True,2.0,1.0,2,4,0.4793886,2027.0
31,True,168.86851949827397,1.0,2,0,0.15276177,2027.0
32,True,2.0,1.0,2,4,0.1764376,2027.0
33,True,167.72017300007008,1.0,2,0,0.13365352,2027.0
34,False,1.0,1.0,1,1,0.006996702,2027.0
35,True,4.282877340047737,1.0,2,3,0.48744112,2027.0
36,True,81.167551613178,1.0,2,2,0.19223104,2027.0
37,True,3.0051372002700383,1.0,2,3,0.41423777,2027.0
38,True,103.668801722018,1.0,3,4,0.02838313,2027.0
39,True,473.5523146861886,1.0,4,2,0.009760104,2027.0
40,True,145.21466291803097,1.0,3,2,0.039692476,2027.0
41,True,141.99620267510988,1.0,3,0,0.011243696,2027.0
