user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score
0,True,838.592280216991,1.0,5,1,0.061734702
1,True,593.4140839919219,1.0,3,1,0.0069966987
2,True,130.945760504265,1.0,2,5,0.04143638
3,True,2.0,1.0,2,0,0.21092544
4,True,582.7920791425001,1.0,6,2,0.009638339
5,True,686.6473410969439,1.0,6,3,0.0042923857
6,True,2.0,1.0,2,0,0.08222548
7,True,170.171466418235,1.0,3,0,0.0064199003
8,True,21.72071600849037,1.0,2,4,0.24207428
9,True,306.93103440761035,1.0,2,3,0.33767313
10,True,170.92932922101664,1.0,3,0,0.023005288
11,True,30.981225913898513,1.0,2,4,0.47324157
12,True,295.6973256793326,1.0,2,3,0.063873425
13,False,204.51262849869934,1.0,4,5,0.05422544
14,True,57.0141299948062,1.0,3,4,0.03338337
15,True,161.57932184876537,1.0,3,5,0.018064916
16,True,43.405560573785124,1.0,2,4,0.15839523
17,True,46.6181082874439,1.0,2,4,0.09527259
18,True,32.358428479966705,1.0,2,4,0.10349833
19,False,344.0450617578082,1.0,2,2,0.01841392
20,True,38.4959199383384,1.0,2,4,0.4447789
21,True,346.6016617100072,1.0,3,3,0.10148265
22,True,320.61424352173185,1.0,6,0,0.0066964943
23,True,180.23939802881057,1.0,3,5,0.035059556
24,True,326.21952799968824,1.0,3,3,0.007793944
25,True,912.8492213052143,1.0,6,2,0.014971911
26,True,412.0427952583523,1.0,3,2,0.0046485616
27,True,29.51565079363894,1.0,2,4,0.032917935
28,True,347.4441046718396,1.0,2,2,0.2567255
29,True,2.0,1.0,2,0,0.075037315
30,True,586.2859506913887,1.0,2,1,0.07948916
31,True,591.0850861906546,1.0,3,1,0.0066948957
32,True,168.39986350431047,1.0,3,0,0.0051796855
33,True,40.305478874411676,1.0,2,4,0.3974473
34,True,293.9709666606209,1.0,2,3,0.310784
35,True,170.85287486676003,1.0,3,5,0.028166058
36,False,687.6044793210978,1.0,4,2,0.008681061
37,True,349.93911973330717,1.0,2,2,0.06866058
38,True,120.3820214120607,1.0,2,5,0.19918995
39,True,48.865833089325776,1.0,2,4,0.23555271
40,True,581.8454778909605,1.0,6,2,0.19023547
41,True,2.0,1.0,2,0,0.04266805
42,True,440.7353096460834,1.0,3,2,0.010824196
43,False,165.191136745277,1.0,3,5,0.0046846676
44,True,337.69584198481687,1.0,3,3,0.008164631
45,True,2.0,1.0,2,0,0.08094313
46,True,37.791927346905226,1.0,2,4,0.14210485
47,False,382.95975355267336,1.0,4,2,0.03727298
48,True,2.0,1.0,2,0,0.056203607
49,True,323.40582109271975,1.0,3,3,0.10220139
50,True,729.100405783837,1.0,6,3,0.035665922
51,True,151.76202795992447,1.0,2,5,0.08862677
52,False,373.32168741779327,1.0,2,2,0.019707277
53,True,553.9208631630636,1.0,2,1,0.06428614
54,True,583.2562349245236,1.0,2,1,0.111015804
55,True,169.42791793499788,1.0,3,0,0.011900463
