user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,0.0,1.0,True,1,1,0.061734702,2029.0
1,0.0,1.0,True,1,1,0.0069966987,2029.0
2,0.0,1.0,True,1,5,0.04143638,2029.0
3,0.0,1.0,True,1,0,0.21092544,2029.0
4,0.0,1.0,True,1,2,0.009638339,2029.0
5,0.0,1.0,True,1,3,0.0042923857,2029.0
6,0.0,1.0,True,1,0,0.08222548,2029.0
7,0.0,1.0,True,1,0,0.0064199003,2029.0
8,1.0,111.76131959179611,True,3,4,0.24207428,2029.0
9,0.0,1.0,True,1,3,0.33767313,2029.0
10,1.0,321.2431987647965,False,5,0,0.023005288,2029.0
11,0.0,1.0,True,1,4,0.47324157,2029.0
12,0.0,1.0,True,1,3,0.063873425,2029.0
13,0.0,1.0,True,1,5,0.05422544,2029.0
14,0.0,1.0,True,1,4,0.03338337,2029.0
15,0.0,1.0,True,1,5,0.018064916,2029.0
16,0.0,1.0,True,1,4,0.15839523,2029.0
17,0.0,1.0,True,1,4,0.09527259,2029.0
18,0.0,1.0,True,1,4,0.10349833,2029.0
19,0.0,1.0,True,1,2,0.01841392,2029.0
20,0.0,1.0,True,1,4,0.4447789,2029.0
21,0.0,1.0,True,1,3,0.10148265,2029.0
22,0.0,1.0,True,1,0,0.0066964943,2029.0
23,0.0,1.0,True,1,5,0.035059556,2029.0
24,0.0,1.0,True,1,3,0.007793944,2029.0
25,0.0,1.0,True,1,2,0.014971911,2029.0
26,0.0,1.0,True,1,2,0.0046485616,2029.0
27,0.0,1.0,True,1,4,0.032917935,2029.0
28,0.0,1.0,True,1,2,0.2567255,2029.0
29,0.0,1.0,True,1,0,0.075037315,2029.0
30,0.0,1.0,True,1,1,0.07948916,2029.0
31,0.0,1.0,True,1,1,0.0066948957,2029.0
32,0.0,1.0,True,1,0,0.0051796855,2029.0
33,0.0,1.0,True,1,4,0.3974473,2029.0
34,1.0,310.0639385937834,False,3,3,0.310784,2029.0
35,0.0,1.0,True,1,5,0.028166058,2029.0
36,0.0,1.0,True,1,2,0.008681061,2029.0
37,0.0,1.0,True,1,2,0.06866058,2029.0
38,0.0,1.0,True,1,5,0.19918995,2029.0
39,0.0,1.0,True,1,4,0.23555271,2029.0
40,0.0,1.0,True,1,2,0.19023547,2029.0
41,0.0,1.0,True,1,0,0.04266805,2029.0
42,0.0,1.0,True,1,2,0.010824196,2029.0
43,0.0,1.0,True,1,5,0.0046846676,2029.0
44,0.0,1.0,True,1,3,0.008164631,2029.0
45,1.0,3.0,True,3,0,0.08094313,2029.0
46,0.0,1.0,True,1,4,0.14210485,2029.0
47,0.0,1.0,True,1,2,0.03727298,2029.0
48,0.0,1.0,True,1,0,0.056203607,2029.0
49,0.0,1.0,True,1,3,0.10220139,2029.0
50,0.0,1.0,True,1,3,0.035665922,2029.0
51,0.0,1.0,True,1,5,0.08862677,2029.0
52,0.0,1.0,True,1,2,0.019707277,2029.0
53,0.0,1.0,True,1,1,0.06428614,2029.0
54,0.0,1.0,True,1,1,0.111015804,2029.0
55,0.0,1.0,True,1,0,0.011900463,2029.0
56,0.0,1.0,True,1,5,0.022376133,2029.0
57,1.0,754.6831892254351,True,5,2,0.014369525,2029.0
58,0.0,1.0,True,1,4,0.12789398,2029.0
59,0.0,1.0,True,1,4,0.22702627,2029.0
60,0.0,1.0,True,1,5,0.0073071,2029.0
61,0.0,1.0,True,1,2,0.08510524,2029.0
62,1.0,3.0,True,3,0,0.21616721,2029.0
63,0.0,1.0,True,1,0,0.071681224,2029.0
64,0.0,1.0,True,1,3,0.20332262,2029.0
65,0.0,1.0,True,1,0,0.045945283,2029.0
66,0.0,1.0,True,1,1,0.20921764,2029.0
67,0.0,1.0,True,1,5,0.21743779,2029.0
68,0.0,1.0,True,1,4,0.052846212,2029.0
69,1.0,406.7204892789144,False,4,2,0.48622486,2029.0
70,0.0,1.0,True,1,0,0.004763487,2029.0
71,0.0,1.0,True,1,0,0.07105434,2029.0
72,0.0,1.0,True,1,3,0.33566034,2029.0
73,0.0,1.0,True,1,4,0.008582012,2029.0
74,0.0,1.0,True,1,5,0.08032606,2029.0
75,0.0,1.0,True,1,3,0.17159238,2029.0
76,0.0,1.0,True,1,2,0.07976519,2029.0
77,0.0,1.0,True,1,1,0.09052265,2029.0
78,0.0,1.0,True,1,5,0.418965,2029.0
79,0.0,1.0,True,1,2,0.15918523,2029.0
80,0.0,1.0,True,1,2,0.006483682,2029.0
81,0.0,1.0,True,1,2,0.29765546,2029.0
82,1.0,139.51939078596985,True,3,4,0.13741678,2029.0
83,0.0,1.0,True,1,0,0.056233793,2029.0
84,0.0,1.0,True,1,5,0.004980282,2029.0
85,0.0,1.0,True,1,0,0.048566494,2029.0
86,0.0,1.0,True,1,2,0.09573515,2029.0
87,0.0,1.0,True,1,4,0.013498726,2029.0
88,0.0,1.0,True,1,5,0.02979102,2029.0
89,0.0,1.0,True,1,2,0.28918383,2029.0
90,1.0,748.368765176958,True,4,2,0.389452,2029.0
91,0.0,1.0,True,1,3,0.017955747,2029.0
92,1.0,290.3034712432177,True,3,3,0.28851742,2029.0
93,0.0,1.0,True,1,5,0.17546393,2029.0
94,0.0,1.0,True,1,4,0.16714588,2029.0
95,0.0,1.0,True,1,3,0.17510176,2029.0
96,1.0,421.0988927513572,True,4,2,0.33220568,2029.0
97,0.0,1.0,True,1,1,0.007936981,2029.0
98,0.0,1.0,True,1,1,0.012296709,2029.0
99,0.0,1.0,True,1,0,0.006261014,2029.0
100,0.0,1.0,True,1,3,0.17448696,2029.0
101,0.0,1.0,True,1,3,0.0081449505,2029.0
102,0.0,1.0,True,1,0,0.015818436,2029.0
103,0.0,1.0,True,1,1,0.28638107,2029.0
104,0.0,1.0,True,1,3,0.012547349,2029.0
105,0.0,1.0,True,1,0,0.017992038,2029.0
106,0.0,1.0,True,1,0,0.4536181,2029.0
107,0.0,1.0,True,1,2,0.2906943,2029.0
108,0.0,1.0,True,1,2,0.011937127,2029.0
109,0.0,1.0,True,1,0,0.13122068,2029.0
110,0.0,1.0,True,1,0,0.007924172,2029.0
111,0.0,1.0,True,1,2,0.11174738,2029.0
112,0.0,1.0,True,1,5,0.13548902,2029.0
113,0.0,1.0,True,1,5,0.037345313,2029.0
114,0.0,1.0,True,1,2,0.20204711,2029.0
115,0.0,1.0,True,1,1,0.033119105,2029.0
116,0.0,1.0,True,1,0,0.006016269,2029.0
117,1.0,320.6457279242177,True,3,4,0.36662492,2029.0
118,0.0,1.0,True,1,2,0.047381923,2029.0
119,1.0,678.4570373765397,True,3,1,0.25900868,2029.0
120,0.0,1.0,True,1,1,0.014891386,2029.0
121,0.0,1.0,True,1,2,0.08337849,2029.0
122,0.0,1.0,True,1,1,0.014803041,2029.0
123,0.0,1.0,True,1,3,0.35615432,2029.0
124,0.0,1.0,True,1,4,0.002256142,2029.0
125,0.0,1.0,True,1,5,0.023167405,2029.0
126,0.0,1.0,True,1,0,0.02175132,2029.0
127,0.0,1.0,True,1,1,0.030516593,2029.0
