user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,True,456.4147050142154,1.0,4,2,0.011666418,2030.0
1,True,576.7586646355419,1.0,5,2,0.0067552933,2030.0
2,True,911.2237742083896,1.0,6,2,0.0046702027,2030.0
3,True,155.7741488613417,1.0,4,4,0.0071567316,2030.0
4,True,380.45598369303553,1.0,5,3,0.01103166,2030.0
5,False,771.9736332276758,1.0,4,1,0.0006690775,2030.0
6,True,101.30819803269132,1.0,3,4,0.008582012,2030.0
7,True,377.1474477108227,1.0,4,3,0.00867202,2030.0
8,True,388.9201178928279,1.0,3,3,0.010004805,2030.0
9,True,840.1879640287857,1.0,6,1,0.004873253,2030.0
10,True,254.69817444892067,1.0,4,5,0.005717034,2030.0
11,True,761.844094206991,1.0,5,1,0.011287542,2030.0
12,True,125.60447601818476,1.0,4,4,0.0075941556,2030.0
13,True,143.53674528849896,1.0,4,0,0.016154835,2030.0
14,True,465.7729250520887,1.0,4,2,0.007899395,2030.0
15,True,230.794002203035,1.0,5,5,0.016890232,2030.0
16,True,647.3187474857593,1.0,4,1,0.013482074,2030.0
17,True,280.1299399062516,1.0,5,0,0.0033275462,2030.0
18,True,847.8611633143133,1.0,6,1,0.0043179463,2030.0
19,True,451.13657538300527,1.0,4,2,0.006296907,2030.0
20,True,324.72415420461573,1.0,6,0,0.00397609,2030.0
21,True,374.451019287646,1.0,4,3,0.01110073,2030.0
22,True,287.7320704450733,1.0,6,0,0.015818436,2030.0
23,True,582.8314410856444,1.0,5,2,0.012783362,2030.0
24,True,223.11515830844516,1.0,4,5,0.0059897737,2030.0
25,True,652.9338075067424,1.0,4,1,0.013515342,2030.0
26,True,125.67774464519599,1.0,4,4,0.01266198,2030.0
27,True,405.50408853287246,1.0,4,3,0.0067663593,2030.0
28,True,898.316321719093,1.0,6,2,0.0020622823,2030.0
29,True,678.334679387867,1.0,6,5,0.0038908788,2030.0
30,True,329.39548256576495,1.0,6,0,0.0040410855,2030.0
31,True,459.3980598377833,1.0,4,2,0.014811895,2030.0
32,True,657.234787629735,1.0,4,1,0.004960529,2030.0
33,True,642.7252821995926,1.0,4,1,0.012296709,2030.0
34,True,402.8443610413964,1.0,6,3,0.010382076,2030.0
35,True,773.5759918020666,1.0,5,1,0.01500824,2030.0
36,True,146.72781675208086,1.0,4,0,0.016217716,2030.0
37,True,144.74868415563168,1.0,4,0,0.015420692,2030.0
38,True,236.6356333113592,1.0,4,5,0.0066505247,2030.0
39,True,876.5108962620536,1.0,6,1,0.007936981,2030.0
40,True,357.70570727072436,1.0,5,4,0.0072428673,2030.0
41,True,902.296060357608,1.0,6,1,0.0051366864,2030.0
42,True,680.9799922638377,1.0,6,5,0.0046846676,2030.0
43,True,235.7799902823589,1.0,4,5,0.011065808,2030.0
44,True,479.22269206496446,1.0,4,2,0.007330283,2030.0
45,True,655.8496716138363,1.0,4,1,0.00931157,2030.0
46,True,373.1519562790294,1.0,4,3,0.0050617224,2030.0
47,True,760.3541482475207,1.0,5,1,0.011517542,2030.0
48,True,668.8414081048456,1.0,6,5,0.002149206,2030.0
49,False,156.92153632060135,1.0,4,4,0.0007754221,2030.0
50,True,385.43890669780814,1.0,4,3,0.011897402,2030.0
51,True,391.9421932013459,1.0,4,3,0.005894857,2030.0
52,True,152.47411256449783,1.0,4,4,0.007899395,2030.0
53,True,650.518555632472,1.0,4,1,0.014803041,2030.0
54,True,734.7666102944547,1.0,5,1,0.0058755237,2030.0
55,True,459.2868370482572,1.0,4,2,0.00564713,2030.0
56,True,455.3005609925546,1.0,6,0,0.006016269,2030.0
57,True,221.5679970709383,1.0,5,5,0.004269491,2030.0
58,True,380.19237888371015,1.0,4,3,0.0065005114,2030.0
59,True,416.1784153494914,1.0,3,2,0.011356258,2030.0
60,True,387.20735252502726,1.0,4,3,0.013499134,2030.0
61,True,390.6068548196958,1.0,5,3,0.011504959,2030.0
62,True,840.3487468658815,1.0,6,1,0.006712922,2030.0
63,True,238.3875847756733,1.0,5,4,0.010224837,2030.0
64,True,147.4498268563944,1.0,4,0,0.011924143,2030.0
65,True,152.49594149923837,1.0,4,4,0.010192844,2030.0
66,True,453.04693001579903,1.0,4,2,0.011705199,2030.0
67,True,119.08892519139556,1.0,4,4,0.016897842,2030.0
68,True,248.21512389350056,1.0,4,5,0.012257054,2030.0
69,True,729.1162707733884,1.0,5,1,0.008143386,2030.0
70,True,913.5015103167377,1.0,6,2,0.004437174,2030.0
71,True,395.4461894045056,1.0,5,3,0.0060322015,2030.0
72,True,656.4066076294654,1.0,4,1,0.008011149,2030.0
73,True,154.80980318789165,1.0,4,4,0.0141649265,2030.0
74,True,146.00393250978496,1.0,4,0,0.009833556,2030.0
75,True,323.08980794203575,1.0,5,0,0.011262606,2030.0
76,True,924.5488235567166,1.0,6,2,0.0039758882,2030.0
77,True,597.8920026290143,1.0,5,2,0.013400532,2030.0
78,True,379.7052711710206,1.0,4,3,0.011453713,2030.0
79,True,373.52356369238635,1.0,4,3,0.004338918,2030.0
80,True,233.42146846484235,1.0,6,5,0.007850357,2030.0
81,True,144.7044001075166,1.0,4,0,0.012833659,2030.0
82,True,843.9752290779034,1.0,6,1,0.0047718654,2030.0
83,True,852.1136358924998,1.0,6,1,0.008340538,2030.0
84,True,151.8652219542483,1.0,4,4,0.009468404,2030.0
85,True,462.01991248948013,1.0,4,2,0.00931443,2030.0
86,True,649.2866981689192,1.0,4,1,0.00645494,2030.0
87,True,145.03460392254607,1.0,4,0,0.010595009,2030.0
88,True,146.15663189957377,1.0,4,0,0.008158274,2030.0
89,True,677.9674518976782,1.0,6,5,0.0038462672,2030.0
90,True,247.89599639596537,1.0,5,4,0.016467728,2030.0
91,True,394.7826207708949,1.0,5,3,0.004098925,2030.0
92,True,681.906438047881,1.0,6,5,0.0045689386,2030.0
93,True,383.38992543595816,1.0,4,3,0.0048082056,2030.0
94,True,451.5248072901559,1.0,4,2,0.0066320337,2030.0
95,True,377.4091425497572,1.0,4,3,0.0052567115,2030.0
96,True,681.407156309201,1.0,6,5,0.004867415,2030.0
97,True,455.95496232222354,1.0,4,2,0.017049655,2030.0
98,True,588.8362590874278,1.0,6,2,0.012767647,2030.0
99,True,652.0815829898762,1.0,4,1,0.008871724,2030.0
100,True,574.7344642781746,1.0,5,2,0.010536973,2030.0
101,True,144.15051626327073,1.0,4,4,0.009709298,2030.0
102,True,391.78404801985323,1.0,4,3,0.008858326,2030.0
103,True,224.295684961919,1.0,5,5,0.017566174,2030.0
104,True,153.07502684310282,1.0,3,4,0.010913167,2030.0
105,True,465.2538564856474,1.0,4,2,0.01439833,2030.0
106,True,227.9597368230877,1.0,4,5,0.013499134,2030.0
107,True,403.5773401057373,1.0,6,3,0.0058954014,2030.0
108,True,375.2474191420622,1.0,4,3,0.008895327,2030.0
109,True,145.17220247453065,1.0,4,0,0.011132423,2030.0
110,True,448.5652054861673,1.0,4,2,0.013280072,2030.0
111,True,658.6728132220773,1.0,4,1,0.014581653,2030.0
112,True,142.65556230878516,1.0,4,4,0.0048044105,2030.0
113,True,583.3165509663904,1.0,6,2,0.0032435732,2030.0
114,True,445.9718805517174,1.0,6,4,0.0044983886,2030.0
115,True,145.04931379500488,1.0,4,0,0.006261014,2030.0
116,True,148.06414707023805,1.0,4,4,0.009333157,2030.0
117,True,459.6226194738499,1.0,4,2,0.017596515,2030.0
118,True,147.9191293220079,1.0,4,4,0.013617121,2030.0
119,True,146.410393099918,1.0,4,4,0.010914135,2030.0
120,True,386.6616432954195,1.0,4,3,0.010040641,2030.0
121,True,221.3885170526966,1.0,4,5,0.006617972,2030.0
122,True,223.54512610505617,1.0,4,5,0.007872501,2030.0
123,True,646.5439898297279,1.0,6,3,0.002149206,2030.0
124,True,659.7970236135322,1.0,6,3,0.004716184,2030.0
125,True,247.3273260330197,1.0,5,5,0.009683372,2030.0
126,True,721.4678189936817,1.0,6,3,0.0038051575,2030.0
127,True,403.1903759055332,1.0,6,3,0.004839089,2030.0
128,True,853.0542883760884,1.0,6,1,0.0035109078,2030.0
129,True,373.13903805135743,1.0,4,3,0.013129271,2030.0
130,True,382.2636403961245,1.0,4,3,0.01670559,2030.0
131,True,559.1992903176167,1.0,6,2,0.0029874668,2030.0
132,True,382.80796088335194,1.0,4,3,0.009128682,2030.0
133,True,143.95908937257488,1.0,4,0,0.0065862797,2030.0
134,True,470.60337586300693,1.0,4,2,0.009177403,2030.0
135,True,383.4702884633216,1.0,4,3,0.016103003,2030.0
136,True,853.6558518315592,1.0,6,2,0.01588714,2030.0
137,True,679.3361932872621,1.0,6,5,0.0030645777,2030.0
138,True,511.7579890588771,1.0,4,2,0.009972713,2030.0
139,True,146.98708853684843,1.0,4,0,0.0068826424,2030.0
140,True,369.80364096595343,1.0,4,3,0.0046789236,2030.0
141,True,758.2165065221868,1.0,5,1,0.0069049136,2030.0
142,True,674.3080275689085,1.0,6,5,0.004018453,2030.0
143,True,337.60123213652764,1.0,5,4,0.0054601626,2030.0
144,True,395.88998625675526,1.0,5,3,0.006706118,2030.0
145,True,391.1638034390842,1.0,5,3,0.009281035,2030.0
146,True,655.9093808205272,1.0,4,1,0.0061862,2030.0
147,True,144.4538313732167,1.0,4,0,0.011900463,2030.0
148,True,651.5184788879108,1.0,4,1,0.008945328,2030.0
149,True,454.81642455952397,1.0,6,4,0.004475732,2030.0
150,True,368.3960510639877,1.0,6,4,0.0067284717,2030.0
151,True,150.90095406373322,1.0,4,4,0.010923534,2030.0
152,True,330.8167658029869,1.0,5,0,0.007474664,2030.0
153,True,482.92291767063153,1.0,4,2,0.0067004347,2030.0
154,True,465.71580807930576,1.0,6,0,0.004344401,2030.0
155,True,455.9371790251224,1.0,4,2,0.013682083,2030.0
156,True,442.22212109713587,1.0,4,2,0.0058368417,2030.0
157,True,565.1744085084274,1.0,6,2,0.004843325,2030.0
158,True,389.6445077644848,1.0,4,3,0.014000249,2030.0
159,True,144.94212986701422,1.0,4,0,0.012605699,2030.0
160,True,573.6172525951156,1.0,6,2,0.005548146,2030.0
161,True,143.77315805048949,1.0,4,0,0.016514517,2030.0
162,True,653.5432404677649,1.0,4,1,0.011405063,2030.0
163,True,241.4176006122833,1.0,5,4,0.005721915,2030.0
164,True,230.59883790497628,1.0,4,5,0.010939959,2030.0
165,True,393.02875793857004,1.0,5,3,0.008870345,2030.0
166,True,665.704133227876,1.0,4,1,0.012353821,2030.0
167,True,588.0558724859324,1.0,6,5,0.014850389,2030.0
168,True,453.7499482858488,1.0,4,2,0.011897402,2030.0
169,True,376.7227103551543,1.0,4,3,0.009142525,2030.0
170,True,562.8596512884803,1.0,5,2,0.012963569,2030.0
171,True,461.6432291560542,1.0,6,0,0.01739961,2030.0
172,True,459.64768330387494,1.0,4,2,0.0078082825,2030.0
173,True,575.1408426229451,1.0,5,2,0.016791636,2030.0
174,True,858.9488805532287,1.0,6,1,0.009379883,2030.0
175,True,897.1273199011256,1.0,6,1,0.0042396863,2030.0
176,True,225.9203682448678,1.0,4,5,0.014851092,2030.0
177,True,696.362823321115,1.0,6,5,0.002338243,2030.0
178,True,146.27841384965123,1.0,4,0,0.0124804,2030.0
179,True,230.67790105591962,1.0,4,5,0.0074422206,2030.0
180,True,612.8747733006968,1.0,5,2,0.011056034,2030.0
181,True,660.107433262252,1.0,4,1,0.009142905,2030.0
182,True,231.2658317030685,1.0,6,5,0.00801905,2030.0
183,True,652.9789814019625,1.0,4,1,0.009243483,2030.0
184,True,456.77423676895114,1.0,6,0,0.005806203,2030.0
185,True,325.58761743443335,1.0,5,0,0.014511386,2030.0
186,True,458.4461992509324,1.0,6,4,0.006087898,2030.0
187,True,257.31728571346855,1.0,4,5,0.014146375,2030.0
188,True,143.50552989185167,1.0,4,0,0.012360316,2030.0
189,True,144.98317129376818,1.0,4,0,0.008858326,2030.0
190,True,651.0093846826644,1.0,4,1,0.004423827,2030.0
191,True,150.6105086090785,1.0,4,4,0.013251266,2030.0
192,True,660.6812899387309,1.0,6,3,0.004528608,2030.0
193,True,381.02997227062633,1.0,4,3,0.009730263,2030.0
194,True,667.015214844502,1.0,4,1,0.010139103,2030.0
195,True,446.8517245750212,1.0,6,4,0.0031749983,2030.0
196,True,237.31647745646143,1.0,4,5,0.012734614,2030.0
197,True,324.7527050579862,1.0,5,0,0.011739222,2030.0
198,True,487.8202649375496,1.0,4,2,0.005291652,2030.0
199,True,652.5403507682839,1.0,6,3,0.004365614,2030.0
200,True,143.38488658952937,1.0,4,0,0.010399865,2030.0
201,True,232.338962507361,1.0,5,5,0.017511157,2030.0
202,True,226.48456581023459,1.0,5,5,0.0063402792,2030.0
203,True,114.44330495309765,1.0,4,4,0.007770758,2030.0
204,True,646.00902245899,1.0,4,1,0.00881462,2030.0
205,False,326.0763086595291,1.0,4,0,0.006071744,2030.0
206,True,847.3287877257069,1.0,6,1,0.009257069,2030.0
207,True,760.4413750694214,1.0,5,1,0.003283186,2030.0
208,True,223.15858668213139,1.0,4,5,0.0066386214,2030.0
209,True,230.59967069770596,1.0,5,5,0.007677705,2030.0
210,True,650.3550717782407,1.0,4,1,0.0076548154,2030.0
211,True,397.85039174633266,1.0,5,3,0.006752037,2030.0
212,True,394.5596532743867,1.0,6,3,0.007994704,2030.0
213,True,574.1297217903223,1.0,6,2,0.0062255715,2030.0
