user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score
0,True,303.11438272887915,1.0,2,3,0.061734702
1,True,153.76937853431212,1.0,3,5,0.006996702
2,True,532.2843619118919,1.0,2,1,0.041436374
3,True,2.0,1.0,2,0,0.21092544
4,True,158.91393411258332,1.0,3,5,0.009638339
5,True,859.1011005393298,1.0,6,1,0.004292384
6,True,357.848378766272,1.0,2,2,0.082225494
7,True,170.70149392507025,1.0,3,0,0.0064199036
8,True,310.3802900014362,1.0,2,3,0.24207428
9,True,356.03579012597805,1.0,2,2,0.33767313
10,True,176.92639543849745,1.0,3,5,0.023005288
11,True,306.9111837155401,1.0,2,3,0.47324157
12,True,299.10472973457235,1.0,2,3,0.063873425
13,True,2.0,1.0,2,0,0.054225452
14,True,420.7047575554079,1.0,6,3,0.033383377
15,True,417.7309622550583,1.0,3,2,0.018064916
16,True,2.0,1.0,2,0,0.15839523
17,True,127.20795286078996,1.0,2,5,0.09527259
18,True,2.0,1.0,2,0,0.103498355
19,True,839.3479911851412,1.0,6,2,0.01841393
20,True,302.41388629128215,1.0,2,3,0.4447789
21,True,354.7507935896646,1.0,2,2,0.10148265
22,True,722.5420969922021,1.0,6,5,0.0066964943
23,True,678.0462877775423,1.0,5,5,0.035059556
24,True,55.96078253445991,1.0,3,4,0.007793944
25,True,2.0,1.0,2,0,0.0149719175
26,True,52.51841344616068,1.0,3,4,0.0046485616
27,True,363.4345568893733,1.0,2,2,0.032917935
28,True,120.80035498067535,1.0,2,5,0.2567255
29,True,136.59243118366487,1.0,2,5,0.0750373
30,True,388.14247110041873,1.0,2,2,0.07948916
31,True,582.6406041060443,1.0,3,1,0.006694893
32,True,163.2673627013554,1.0,3,5,0.0051796883
33,True,356.2509914746381,1.0,2,2,0.3974473
34,True,288.70455653703607,1.0,2,3,0.310784
35,True,51.06564303514175,1.0,3,4,0.028166063
36,True,160.71947475402325,1.0,3,5,0.0086810645
37,True,302.8430386881523,1.0,2,3,0.06866058
38,True,119.85004143802784,1.0,2,5,0.19918995
39,True,51.90200724514702,1.0,2,4,0.2355527
40,True,2.0,1.0,2,0,0.19023547
41,True,349.43354347287425,1.0,2,2,0.04266805
42,True,612.0035095374103,1.0,3,1,0.010824196
