user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score
0,False,449.81688058582085,1.0,4,4,0.0006690778
1,False,636.5135349067434,1.0,5,3,0.009398235
2,False,881.2786225299797,1.0,5,2,0.0057883305
3,False,609.958543529644,1.0,4,3,0.009315398
4,False,435.6253481822173,1.0,6,0,0.0062969043
5,True,319.6873027313802,1.0,4,0,0.014292444
6,True,973.1166457052394,1.0,6,1,0.008921952
7,False,227.38043487743505,1.0,5,0,0.0059779524
8,False,658.0951901616125,1.0,6,5,0.0046031377
9,False,0.0,1.0,0,0,0.011132417
10,False,526.6965069779351,1.0,4,4,0.013270621
11,False,0.0,1.0,0,5,0.014188824
12,False,698.4964253764855,1.0,5,3,0.0024601102
13,False,855.574996310098,1.0,5,2,0.0066277944
14,False,817.0282209844938,1.0,5,2,0.010049545
15,False,405.48848896822903,1.0,4,4,0.004338918
16,False,628.3647181291549,1.0,5,3,0.0066736713
17,True,325.6260003114933,1.0,6,0,0.014581647
18,False,667.6343942209764,1.0,6,3,0.008921952
19,False,883.401537638405,1.0,4,2,0.012085985
20,False,878.2276875900355,1.0,5,2,0.006766363
21,False,846.2491397411954,1.0,5,1,0.008564284
22,False,308.34865714471334,1.0,5,0,0.010595009
23,False,857.5671480958464,1.0,5,1,0.012833659
24,False,405.7661901904761,1.0,4,3,0.008158274
25,False,582.7220866108197,1.0,5,4,0.009709298
26,False,411.3955421516927,1.0,5,1,0.0013075722
27,False,247.54692082723818,1.0,4,4,0.0029451544
28,False,905.9220203780454,1.0,6,2,0.015731439
29,False,949.6019724717594,1.0,6,3,0.0068084504
30,False,650.3428798116136,1.0,5,3,0.0020622814
31,True,358.97439990481325,1.0,6,0,0.009136501
32,False,365.16134745328924,1.0,4,1,0.0072428673
33,True,610.2834223044822,1.0,6,3,0.00564713
34,False,469.30314946783824,1.0,5,4,0.010428505
35,True,467.2951020365401,1.0,6,4,0.007201404
36,False,395.26281438607805,1.0,3,3,0.006632037
37,True,853.3243688365951,1.0,6,1,0.0027987661
38,False,669.5423457924842,1.0,5,5,0.007872501
39,False,291.33602846749193,1.0,2,3,0.010166634
40,True,608.4675673784465,1.0,6,5,0.003031388
41,False,555.5278067119909,1.0,4,2,0.017511157
42,False,109.97463427892086,1.0,4,5,0.0074264
43,False,598.4819938212968,1.0,5,5,0.011513559
44,False,559.8448019471857,1.0,5,4,0.002459213
45,False,325.93439895980987,1.0,5,0,0.007850361
46,True,282.2743895296425,1.0,5,0,0.004873253
47,False,620.5047708769345,1.0,5,3,0.0080674235
48,False,329.4889886147188,1.0,4,1,0.008223293
49,True,925.0454046317129,1.0,6,1,0.002149205
50,False,854.9847413831499,1.0,5,1,0.005774563
51,False,948.6194819198013,1.0,6,1,0.009468404
52,False,667.6754497887025,1.0,6,3,0.003898015
53,False,676.6927085762882,1.0,6,3,0.011895294
54,False,206.17167616051927,1.0,4,5,0.009761523
55,False,295.6205174264104,1.0,3,0,0.005468979
56,False,1467.142116489858,1.0,6,1,0.011187854
57,False,799.4750999354717,1.0,5,2,0.010939959
58,True,937.4969076883151,1.0,6,1,0.017049655
59,False,0.0,1.0,0,0,0.0064199036
60,True,992.4944905237096,1.0,6,2,0.007770758
61,False,315.9001904241146,1.0,5,0,0.004365614
62,False,354.19258990203593,1.0,4,4,0.007677705
63,False,993.2582554914823,1.0,6,1,0.005346171
64,False,664.9603374059543,1.0,5,3,0.0066386214
65,False,974.7902062722615,1.0,6,1,0.017006604
66,False,834.8543716770388,1.0,5,2,0.005436111
67,False,536.711358910554,1.0,5,4,0.008191256
68,False,640.9030346308979,1.0,5,5,0.004779031
69,False,677.9565630430374,1.0,5,3,0.0069417735
70,False,377.47949541220305,1.0,3,3,0.0051004183
71,False,320.54826772592435,1.0,5,0,0.017596515
72,False,645.3019388039085,1.0,5,5,0.004528608
73,False,317.29102360166667,1.0,4,0,0.008517155
74,False,677.7659929334477,1.0,6,3,0.0112665035
75,False,877.1440357892615,1.0,5,2,0.0114572225
76,False,457.37838542479153,1.0,5,4,0.007793944
77,False,1259.6521757185722,1.0,6,2,0.013498721
78,True,873.540118432399,1.0,6,2,0.0061034225
79,False,687.9039231284862,1.0,6,4,0.015408746
80,False,65.71356608623914,1.0,1,2,0.0067004347
81,False,521.6098807360277,1.0,4,2,0.00722397
82,True,452.00223153584363,1.0,6,4,0.004843325
83,False,0.0,1.0,0,2,0.012547343
84,False,791.7927796402539,1.0,4,1,0.008072328
85,False,0.0,1.0,0,0,0.004239688
86,False,0.0,1.0,0,1,0.008871724
87,False,0.0,1.0,0,0,0.006454897
88,False,471.35994874501966,1.0,2,5,0.01618508
89,False,1103.855250276622,1.0,6,2,0.0039758882
90,False,183.19238075275024,1.0,3,0,0.007302408
91,False,852.7926667955355,1.0,5,1,0.012309729
92,False,0.0,1.0,0,1,0.00645494
93,False,461.38533989426855,1.0,6,0,0.0059804716
