user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,True,686.0135435298838,1.0,6,5,0.19935058,2025.0
1,True,461.1071381593632,1.0,6,4,0.12766592,2025.0
2,False,240.40099619257913,1.0,3,5,0.14145547,2025.0
3,True,345.88852187056426,1.0,2,2,0.49692807,2025.0
4,False,580.9099168440639,1.0,5,4,0.06983453,2025.0
5,False,0.0,1.0,0,3,0.012024559,2025.0
6,False,378.71174010669694,1.0,4,4,0.09527259,2025.0
7,False,976.8798506085325,1.0,6,1,0.011895294,2025.0
8,False,670.3609519386575,1.0,5,3,0.011897402,2025.0
9,True,594.5233713605186,1.0,6,5,0.09988915,2025.0
10,False,0.0,1.0,0,1,0.21406023,2025.0
11,True,106.97397355595623,1.0,2,4,0.481334,2025.0
12,False,1108.6812621456497,1.0,6,5,0.0058755237,2025.0
13,True,355.83958854889386,1.0,4,3,0.062315557,2025.0
14,True,128.97270087739085,1.0,3,1,0.3999032,2025.0
15,False,1.0,1.0,1,1,0.017227666,2025.0
16,False,681.0164299496606,1.0,6,5,0.15410167,2025.0
17,False,0.0,1.0,0,0,0.35980546,2025.0
18,False,671.8400048478309,1.0,5,3,0.017586874,2025.0
19,False,375.006898375578,1.0,4,4,0.007501409,2025.0
20,True,141.63563768042,1.0,4,4,0.25112066,2025.0
21,False,598.8411579002438,1.0,5,5,0.0010251465,2025.0
22,False,489.69425217595085,1.0,4,4,0.018503029,2025.0
23,False,542.1714109704953,1.0,4,5,0.024704823,2025.0
24,True,411.63728932361704,1.0,6,0,0.08631716,2025.0
25,True,857.573095893855,1.0,6,1,0.05458836,2025.0
26,False,840.2099885361669,1.0,4,1,0.0051366864,2025.0
27,False,0.0,1.0,0,0,0.32088816,2025.0
28,True,2.0,1.0,2,4,0.1839525,2025.0
29,False,295.71625094143997,1.0,2,3,0.004512585,2025.0
30,False,612.3907786907617,1.0,6,4,0.4793886,2025.0
31,False,259.03012673216637,1.0,6,0,0.1527618,2025.0
32,True,440.8497165211552,1.0,6,4,0.1764376,2025.0
33,True,498.1493100719572,1.0,6,0,0.1336535,2025.0
34,False,839.2804260125513,1.0,5,1,0.0069966987,2025.0
35,True,4.282877340047737,1.0,2,3,0.48744115,2025.0
36,True,456.26671606683453,1.0,4,2,0.19223106,2025.0
37,True,394.72242351980896,1.0,6,3,0.41423777,2025.0
38,True,300.1725044618428,1.0,4,4,0.028383136,2025.0
39,True,582.1283817157432,1.0,6,2,0.009760104,2025.0
40,True,837.2646127389692,1.0,5,2,0.039692476,2025.0
41,False,238.79794857122553,1.0,4,0,0.011243696,2025.0
42,True,239.2277715914886,1.0,4,1,0.2788419,2025.0
43,True,716.662637533823,1.0,6,3,0.105649784,2025.0
44,False,675.9078099062076,1.0,5,5,0.105029546,2025.0
45,False,319.3177362387139,1.0,5,0,0.13328177,2025.0
46,False,451.7459300882492,1.0,5,4,0.08256059,2025.0
47,True,89.7311083750613,1.0,2,2,0.13848242,2025.0
48,True,319.6415205484556,1.0,6,0,0.23332447,2025.0
49,True,842.8992144295951,1.0,5,2,0.25356367,2025.0
50,True,280.8630730172133,1.0,2,3,0.32114193,2025.0
51,False,906.3333863447241,1.0,5,1,0.010237257,2025.0
52,True,296.82213444983915,1.0,2,3,0.45757017,2025.0
53,True,434.68611960421947,1.0,6,4,0.027791295,2025.0
54,False,726.7470619903575,1.0,3,1,0.17648697,2025.0
55,False,409.1304019451718,1.0,5,0,0.3062686,2025.0
56,False,0.0,1.0,0,4,0.06715619,2025.0
57,True,942.703723805742,1.0,6,2,0.005866406,2025.0
58,False,333.58821159725625,1.0,3,4,0.0048044105,2025.0
59,True,512.5273317292442,1.0,6,4,0.056361303,2025.0
60,False,921.8499186808647,1.0,5,1,0.023152312,2025.0
61,False,1190.9252701847176,1.0,6,2,0.067006335,2025.0
62,False,322.3945035158807,1.0,4,0,0.022531537,2025.0
63,True,311.00039957613734,1.0,4,0,0.39184058,2025.0
64,True,220.80473392157205,1.0,3,4,0.19237262,2025.0
65,True,2.0,1.0,2,0,0.46815398,2025.0
66,False,321.4531979564216,1.0,4,0,0.0040410855,2025.0
67,False,574.1232123519258,1.0,5,4,0.03281329,2025.0
68,True,317.9995576476838,1.0,4,0,0.037031513,2025.0
69,True,51.96889808837041,1.0,2,5,0.2554748,2025.0
70,False,421.0349250365356,1.0,5,4,0.19332768,2025.0
71,False,623.9280098173347,1.0,5,2,0.0044633937,2025.0
72,False,209.96601693203772,1.0,2,5,0.10906861,2025.0
73,True,62.609584288915634,1.0,2,1,0.35433137,2025.0
74,True,207.47818971423092,1.0,3,2,0.080734685,2025.0
75,True,943.4011721834767,1.0,6,1,0.1112844,2025.0
76,True,509.1906830733972,1.0,3,2,0.03525853,2025.0
77,True,703.250500540085,1.0,6,5,0.013142152,2025.0
78,False,898.4364806182662,1.0,5,1,0.14812775,2025.0
79,True,324.9733250888369,1.0,5,0,0.33305162,2025.0
80,False,0.0,1.0,0,3,0.19663556,2025.0
81,False,937.1683947975409,1.0,6,1,0.0069049136,2025.0
82,True,409.7146824335614,1.0,6,4,0.075925834,2025.0
83,True,56.2711972833586,1.0,2,2,0.49474153,2025.0
84,False,1193.6282664175,1.0,6,5,0.0607864,2025.0
85,True,753.4506434669272,1.0,6,3,0.10148265,2025.0
86,False,930.0607510513933,1.0,6,2,0.0078082825,2025.0
87,True,335.5750520043139,1.0,4,4,0.05124757,2025.0
88,True,646.3699323285302,1.0,6,5,0.026023729,2025.0
89,False,470.75876025057835,1.0,5,4,0.013682134,2025.0
90,False,454.14981380940867,1.0,5,4,0.010914135,2025.0
91,True,125.43790367796431,1.0,3,2,0.36821538,2025.0
92,False,760.8726166952576,1.0,5,2,0.006088968,2025.0
93,True,169.86025457956043,1.0,2,0,0.34906277,2025.0
94,True,638.194218999665,1.0,6,5,0.19351964,2025.0
95,True,419.38425670469417,1.0,4,2,0.3248749,2025.0
96,False,401.63460545301854,1.0,5,3,0.027952494,2025.0
97,True,310.9744762215132,1.0,5,1,0.26103494,2025.0
98,False,746.8043871528275,1.0,4,1,0.032588184,2025.0
99,False,377.7168009589257,1.0,5,3,0.07255322,2025.0
100,False,0.0,1.0,0,0,0.019323604,2025.0
101,False,0.0,1.0,0,2,0.19023547,2025.0
102,False,405.3581868427909,1.0,6,0,0.005806203,2025.0
103,False,0.0,1.0,0,4,0.005721915,2025.0
104,False,550.4484193098517,1.0,4,2,0.039708585,2025.0
105,False,668.6545088289752,1.0,6,3,0.025724921,2025.0
106,False,436.00873036507335,1.0,6,0,0.21143673,2025.0
107,False,140.2566860638463,1.0,4,5,0.29878467,2025.0
108,True,49.015524533461246,1.0,4,5,0.052730773,2025.0
109,False,1233.129405508971,1.0,6,2,0.18443087,2025.0
110,True,430.2522706660641,1.0,6,1,0.011287542,2025.0
111,True,309.15776808765753,1.0,3,4,0.4447789,2025.0
112,True,602.6347077999892,1.0,4,3,0.06027313,2025.0
113,True,668.7251018456548,1.0,4,1,0.069704704,2025.0
114,False,457.3002878763741,1.0,5,4,0.0856525,2025.0
115,True,676.3880791963112,1.0,6,3,0.053202312,2025.0
116,True,353.33602974948565,1.0,3,3,0.041603662,2025.0
117,False,0.0,1.0,0,4,0.0071517597,2025.0
118,False,942.9410223117285,1.0,5,1,0.045826748,2025.0
119,True,45.179048124906515,1.0,2,4,0.05915244,2025.0
120,False,487.57389711989464,1.0,6,0,0.042339254,2025.0
