user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
0,1,50.91181503537227,0,2,5,0.19935061,2028.0
1,1,2.0,0,2,4,0.12766592,2028.0
2,1,51.910405703408685,0,2,5,0.14145544,2028.0
3,1,2.0,0,2,2,0.49692807,2028.0
4,1,142.38991416507383,0,3,4,0.069834515,2028.0
5,1,350.94352652816497,0,4,3,0.012024565,2028.0
6,1,2.0,0,2,4,0.09527259,2028.0
7,1,592.2632136048339,0,3,1,0.011895294,2028.0
8,1,336.55182551705605,0,3,3,0.011897402,2028.0
9,1,56.605722000976684,0,3,5,0.09988915,2028.0
10,1,78.9879862822232,0,3,1,0.21406022,2028.0
11,1,2.0,0,2,4,0.481334,2028.0
12,1,173.61014912065767,0,3,5,0.0058755237,2028.0
13,1,354.73644481664394,0,3,3,0.062315535,2028.0
14,1,74.95852351110075,0,2,1,0.39990324,2028.0
15,1,596.9956340979114,0,3,1,0.017227666,2028.0
16,1,229.62166257255464,0,3,5,0.15410167,2028.0
17,1,2.0,0,2,0,0.35980552,2028.0
18,1,328.11260889788537,0,3,3,0.017586874,2028.0
19,1,52.23235410938962,0,3,4,0.0075014126,2028.0
20,1,2.0,0,2,4,0.2511207,2028.0
21,1,626.8524635759267,0,5,5,0.0010251465,2028.0
22,1,151.00024006099198,0,3,4,0.018503029,2028.0
23,1,179.37882064801192,0,4,5,0.024704823,2028.0
24,1,3.0,0,3,0,0.08631718,2028.0
25,1,613.2570243732251,0,3,1,0.054588377,2028.0
26,1,663.1765092529904,0,4,1,0.0051366836,2028.0
27,1,4.162762185292877,0,3,0,0.32088813,2028.0
28,1,38.39624698204406,0,2,4,0.1839525,2028.0
29,1,327.4847338726201,0,3,3,0.004512585,2028.0
30,1,2.0,0,2,4,0.4793886,2028.0
31,1,2.0,0,2,0,0.15276177,2028.0
32,1,2.0,0,2,4,0.1764376,2028.0
33,1,3.0,0,3,0,0.13365352,2028.0
34,1,593.4140839919219,0,3,1,0.006996702,2028.0
35,1,2.0,0,2,3,0.48744112,2028.0
36,1,90.63116344471484,0,2,2,0.19223104,2028.0
37,1,21.277089553813948,0,2,3,0.41423777,2028.0
38,1,32.20383744912081,0,3,4,0.02838313,2028.0
39,1,430.27610492872066,0,3,2,0.009760104,2028.0
40,1,95.60248269595238,0,6,2,0.039692476,2028.0
41,1,10.145562942253008,0,4,0,0.011243696,2028.0
42,1,52.891290669508464,0,2,1,0.27884188,2028.0
43,1,48.78748252228119,0,2,3,0.105649784,2028.0
44,1,51.71522181959646,0,2,5,0.105029546,2028.0
45,1,3.0,0,3,0,0.13328177,2028.0
46,1,43.95442892629028,0,2,4,0.08256059,2028.0
47,1,89.7311083750613,0,2,2,0.1384824,2028.0
48,1,182.38715575087164,0,2,0,0.23332447,2028.0
49,1,89.83000003269622,0,2,2,0.25356367,2028.0
50,1,5.399090434524034,0,3,3,0.32114193,2028.0
51,1,590.9708922443316,0,3,1,0.010237262,2028.0
52,1,22.090683430060015,0,2,3,0.4575701,2028.0
53,1,158.25251480881892,0,4,4,0.0277913,2028.0
54,1,55.406016835088835,0,2,1,0.17648697,2028.0
55,1,3.0,0,3,0,0.3062686,2028.0
56,1,2.0,0,2,4,0.06715619,2028.0
57,1,575.036294859909,0,6,2,0.005866409,2028.0
58,1,45.41312679150769,0,3,4,0.0048044105,2028.0
59,1,2.0,0,2,4,0.05636132,2028.0
60,1,183.221815233687,0,4,1,0.023152312,2028.0
61,1,90.78436526544222,0,2,2,0.06700636,2028.0
62,1,5.692415918914804,0,4,0,0.022531537,2028.0
63,1,2.0,0,2,0,0.39184058,2028.0
64,1,2.0,0,2,4,0.19237264,2028.0
65,1,2.0,0,2,0,0.46815398,2028.0
66,1,185.59695421263683,0,3,0,0.0040410855,2028.0
67,1,191.54989115612716,0,3,4,0.03281329,2028.0
68,1,2.0,0,2,0,0.037031513,2028.0
69,1,4.0,0,4,5,0.2554748,2028.0
70,1,2.0,0,2,4,0.1933277,2028.0
71,1,436.110141503217,0,3,2,0.0044633937,2028.0
72,1,52.173910406074256,0,2,5,0.10906859,2028.0
73,1,74.66754174818014,0,2,1,0.35433137,2028.0
74,1,89.69767766151128,0,2,2,0.08073468,2028.0
75,1,604.3180389007446,0,3,1,0.11128442,2028.0
76,1,90.01563016673316,0,3,2,0.03525854,2028.0
77,1,124.36629619751204,0,4,5,0.013142145,2028.0
78,1,54.32826582246319,0,2,1,0.14812776,2028.0
79,1,2.0,0,2,0,0.33305162,2028.0
80,1,55.44950597986478,0,4,3,0.19663556,2028.0
81,1,582.93275804179,0,3,1,0.0069049136,2028.0
82,1,2.0,0,2,4,0.07592585,2028.0
83,1,2.0,0,2,2,0.49474153,2028.0
84,1,52.0271400200483,0,3,5,0.060786407,2028.0
85,1,355.5104366813175,0,3,3,0.10148265,2028.0
86,1,422.3338333261925,0,4,2,0.007808286,2028.0
87,1,47.458803219573156,0,3,4,0.051247586,2028.0
88,1,133.79885165823623,0,5,5,0.026023729,2028.0
89,1,50.7267445276336,0,3,4,0.01368214,2028.0
90,1,260.08215763828133,0,4,4,0.01091414,2028.0
91,1,86.86775360809943,0,2,2,0.36821535,2028.0
92,1,417.4913701347207,0,3,2,0.006088968,2028.0
93,1,3.0,0,3,0,0.34906277,2028.0
94,1,4.0,0,4,5,0.19351965,2028.0
95,1,43.71093524787596,0,3,2,0.3248749,2028.0
96,1,383.2672603031816,0,3,3,0.027952489,2028.0
97,1,52.93998073515032,0,2,1,0.26103494,2028.0
98,1,614.8443199007685,0,3,1,0.032588184,2028.0
99,1,49.05761405358773,0,2,3,0.07255322,2028.0
100,1,2.0,0,2,0,0.019323608,2028.0
101,1,4.0,0,4,2,0.19023547,2028.0
102,1,4.0,0,4,0,0.005806203,2028.0
103,1,34.39945971572321,0,3,4,0.005721915,2028.0
104,1,448.51506602120645,0,3,2,0.039708592,2028.0
105,1,333.43230061083045,0,3,3,0.025724921,2028.0
106,1,2.0,0,2,0,0.21143673,2028.0
107,1,3.0,0,3,5,0.29878467,2028.0
108,1,51.58791169792475,0,2,5,0.052730788,2028.0
109,1,87.11240163530375,0,2,2,0.18443084,2028.0
110,1,589.2810265837466,0,3,1,0.011287542,2028.0
111,1,2.0,0,2,4,0.4447789,2028.0
112,1,70.66603016219827,0,3,3,0.06027313,2028.0
113,1,52.78807498723626,0,2,1,0.06970472,2028.0
114,1,2.0,0,2,4,0.085652515,2028.0
115,1,70.65151061290274,0,3,3,0.053202342,2028.0
116,1,71.19265860857861,0,3,3,0.041603662,2028.0
117,1,240.93546673707158,0,4,4,0.0071517625,2028.0
118,1,129.00915219596612,0,3,1,0.045826748,2028.0
119,1,2.0,0,2,4,0.05915244,2028.0
120,1,3.0,0,3,0,0.042339254,2028.0
121,1,53.42114152710607,0,2,1,0.14399274,2028.0
122,1,2.0,0,2,4,0.19666058,2028.0
123,1,173.00392614301987,0,3,5,0.009213182,2028.0
