user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score
0,False,647.8778312342292,1.0,5,5,0.1715309
1,False,676.6170678814177,1.0,5,5,0.10756233
2,False,132.42280537448545,1.0,2,2,0.04125648
3,False,75.60360184021393,1.0,5,1,0.1387967
4,False,146.46966663785238,1.0,5,3,0.056782506
5,False,1.0,1.0,1,4,0.1688107
6,True,234.12158911672142,1.0,3,3,0.13363743
7,False,88.80829552353195,1.0,5,1,0.10413679
8,False,83.31827782694697,1.0,5,1,0.038306
9,False,2.0,1.0,2,4,0.029736254
10,False,73.72968770356331,1.0,3,1,0.04441271
11,False,611.3036632522965,1.0,4,5,0.15758882
12,False,490.16543857243755,1.0,5,0,0.01726184
13,False,441.9623342146477,1.0,5,0,0.05988306
14,False,412.5945719025801,1.0,5,0,0.11171148
15,False,275.5261851038212,1.0,5,2,0.08542881
16,False,195.7071300752436,1.0,5,3,0.055817436
17,False,119.52974834815171,1.0,5,4,0.0433057
18,False,122.1306413429738,1.0,3,2,0.097436845
19,False,245.13787916063222,1.0,2,5,0.052044693
20,False,614.3859754173859,1.0,5,5,0.099595815
21,False,93.68427092543176,1.0,5,1,0.032427475
22,False,280.4616736335389,1.0,5,2,0.014490296
23,False,304.7033952065805,1.0,5,2,0.033596642
24,False,85.81755628328955,1.0,5,1,0.024354324
25,True,81.25997157783489,1.0,2,1,0.17935656
26,False,146.74074589534607,1.0,5,4,0.049359225
27,False,119.85864921378078,1.0,5,3,0.03236979
28,False,139.69393344825397,1.0,2,4,0.045118753
29,False,83.56352734885756,1.0,3,1,0.087735854
30,False,150.47581139615295,1.0,5,1,3.6632343e-06
31,False,332.0739718424277,1.0,5,2,0.18246707
32,False,276.3042631698805,1.0,5,2,0.024228636
33,False,258.6815950709764,1.0,5,2,0.17272238
34,False,215.11927653856844,1.0,4,3,0.06541541
35,False,123.00270499620605,1.0,5,3,0.060269065
36,False,523.482307880048,1.0,5,0,0.05361135
37,False,178.45757047297556,1.0,5,4,0.1350747
38,False,303.4790428000142,1.0,5,2,0.09687487
39,False,144.78552636369778,1.0,5,1,3.5330493e-06
40,False,251.94047775604895,1.0,5,2,0.022637006
41,False,1.0,1.0,1,4,0.08996412
42,False,1.0,1.0,1,0,0.100202695
43,False,85.12240537962057,1.0,5,1,0.06835926
44,False,440.8337651250042,1.0,5,0,0.113389626
45,False,753.1253645078339,1.0,5,5,0.03247336
46,True,20.113747296745785,1.0,2,2,0.18949221
47,False,584.104104499644,1.0,4,5,0.09466532
48,True,65.5488485413202,1.0,2,4,0.14692584
49,False,79.74781710537205,1.0,5,1,0.13996758
50,False,132.2572725005549,1.0,5,3,0.021586472
51,False,87.87172059154602,1.0,5,1,0.04860466
52,False,79.1060597896978,1.0,5,1,0.11685561
53,True,97.58117667333244,1.0,2,0,0.17630209
54,False,2.0,1.0,2,5,0.053863663
55,False,276.9329749663011,1.0,5,2,0.025131345
56,False,280.1936017783439,1.0,5,2,0.046182767
57,False,485.96221551748135,1.0,5,0,0.043071944
58,False,182.9383227116052,1.0,4,4,0.06259036
59,True,137.42501265671797,1.0,2,4,0.17829613
60,False,82.3537685025739,1.0,5,1,0.18033126
61,False,691.916883108518,1.0,5,5,0.023801235
62,False,193.93216347543122,1.0,5,3,0.02977738
63,False,264.196259208908,1.0,5,2,0.03507945
64,False,688.7048668075779,1.0,5,5,0.16028927
65,False,128.54399067948037,1.0,5,4,0.022740051
66,False,185.71406158443563,1.0,2,0,0.024648966
67,False,133.7071501626588,1.0,5,3,0.15627857
68,False,785.3061793468908,1.0,5,5,0.079099245
69,False,257.98639521148567,1.0,4,0,0.048585106
70,False,95.3614128073026,1.0,5,1,0.16535622
71,False,562.5273160406365,1.0,5,5,3.6846386e-06
72,False,242.1557420872677,1.0,4,3,0.043118175
73,True,156.08336072984065,1.0,3,2,0.065587305
74,False,89.09158943431422,1.0,5,1,0.10196678
75,False,178.26416871459986,1.0,5,4,0.055011433
76,False,162.7629950624006,1.0,5,4,0.06590541
77,False,83.7044083297777,1.0,5,1,0.08318069
78,False,95.61760668667223,1.0,5,1,0.17268369
79,False,43.45787659451403,1.0,2,0,0.15782496
80,True,141.94109354299792,1.0,3,0,0.14358589
81,False,696.2589676766842,1.0,5,5,0.061892424
82,False,492.90627768574836,1.0,5,0,0.13919087
83,False,107.85168201441113,1.0,5,4,0.0495892
84,True,70.3812574604772,1.0,2,3,0.19065918
85,False,309.45871204683283,1.0,3,5,0.049372226
86,False,93.58884152738094,1.0,5,1,0.14892691
87,False,122.5902992215065,1.0,5,3,0.051771514
88,False,99.87123033358922,1.0,2,3,0.018058581
89,True,137.9224675737679,1.0,2,1,0.14889802
90,False,151.28446767548564,1.0,5,4,3.590871e-06
91,False,74.81678220317669,1.0,5,1,0.05446273
92,False,280.03501548821305,1.0,4,3,0.14105263
93,False,277.25653570466903,1.0,5,2,0.035768088
94,False,289.96886907036514,1.0,5,2,0.12976691
95,False,269.63779453416936,1.0,5,2,0.017040772
96,False,1.0,1.0,1,0,0.17766032
97,False,2.0,1.0,2,1,0.055452093
98,False,1.0,1.0,1,1,0.08626039
99,False,264.87040592450546,1.0,5,2,0.084769025
100,False,155.2705146017636,1.0,5,3,0.019622998
101,False,270.2877478974423,1.0,5,2,0.10250655
102,False,159.66469716015905,1.0,5,3,0.026295414
103,False,145.5153042497804,1.0,5,3,0.03131705
104,False,773.2593136121,1.0,5,5,0.05332928
105,False,147.99528035124706,1.0,5,4,0.02595251
106,False,325.3206556733074,1.0,5,2,0.13981465
107,False,139.18136180467252,1.0,5,3,0.025862535
108,True,162.77677409415182,1.0,2,3,0.1474203
109,True,2.0,1.0,2,5,0.1795534
110,False,200.3183584634113,1.0,5,4,0.1653957
111,False,220.19741533719048,1.0,2,5,0.060376476
112,False,735.569166213244,1.0,5,5,0.1680648
113,False,2.0,1.0,2,3,0.06763459
114,False,616.7915870966905,1.0,5,5,0.111868344
115,False,119.5912742275589,1.0,5,3,0.0414278
116,False,157.8262891065329,1.0,5,4,0.04484952
117,False,337.5288900852594,1.0,3,5,0.05355907
118,False,195.1839810580211,1.0,5,4,0.010289093
119,True,2.0,1.0,2,5,0.17177217
120,False,2.0,1.0,2,1,0.048919838
121,False,262.6613662508363,1.0,5,2,0.12808725
122,False,121.03562553538255,1.0,3,2,0.05974901
123,False,111.34138421515377,1.0,5,3,0.17454425
124,True,109.38554848177917,1.0,2,4,0.17118302
125,False,277.36941347808687,1.0,5,2,0.16628566
126,False,127.75481645398006,1.0,5,4,0.049259238
127,False,111.63196847384782,1.0,5,4,0.049456686
128,False,333.0419680285329,1.0,5,2,0.027041877
129,False,136.6015710600666,1.0,4,2,0.104981415
130,False,2.0,1.0,2,1,0.068676464
131,False,334.32178886022143,1.0,5,2,0.14563721
132,True,119.14770785186867,1.0,2,1,0.18862724
133,False,78.8546596843374,1.0,5,1,0.09650267
134,False,1.0,1.0,1,1,0.074129455
135,False,80.08262577158638,1.0,5,1,0.024992382
136,False,138.0373974398109,1.0,5,3,0.1758416
137,False,136.0145449266951,1.0,5,3,0.09382498
138,False,456.66616200709353,1.0,5,0,0.07051433
139,False,463.1223737395596,1.0,5,0,0.17229453
140,False,194.44049173646135,1.0,4,4,0.17167565
141,True,20.669200937263177,1.0,2,2,0.17988257
142,False,212.8436999258533,1.0,4,4,0.08847239
