user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,False,60.71543418346746,1.0,2,4,0.04031233,2024.0
1,False,1.0,1.0,1,4,0.103689894,2024.0
2,False,1.0,1.0,1,1,0.04860466,2024.0
3,False,1.0,1.0,1,3,0.14346182,2024.0
4,False,158.53156012573788,1.0,4,1,0.03155896,2024.0
5,False,1.0,1.0,1,5,0.052289028,2024.0
6,False,21.236839208215983,1.0,2,3,0.16823426,2024.0
7,False,1.0,1.0,1,0,0.061581556,2024.0
8,False,1.0,1.0,1,1,0.18146868,2024.0
9,False,388.16113154306413,1.0,4,0,0.14493558,2024.0
10,False,112.98145609230502,1.0,2,5,0.05448069,2024.0
11,False,258.41171356613285,1.0,4,3,0.041172158,2024.0
12,False,1.0,1.0,1,0,0.06171145,2024.0
13,False,1.0,1.0,1,0,0.16876987,2024.0
14,False,624.6301338756323,1.0,5,5,0.040575642,2024.0
15,False,1.0,1.0,1,0,0.18698905,2024.0
16,False,439.7593642283322,1.0,4,5,0.054265402,2024.0
17,False,324.44501908191654,1.0,4,4,0.010304988,2024.0
18,False,343.1603464117856,1.0,3,4,0.009750919,2024.0
19,False,405.58250602956224,1.0,4,4,0.15682766,2024.0
20,False,298.00837539815643,1.0,4,3,0.16251266,2024.0
21,True,109.57562103804561,1.0,3,1,0.13240361,2024.0
22,False,411.959122572978,1.0,4,0,0.08051756,2024.0
23,False,1.0,1.0,1,2,0.08614129,2024.0
24,False,1.0,1.0,1,2,0.041495547,2024.0
25,False,1.0,1.0,1,2,0.017040772,2024.0
26,False,65.85576583144058,1.0,3,2,0.07731332,2024.0
27,False,121.34921081582517,1.0,4,2,0.16628566,2024.0
28,False,273.03888931212214,1.0,4,3,0.09730074,2024.0
29,False,233.6882749587223,1.0,4,1,0.04205308,2024.0
30,False,1.0,1.0,1,4,0.0351138,2024.0
31,False,341.35708571425397,1.0,4,0,0.16344815,2024.0
32,False,1.0,1.0,1,3,0.13944079,2024.0
33,True,323.59229983920176,1.0,4,3,0.05189213,2024.0
34,False,259.38014652933265,1.0,4,3,0.082334,2024.0
35,False,113.03587406890998,1.0,2,5,0.17558056,2024.0
36,False,1.0,1.0,1,4,0.11553081,2024.0
37,False,258.31131953920544,1.0,4,3,0.17712347,2024.0
38,False,1.0,1.0,1,3,0.13751982,2024.0
