user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,False,109.992924253292,1.0,3,2,0.09898443,2028.0
1,True,57.716776301568544,1.0,2,3,0.38139293,2028.0
2,True,66.66383493372237,1.0,2,0,0.385514,2028.0
3,False,589.4327485399567,1.0,7,4,0.029885905,2028.0
4,True,142.87147971123485,1.0,2,4,0.3937919,2028.0
5,True,2.0,1.0,2,5,0.42764953,2028.0
6,False,409.9605830585368,1.0,5,3,0.01664394,2028.0
7,True,18.984092182463456,1.0,2,2,0.43573368,2028.0
8,False,94.64058491034578,1.0,3,3,3.7627117e-06,2028.0
9,True,22.534732698287467,1.0,2,2,0.47582033,2028.0
10,True,58.3659823939001,1.0,2,3,0.39795265,2028.0
11,True,95.93543887489093,1.0,2,1,0.36146137,2028.0
12,True,139.40815718093006,1.0,2,4,0.38744342,2028.0
13,False,238.72620603366565,1.0,3,0,0.11090609,2028.0
14,True,19.01056461746758,1.0,2,2,0.44907856,2028.0
15,True,69.78506022293674,1.0,2,0,0.33352363,2028.0
16,True,279.68545816816186,1.0,6,1,0.073802136,2028.0
17,True,71.23357685989816,1.0,2,0,0.49291182,2028.0
18,False,19.25529659949879,1.0,2,2,0.081198156,2028.0
19,True,2.0,1.0,2,5,0.38945758,2028.0
20,False,93.93822153839426,1.0,3,3,0.021162162,2028.0
21,False,200.11014412608912,1.0,4,1,0.26291656,2028.0
22,True,132.54382463714003,1.0,2,4,0.44882575,2028.0
23,True,74.73514281820995,1.0,2,0,0.3718077,2028.0
24,True,130.5230263636977,1.0,2,4,0.46906173,2028.0
25,True,121.045668552421,1.0,2,4,0.4692023,2028.0
26,True,141.10513778675053,1.0,2,4,0.23702706,2028.0
27,True,119.9733480306135,1.0,2,4,0.3531687,2028.0
28,False,2.0,1.0,2,5,0.14384001,2028.0
29,True,66.79135351731067,1.0,2,0,0.48393998,2028.0
30,True,25.68653609437192,1.0,2,2,0.39855316,2028.0
31,False,492.95742787627034,1.0,5,4,0.006809705,2028.0
32,True,63.95455276587049,1.0,2,0,0.44573516,2028.0
33,True,2.0,1.0,2,5,0.27474093,2028.0
34,False,97.83368891343079,1.0,1,3,0.4701253,2028.0
35,True,83.87574208731445,1.0,2,1,0.2684859,2028.0
36,False,256.26140917934714,1.0,4,3,0.069772236,2028.0
37,True,95.75140454360411,1.0,2,1,0.274676,2028.0
38,True,2.0,1.0,2,5,0.44408616,2028.0
39,True,29.14499206134574,1.0,2,2,0.45124584,2028.0
40,True,74.81851820709228,1.0,2,1,0.4054434,2028.0
41,False,2.0,1.0,2,4,0.30420634,2028.0
42,True,19.32985123888182,1.0,2,2,0.32094282,2028.0
43,False,20.685701936963966,1.0,2,2,0.12980095,2028.0
44,True,2.0,1.0,2,5,0.3818236,2028.0
45,True,614.6345692096886,1.0,5,5,0.17907844,2028.0
46,True,2.0,1.0,2,5,0.36894825,2028.0
47,True,72.60116677096582,1.0,2,1,0.29668924,2028.0
48,True,76.96322919450996,1.0,2,1,0.38022494,2028.0
49,True,73.11710216561521,1.0,2,1,0.25542757,2028.0
50,True,92.99125774023095,1.0,3,3,0.24427184,2028.0
51,True,133.8263328191964,1.0,4,2,0.19259761,2028.0
52,False,367.6227564506912,1.0,5,3,0.014895346,2028.0
53,True,2.0,1.0,2,5,0.23262425,2028.0
54,True,54.29721131787335,1.0,2,3,0.41968003,2028.0
55,True,55.43018640233823,1.0,3,4,0.44244036,2028.0
56,True,126.36952142089717,1.0,2,4,0.3872517,2028.0
57,True,66.89471570624904,1.0,2,0,0.38935256,2028.0
58,True,65.62005006359325,1.0,2,0,0.4570047,2028.0
59,False,606.4271335026751,1.0,4,5,0.05355907,2028.0
60,False,96.23255748595034,1.0,3,3,0.17712352,2028.0
61,True,152.28322534278254,1.0,4,0,0.36937234,2028.0
62,False,54.05834556158641,1.0,2,3,0.21894135,2028.0
63,True,75.4199654070907,1.0,2,1,0.42190787,2028.0
64,True,296.04813901098885,1.0,2,3,0.46836728,2028.0
65,False,178.91441517422308,1.0,3,4,0.049589228,2028.0
66,True,23.2400776381191,1.0,2,2,0.28812116,2028.0
67,True,95.13045753155549,1.0,2,1,0.48952356,2028.0
68,True,2.0,1.0,2,5,0.39331087,2028.0
69,True,238.30442829557052,1.0,4,4,0.28451428,2028.0
70,False,258.312106555684,1.0,4,1,0.09551795,2028.0
71,True,275.7374714871966,1.0,4,1,0.18105909,2028.0
72,True,132.15378248277722,1.0,3,5,0.22406387,2028.0
73,True,78.79435204569425,1.0,2,1,0.36595842,2028.0
74,True,2.0,1.0,2,5,0.45090672,2028.0
75,True,380.8041123022484,1.0,6,1,0.042486235,2028.0
76,True,185.8271063875718,1.0,4,1,0.36208874,2028.0
77,True,77.40402351267412,1.0,2,0,0.3161941,2028.0
78,True,76.61578725072587,1.0,2,1,0.3697478,2028.0
79,True,66.47754015936422,1.0,2,0,0.4867739,2028.0
80,False,119.88395045829182,1.0,3,3,0.23054741,2028.0
81,True,30.88238291764004,1.0,2,2,0.34845662,2028.0
82,True,16.9194247180674,1.0,2,2,0.33989128,2028.0
83,True,19.799124534478644,1.0,2,2,0.36896226,2028.0
84,False,2.0,1.0,2,5,0.09821548,2028.0
85,True,71.81859844584491,1.0,2,1,0.3332834,2028.0
86,True,148.4060581150819,1.0,4,2,0.1883943,2028.0
87,True,18.365497741071014,1.0,2,2,0.3943581,2028.0
88,True,351.61978821444376,1.0,4,0,0.11898716,2028.0
89,True,58.115093021065306,1.0,2,3,0.36554843,2028.0
90,True,2.0,1.0,2,5,0.33996552,2028.0
91,True,64.13607061368577,1.0,2,0,0.3316544,2028.0
92,True,68.209619937399,1.0,2,0,0.28240618,2028.0
93,True,72.23123490952644,1.0,2,1,0.30861902,2028.0
94,True,53.848001874088595,1.0,2,3,0.35949627,2028.0
95,True,66.70952017176404,1.0,2,0,0.35923228,2028.0
96,True,2.0,1.0,2,5,0.43642706,2028.0
97,False,2.0,1.0,2,5,0.21530811,2028.0
98,True,82.33838645695828,1.0,2,1,0.44702724,2028.0
99,False,252.5243908655464,1.0,4,3,0.025862535,2028.0
100,True,57.83609777319848,1.0,2,3,0.3964624,2028.0
101,False,273.11417647289665,1.0,4,2,0.25159967,2028.0
102,True,21.437170499060958,1.0,2,2,0.47128367,2028.0
103,True,160.3140930219956,1.0,5,2,0.13613942,2028.0
104,True,2.0,1.0,2,5,0.36576197,2028.0
105,True,260.97049764952715,1.0,4,5,0.3833654,2028.0
106,False,367.54370732653024,1.0,3,5,0.06883639,2028.0
107,True,78.06060022414707,1.0,2,1,0.33127505,2028.0
108,True,152.3299020328552,1.0,2,4,0.2840253,2028.0
109,False,2.0,1.0,2,5,0.07401918,2028.0
110,True,2.0,1.0,2,5,0.42120993,2028.0
111,False,98.52705083019777,1.0,2,3,0.3537159,2028.0
112,True,248.79017461492035,1.0,4,3,0.14696333,2028.0
113,False,294.87689508609157,1.0,4,0,0.14358589,2028.0
114,True,76.20558188248297,1.0,2,1,0.46147493,2028.0
115,False,204.2741982860133,1.0,5,2,0.022331188,2028.0
116,True,2.0,1.0,2,4,0.48019055,2028.0
117,True,56.89755044740628,1.0,2,3,0.31852484,2028.0
118,False,133.1018739736444,1.0,3,2,0.084769025,2028.0
119,True,23.027315468158047,1.0,2,2,0.3703566,2028.0
120,True,92.65456527216317,1.0,2,1,0.34939316,2028.0
121,True,84.47935214522266,1.0,2,1,0.43557742,2028.0
122,False,400.56602227123204,1.0,2,5,0.28479293,2028.0
123,False,81.21429767140543,1.0,2,1,0.2090536,2028.0
124,False,75.16143104522132,1.0,2,1,0.19905496,2028.0
125,True,22.173766155852793,1.0,2,2,0.44399697,2028.0
126,True,66.64610828392593,1.0,2,0,0.3249095,2028.0
127,True,27.04915448165831,1.0,2,2,0.4146022,2028.0
128,True,72.77304922832222,1.0,2,1,0.4026268,2028.0
129,False,144.1500523045749,1.0,1,2,0.19107348,2028.0
130,True,2.0,1.0,2,5,0.33491752,2028.0
131,True,118.99100206420127,1.0,2,4,0.46669093,2028.0
132,True,2.0,1.0,2,5,0.43769652,2028.0
133,True,383.3101348951691,1.0,5,3,0.2670974,2028.0
134,False,142.1896824884168,1.0,2,4,0.17293337,2028.0
135,True,66.29868800541762,1.0,2,0,0.36640307,2028.0
136,False,296.5170244061716,1.0,5,1,0.033866182,2028.0
137,True,264.52404955871316,1.0,4,0,0.3691963,2028.0
138,True,283.74012955297803,1.0,4,4,0.19139417,2028.0
139,False,229.47039100431346,1.0,3,5,0.26829195,2028.0
140,False,19.580189452455457,1.0,3,0,0.3784537,2028.0
141,True,69.70946173706142,1.0,2,0,0.2503694,2028.0
142,False,290.76646470980893,1.0,4,5,0.065617874,2028.0
143,True,133.40985459850657,1.0,2,4,0.25275496,2028.0
144,True,59.03464884002305,1.0,2,3,0.26416257,2028.0
145,True,69.48563214783987,1.0,2,0,0.29655823,2028.0
146,True,68.57795436760313,1.0,2,0,0.2493858,2028.0
147,True,210.47042508709598,1.0,7,0,0.1210822,2028.0
148,True,2.0,1.0,2,5,0.41025805,2028.0
149,True,123.89090911984901,1.0,3,2,0.2617119,2028.0
150,True,2.0,1.0,2,5,0.30761147,2028.0
151,False,141.18529277319422,1.0,5,2,0.045718074,2028.0
152,True,91.60666596057715,1.0,2,1,0.4569004,2028.0
153,False,175.98141728641474,1.0,4,4,0.2278112,2028.0
154,True,58.03955076805786,1.0,2,3,0.2315537,2028.0
155,True,81.97097803019619,1.0,2,0,0.37894154,2028.0
156,True,70.49311778272532,1.0,2,0,0.39342812,2028.0
157,False,379.31331638903794,1.0,5,0,0.020511592,2028.0
158,False,264.69007994138707,1.0,4,3,0.040739104,2028.0
159,True,125.81732263904426,1.0,6,0,0.27770957,2028.0
160,False,285.30929957575455,1.0,4,5,0.09240221,2028.0
161,True,135.84604896867836,1.0,2,4,0.44720507,2028.0
162,True,102.93268315671538,1.0,2,1,0.41731724,2028.0
163,True,54.594277965629125,1.0,2,3,0.3242603,2028.0
164,False,78.26692263679695,1.0,2,1,0.07650459,2028.0
165,True,201.47944793724125,1.0,5,1,0.29865432,2028.0
166,True,378.8111195835438,1.0,5,1,0.06970635,2028.0
167,False,57.72727527817725,1.0,2,3,0.11397963,2028.0
168,False,378.13874516001096,1.0,7,4,0.019422237,2028.0
169,False,114.52006648269533,1.0,3,5,0.16814342,2028.0
170,True,23.513359869296487,1.0,2,2,0.26542434,2028.0
171,True,19.015948374117393,1.0,2,2,0.3278534,2028.0
172,True,70.88817922992622,1.0,2,0,0.42789415,2028.0
173,True,71.65102149315898,1.0,2,0,0.49497673,2028.0
174,False,2.0,1.0,2,4,0.33615234,2028.0
175,True,66.4927533489612,1.0,2,0,0.47443533,2028.0
176,True,59.73998713636253,1.0,2,3,0.43977547,2028.0
177,True,70.26344248323608,1.0,2,0,0.4063317,2028.0
178,False,270.1520231418145,1.0,5,1,0.083180726,2028.0
179,True,75.29918525625068,1.0,2,1,0.42933586,2028.0
180,False,91.17536778358634,1.0,2,1,0.21971938,2028.0
181,True,69.98014711438555,1.0,2,0,0.42984045,2028.0
182,True,90.69162448119705,1.0,2,1,0.46940452,2028.0
183,True,152.6285122392294,1.0,2,4,0.49357435,2028.0
184,False,96.74143851752791,1.0,1,5,0.40441597,2028.0
185,True,2.0,1.0,2,5,0.3026049,2028.0
186,True,19.01985483072968,1.0,2,2,0.36372498,2028.0
187,True,123.90033601579124,1.0,2,4,0.42087322,2028.0
188,False,115.11531662581815,1.0,4,0,0.1266318,2028.0
189,True,24.35691563093546,1.0,2,2,0.4661324,2028.0
190,True,124.40310461647455,1.0,2,4,0.42222503,2028.0
191,True,2.0,1.0,2,5,0.29427138,2028.0
192,False,2.0,1.0,2,4,0.43413696,2028.0
193,False,21.60122599846834,1.0,2,0,0.41529772,2028.0
194,True,55.783209118300256,1.0,2,3,0.22715828,2028.0
195,True,71.94051820797034,1.0,2,0,0.35482144,2028.0
196,True,56.28689514206435,1.0,2,3,0.4413621,2028.0
197,True,273.93951564833867,1.0,3,5,0.49171,2028.0
198,False,142.31288687169533,1.0,4,4,0.19910139,2028.0
