user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score
0,0.0,1.0,True,1,1,0.3857384
1,0.0,1.0,True,1,2,0.0239328
2,0.0,1.0,True,1,2,0.04951911
3,0.0,1.0,True,1,2,0.4327502
4,1.0,444.4205309757561,False,7,0,0.4643885
5,0.0,1.0,True,1,1,0.03668483
6,0.0,1.0,True,1,2,0.17877623
7,1.0,327.36029177753056,True,7,2,0.044702757
8,0.0,1.0,True,1,4,0.0351138
9,1.0,719.0032493799778,True,6,5,0.1487145
10,0.0,1.0,True,1,2,0.239495
11,0.0,1.0,True,1,1,0.1675949
12,0.0,1.0,True,1,3,0.24520262
13,0.0,1.0,True,1,1,0.4332728
14,1.0,263.1391849735743,False,6,2,0.39401215
15,0.0,1.0,True,1,1,0.34926435
16,0.0,1.0,True,1,0,0.257391
17,0.0,1.0,True,1,0,0.3543382
18,0.0,1.0,True,1,1,0.3009338
19,0.0,1.0,True,1,1,0.49063075
20,0.0,1.0,True,1,3,0.28910872
21,0.0,1.0,True,1,4,0.0188171
22,0.0,1.0,True,1,3,0.4745598
23,0.0,1.0,True,1,3,0.34494603
24,0.0,1.0,True,1,2,0.049467966
25,0.0,1.0,True,1,5,0.29447344
26,1.0,251.09823718413068,False,6,2,0.20475033
27,0.0,1.0,True,1,1,0.4914808
28,0.0,1.0,True,1,0,0.048109863
29,1.0,270.9979107934147,True,7,1,0.21263339
30,0.0,1.0,True,1,2,0.046669934
31,0.0,1.0,True,1,1,0.48107177
32,0.0,1.0,True,1,1,0.33016673
33,0.0,1.0,True,1,4,0.0064393072
34,1.0,157.49205550797305,True,5,4,0.4027063
35,0.0,1.0,True,1,0,0.24938577
36,1.0,287.5185948697082,True,6,2,0.32143912
37,0.0,1.0,True,1,1,0.34939313
38,0.0,1.0,True,1,2,0.07693374
39,1.0,289.6133300627069,False,6,2,0.4084203
40,1.0,353.1547835098577,True,6,1,0.22188103
41,0.0,1.0,True,1,3,0.29561198
42,0.0,1.0,True,1,1,0.23462398
43,0.0,1.0,True,1,0,0.48145947
44,0.0,1.0,True,1,0,0.404784
45,1.0,243.7999714831823,True,7,1,0.17618755
46,0.0,1.0,True,1,0,0.043071944
47,0.0,1.0,True,1,2,0.38167715
48,0.0,1.0,True,1,1,0.3619847
49,1.0,220.85043472631065,True,5,4,0.48905364
50,0.0,1.0,True,1,0,0.049015082
51,0.0,1.0,True,1,1,0.18548664
52,0.0,1.0,True,1,0,0.4972229
53,0.0,1.0,True,1,3,0.3848705
54,0.0,1.0,True,1,2,0.20515525
55,0.0,1.0,True,1,1,0.48585224
56,0.0,1.0,True,1,1,0.41742784
57,1.0,265.13720809652796,True,5,2,0.46233764
58,0.0,1.0,True,1,3,0.22310218
59,1.0,76.24814738388991,False,5,1,0.4533764
60,0.0,1.0,True,1,0,0.16631511
61,1.0,477.6929222407767,True,7,4,0.1967903
62,0.0,1.0,True,1,4,0.39806172
63,0.0,1.0,True,1,4,0.40125299
64,0.0,1.0,True,1,1,0.40242717
65,1.0,143.50363133130284,True,4,4,0.35316876
66,0.0,1.0,True,1,2,0.35914996
67,1.0,285.7796981963071,True,5,2,0.43350044
68,1.0,297.2074790769717,True,4,2,0.415785
69,0.0,1.0,True,1,1,0.37343526
70,0.0,1.0,True,1,0,0.1266318
71,0.0,1.0,True,1,0,0.46304598
72,0.0,1.0,True,1,0,0.22656189
73,1.0,376.2856209766468,False,6,3,0.39646238
74,0.0,1.0,True,1,3,0.4692492
75,1.0,351.8021785002645,True,6,0,0.46982643
76,0.0,1.0,True,1,1,0.31188896
77,1.0,165.5622716804926,True,6,1,0.40709105
78,0.0,1.0,True,1,3,0.31493258
79,0.0,1.0,True,1,1,0.3325183
80,0.0,1.0,True,1,1,0.41995728
81,0.0,1.0,True,1,0,0.21468529
82,0.0,1.0,True,1,3,0.47486275
83,0.0,1.0,True,1,0,0.42076862
84,0.0,1.0,True,1,2,0.17431305
85,0.0,1.0,True,1,3,0.395453
86,1.0,288.9849997224462,True,6,2,0.38538712
87,1.0,136.60662768002283,True,5,2,0.08613393
88,0.0,1.0,True,1,1,0.010844377
89,0.0,1.0,True,1,2,0.38473013
90,1.0,187.52622740297915,False,5,0,0.44727945
91,1.0,305.9512587343955,True,5,5,0.42438668
92,1.0,373.60273562363193,False,9,1,0.07650459
93,1.0,355.1245225835835,True,6,0,0.4615736
94,0.0,1.0,True,1,0,0.22465499
95,0.0,1.0,True,1,3,0.3788633
96,0.0,1.0,True,1,0,0.3669263
97,0.0,1.0,True,1,0,0.4756491
98,0.0,1.0,True,1,5,0.22218128
99,1.0,334.9941755853154,False,6,4,0.47528774
100,1.0,168.123590319504,False,6,4,0.4214937
101,0.0,1.0,True,1,4,0.45501956
102,0.0,1.0,True,1,1,0.16225336
103,1.0,193.0488505953221,False,6,2,0.48726285
104,0.0,1.0,True,1,4,0.44293132
105,1.0,261.62865500724223,False,5,2,0.47986114
106,0.0,1.0,True,1,2,0.065576404
107,0.0,1.0,True,1,4,0.42470816
108,0.0,1.0,True,1,5,0.3339268
109,0.0,1.0,True,1,3,0.037267666
110,0.0,1.0,True,1,2,0.057438914
111,1.0,339.5352412854826,True,7,2,0.20992418
112,0.0,1.0,True,1,0,0.09096704
113,1.0,217.1487551432533,False,5,0,0.37052104
114,0.0,1.0,True,1,5,0.3363869
115,1.0,287.85505478548185,False,6,0,0.31780383
116,1.0,202.79887988341102,True,6,4,0.43974245
117,1.0,279.4380177076196,True,6,1,0.3784487
118,1.0,290.5991220338283,False,6,1,0.31547028
119,1.0,133.27941695057808,False,5,1,0.35541895
120,0.0,1.0,True,1,1,0.43774098
121,0.0,1.0,True,1,1,0.26280603
122,0.0,1.0,True,1,5,0.16646573
123,1.0,145.56409194267496,True,5,1,0.4510729
124,0.0,1.0,True,1,0,0.2956413
125,0.0,1.0,True,1,3,0.30170986
126,1.0,301.9827074136622,True,6,3,0.48429024
127,0.0,1.0,True,1,3,0.37765035
128,0.0,1.0,True,1,5,0.15042417
129,0.0,1.0,True,1,0,0.36291003
130,0.0,1.0,True,1,5,0.4016634
131,0.0,1.0,True,1,0,0.23695594
132,1.0,264.99617086059817,False,6,4,0.31677833
133,0.0,1.0,True,1,2,0.23196515
134,0.0,1.0,True,1,4,0.37329558
135,0.0,1.0,True,1,1,0.48952356
136,0.0,1.0,True,1,5,0.30478245
137,0.0,1.0,True,1,4,0.13424078
138,0.0,1.0,True,1,1,0.030472258
139,0.0,1.0,True,1,0,0.29596034
140,0.0,1.0,True,1,5,0.3112101
141,0.0,1.0,True,1,1,0.19583711
142,0.0,1.0,True,1,0,0.22111969
143,0.0,1.0,True,1,1,0.48845518
144,0.0,1.0,True,1,2,0.29819274
145,0.0,1.0,True,1,0,0.3677894
146,1.0,996.9319140069074,True,7,5,0.023801235
147,0.0,1.0,True,1,3,0.19926812
148,1.0,290.8157531887889,False,5,2,0.49726254
149,0.0,1.0,True,1,0,0.3076699
150,1.0,541.4441892801573,True,6,5,0.2378704
151,0.0,1.0,True,1,3,0.41174424
152,0.0,1.0,True,1,5,0.38889882
153,0.0,1.0,True,1,2,0.025131345
154,1.0,403.4422865912627,True,5,5,0.4629892
155,0.0,1.0,True,1,3,0.3141102
156,1.0,137.2249500236693,True,5,3,0.47763947
157,0.0,1.0,True,1,2,0.35420167
158,1.0,342.72584135315924,False,7,2,0.22285807
159,0.0,1.0,True,1,0,0.42913464
160,0.0,1.0,True,1,5,0.16712172
161,1.0,321.2109901762078,True,7,4,0.24774997
162,0.0,1.0,True,1,2,0.28724092
163,1.0,340.9167798854817,False,6,3,0.45055225
164,0.0,1.0,True,1,5,0.33210498
165,0.0,1.0,True,1,5,0.29292244
166,0.0,1.0,True,1,0,0.36209804
167,0.0,1.0,True,1,5,0.18147956
168,0.0,1.0,True,1,1,0.3869412
169,1.0,281.15472611229427,True,6,3,0.2937214
170,0.0,1.0,True,1,2,0.2735912
171,0.0,1.0,True,1,1,0.41243875
172,1.0,165.36588505808086,True,5,3,0.39819917
173,0.0,1.0,True,1,0,0.23700617
174,0.0,1.0,True,1,2,0.42244574
175,0.0,1.0,True,1,1,0.124480926
176,0.0,1.0,True,1,2,0.13477932
177,0.0,1.0,True,1,1,0.14810906
178,1.0,386.6424108557658,True,6,0,0.4736154
179,1.0,448.7764321526769,False,5,5,0.44102326
180,0.0,1.0,True,1,5,0.4408145
181,1.0,192.80609154089882,True,6,4,0.25315845
182,1.0,353.92619617132374,True,6,3,0.3930988
183,1.0,179.33940767278872,True,6,4,0.40130827
184,0.0,1.0,True,1,2,0.47428498
185,0.0,1.0,True,1,3,0.2214515
186,0.0,1.0,True,1,2,0.23991014
187,0.0,1.0,True,1,1,0.36439332
188,0.0,1.0,True,1,2,0.49017525
189,0.0,1.0,True,1,3,0.34980318
190,0.0,1.0,True,1,4,0.23916775
191,1.0,207.18298828204937,False,6,4,0.26276833
192,1.0,72.92988670318653,True,5,3,0.21370938
193,0.0,1.0,True,1,0,0.44411314
194,0.0,1.0,True,1,4,0.43947512
195,0.0,1.0,True,1,2,0.35940674
196,1.0,344.51205768877827,True,7,1,0.068676464
197,0.0,1.0,True,1,0,0.09206307
198,0.0,1.0,True,1,5,0.2794464
199,0.0,1.0,True,1,2,0.22705528
200,0.0,1.0,True,1,1,0.29668924
201,0.0,1.0,True,1,0,0.12721775
202,0.0,1.0,True,1,0,0.2840542
203,0.0,1.0,True,1,2,0.17272238
204,0.0,1.0,True,1,1,0.123682104
205,0.0,1.0,True,1,5,0.23939818
206,1.0,157.76166674003463,True,6,4,0.47458497
207,0.0,1.0,True,1,3,0.13444492
208,0.0,1.0,True,1,3,0.49455288
209,1.0,229.03807566641171,True,5,3,0.429453
210,0.0,1.0,True,1,1,0.27474928
211,0.0,1.0,True,1,0,0.3873342
212,0.0,1.0,True,1,1,0.39364183
213,0.0,1.0,True,1,3,0.02173622
214,1.0,235.74811775391146,False,5,0,0.23262285
215,1.0,286.91796167621976,True,5,0,0.31624454
216,1.0,364.1004399140276,True,6,3,0.35462216
217,0.0,1.0,True,1,5,0.013577915
218,0.0,1.0,True,1,4,0.32707658
219,1.0,154.16759497547406,True,5,2,0.42835677
220,0.0,1.0,True,1,1,0.04248625
221,0.0,1.0,True,1,2,0.48862976
222,0.0,1.0,True,1,1,0.3201334
223,0.0,1.0,True,1,5,0.05102618
224,0.0,1.0,True,1,3,0.38477588
225,0.0,1.0,True,1,4,0.32786587
226,0.0,1.0,True,1,1,0.3764118
227,0.0,1.0,True,1,2,0.41205963
228,0.0,1.0,True,1,3,0.48809657
229,0.0,1.0,True,1,2,0.3853652
230,0.0,1.0,True,1,5,0.44115397
231,0.0,1.0,True,1,2,0.3748081
232,1.0,333.7321581014902,True,6,3,0.46998474
233,1.0,553.3023818989269,True,8,0,0.25147673
234,1.0,224.86838306590053,True,5,0,0.49339727
235,0.0,1.0,True,1,5,0.070740715
236,1.0,315.7443240020035,True,7,2,0.032636125
237,0.0,1.0,True,1,2,0.25344518
238,0.0,1.0,True,1,1,0.3873759
239,0.0,1.0,True,1,5,0.24269435
240,1.0,164.79476291599286,True,6,1,0.48126188
241,1.0,278.8651199043046,True,6,2,0.35824808
242,0.0,1.0,True,1,0,0.22316986
243,1.0,527.4664317217686,False,7,4,0.13902538
244,0.0,1.0,True,1,1,0.25318366
245,0.0,1.0,True,1,5,0.27498665
246,0.0,1.0,True,1,4,0.4258168
247,0.0,1.0,True,1,4,0.20146075
248,1.0,480.82188162659213,True,7,0,0.16878852
249,0.0,1.0,True,1,3,0.2430816
