user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,0.0,1.0,True,1,1,0.3857383,2029.0
1,0.0,1.0,True,1,2,0.0239328,2029.0
2,0.0,1.0,True,1,2,0.049519088,2029.0
3,0.0,1.0,True,1,2,0.4327502,2029.0
4,0.0,1.0,True,1,0,0.4643885,2029.0
5,0.0,1.0,True,1,1,0.03668483,2029.0
6,0.0,1.0,True,1,2,0.17877616,2029.0
7,1.0,313.9672534920588,True,7,2,0.044702757,2029.0
8,1.0,316.3857636607447,True,8,4,0.03511378,2029.0
9,0.0,1.0,True,1,5,0.14871448,2029.0
10,0.0,1.0,True,1,2,0.2394949,2029.0
11,0.0,1.0,True,1,1,0.16759492,2029.0
12,0.0,1.0,True,1,3,0.24520265,2029.0
13,0.0,1.0,True,1,1,0.43327287,2029.0
14,1.0,139.61711740533988,True,5,2,0.3940122,2029.0
15,0.0,1.0,True,1,1,0.34926435,2029.0
16,0.0,1.0,True,1,0,0.25739104,2029.0
17,0.0,1.0,True,1,0,0.3543382,2029.0
18,0.0,1.0,True,1,1,0.30093366,2029.0
19,1.0,90.99332887131175,True,4,1,0.49063075,2029.0
20,0.0,1.0,True,1,3,0.28910875,2029.0
21,0.0,1.0,True,1,4,0.0188171,2029.0
22,0.0,1.0,True,1,3,0.4745598,2029.0
23,1.0,155.60981797003774,True,5,3,0.34494603,2029.0
24,0.0,1.0,True,1,2,0.04946799,2029.0
25,0.0,1.0,True,1,5,0.29447344,2029.0
26,0.0,1.0,True,1,2,0.20475033,2029.0
27,0.0,1.0,True,1,1,0.4914808,2029.0
28,0.0,1.0,True,1,0,0.048109863,2029.0
29,0.0,1.0,True,1,1,0.21263334,2029.0
30,0.0,1.0,True,1,2,0.046669934,2029.0
31,1.0,140.470448721633,False,5,1,0.48107183,2029.0
32,0.0,1.0,True,1,1,0.33016673,2029.0
33,0.0,1.0,True,1,4,0.0064393105,2029.0
34,1.0,191.84240251040865,False,6,4,0.4027062,2029.0
35,0.0,1.0,True,1,0,0.2493858,2029.0
36,0.0,1.0,True,1,2,0.32143915,2029.0
37,0.0,1.0,True,1,1,0.34939316,2029.0
38,0.0,1.0,True,1,2,0.07693378,2029.0
39,1.0,323.6606122237614,True,6,2,0.4084203,2029.0
40,1.0,377.10176040815674,False,8,1,0.22188097,2029.0
41,0.0,1.0,True,1,3,0.295612,2029.0
42,0.0,1.0,True,1,1,0.23462406,2029.0
43,0.0,1.0,True,1,0,0.48145947,2029.0
44,0.0,1.0,True,1,0,0.40478393,2029.0
45,1.0,247.75424039027897,True,6,1,0.17618755,2029.0
46,0.0,1.0,True,1,0,0.043071944,2029.0
47,1.0,133.5185179204385,True,4,2,0.38167724,2029.0
48,1.0,162.9036084561099,True,6,1,0.36198467,2029.0
49,1.0,202.42155138941922,True,6,4,0.48905358,2029.0
50,1.0,641.5807664861552,True,7,0,0.049015105,2029.0
51,1.0,193.16028670928637,True,6,1,0.18548664,2029.0
52,0.0,1.0,True,1,0,0.4972229,2029.0
53,0.0,1.0,True,1,3,0.3848706,2029.0
54,0.0,1.0,True,1,2,0.20515515,2029.0
55,0.0,1.0,True,1,1,0.48585224,2029.0
56,0.0,1.0,True,1,1,0.41742784,2029.0
57,1.0,299.26218019418354,False,6,2,0.46233758,2029.0
58,0.0,1.0,True,1,3,0.2231022,2029.0
59,0.0,1.0,True,1,1,0.4533764,2029.0
60,0.0,1.0,True,1,0,0.16631508,2029.0
61,1.0,517.8154487924332,False,8,4,0.1967903,2029.0
62,0.0,1.0,True,1,4,0.39806172,2029.0
63,0.0,1.0,True,1,4,0.40125299,2029.0
64,0.0,1.0,True,1,1,0.4024272,2029.0
65,0.0,1.0,True,1,4,0.3531687,2029.0
66,0.0,1.0,True,1,2,0.35914996,2029.0
67,0.0,1.0,True,1,2,0.43350044,2029.0
68,0.0,1.0,True,1,2,0.415785,2029.0
69,0.0,1.0,True,1,1,0.37343523,2029.0
70,1.0,472.5512483948353,True,6,0,0.1266318,2029.0
71,0.0,1.0,True,1,0,0.4630459,2029.0
72,0.0,1.0,True,1,0,0.22656189,2029.0
73,0.0,1.0,True,1,3,0.3964624,2029.0
74,0.0,1.0,True,1,3,0.46924913,2029.0
75,1.0,377.3144792821187,False,6,0,0.46982643,2029.0
76,0.0,1.0,True,1,1,0.31188896,2029.0
77,0.0,1.0,True,1,1,0.40709105,2029.0
78,0.0,1.0,True,1,3,0.31493258,2029.0
79,0.0,1.0,True,1,1,0.3325183,2029.0
80,0.0,1.0,True,1,1,0.41995728,2029.0
81,0.0,1.0,True,1,0,0.21468525,2029.0
82,1.0,186.2169014331674,True,6,3,0.47486275,2029.0
83,0.0,1.0,True,1,0,0.42076865,2029.0
84,0.0,1.0,True,1,2,0.17431302,2029.0
85,0.0,1.0,True,1,3,0.39545298,2029.0
86,1.0,334.1533543806944,True,7,2,0.3853871,2029.0
87,0.0,1.0,True,1,2,0.08613393,2029.0
88,0.0,1.0,True,1,1,0.010844377,2029.0
89,0.0,1.0,True,1,2,0.38473013,2029.0
90,1.0,185.98894093421106,False,5,0,0.44727945,2029.0
91,1.0,436.1651495435966,True,6,5,0.42438674,2029.0
92,0.0,1.0,True,1,1,0.07650459,2029.0
93,0.0,1.0,True,1,0,0.46157354,2029.0
94,0.0,1.0,True,1,0,0.22465499,2029.0
95,0.0,1.0,True,1,3,0.3788633,2029.0
96,0.0,1.0,True,1,0,0.3669263,2029.0
97,0.0,1.0,True,1,0,0.47564903,2029.0
98,0.0,1.0,True,1,5,0.22218123,2029.0
99,1.0,380.8318798239781,False,7,4,0.47528774,2029.0
