user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,True,266.4821589217562,1.0,5,2,0.09898443,2024.0
1,True,57.716776301568544,1.0,2,3,0.38139293,2024.0
2,True,66.66383493372237,1.0,2,0,0.385514,2024.0
3,False,473.6506890243469,1.0,5,4,0.029885905,2024.0
4,True,142.87147971123485,1.0,2,4,0.3937919,2024.0
5,True,2.0,1.0,2,5,0.42764953,2024.0
6,False,569.1273521487088,1.0,5,3,0.01664394,2024.0
7,True,18.984092182463456,1.0,2,2,0.43573368,2024.0
8,False,405.0382996757097,1.0,5,3,3.7627117e-06,2024.0
9,True,22.534732698287467,1.0,2,2,0.47582033,2024.0
10,True,58.3659823939001,1.0,2,3,0.39795265,2024.0
11,True,95.93543887489093,1.0,2,1,0.36146137,2024.0
12,True,139.40815718093006,1.0,2,4,0.38744342,2024.0
13,True,139.58540435953284,1.0,4,0,0.11090609,2024.0
14,True,19.01056461746758,1.0,2,2,0.44907856,2024.0
15,True,69.78506022293674,1.0,2,0,0.33352363,2024.0
16,True,282.51169294930236,1.0,6,1,0.073802136,2024.0
17,True,71.23357685989816,1.0,2,0,0.49291182,2024.0
18,False,318.4684511021131,1.0,6,2,0.081198156,2024.0
19,True,2.0,1.0,2,5,0.38945758,2024.0
20,False,417.68015175159076,1.0,5,3,0.021162162,2024.0
21,True,221.0887165590124,1.0,4,1,0.26291656,2024.0
22,True,132.54382463714003,1.0,2,4,0.44882575,2024.0
23,True,74.73514281820995,1.0,2,0,0.3718077,2024.0
24,True,130.5230263636977,1.0,2,4,0.46906173,2024.0
25,True,121.045668552421,1.0,2,4,0.4692023,2024.0
26,True,141.10513778675053,1.0,2,4,0.23702706,2024.0
27,True,119.9733480306135,1.0,2,4,0.3531687,2024.0
28,True,372.2285026434637,1.0,4,5,0.14384001,2024.0
29,True,66.79135351731067,1.0,2,0,0.48393998,2024.0
30,True,25.68653609437192,1.0,2,2,0.39855316,2024.0
31,False,495.92188464513225,1.0,5,4,0.006809705,2024.0
32,True,63.95455276587049,1.0,2,0,0.44573516,2024.0
33,True,2.0,1.0,2,5,0.27474093,2024.0
34,True,46.198486640034744,1.0,2,3,0.4701253,2024.0
35,True,83.87574208731445,1.0,2,1,0.2684859,2024.0
36,True,419.615162913087,1.0,6,3,0.069772236,2024.0
37,True,95.75140454360411,1.0,2,1,0.274676,2024.0
38,True,2.0,1.0,2,5,0.44408616,2024.0
39,True,29.14499206134574,1.0,2,2,0.45124584,2024.0
40,True,74.81851820709228,1.0,2,1,0.4054434,2024.0
41,True,117.80137279492445,1.0,3,4,0.30420634,2024.0
42,True,19.32985123888182,1.0,2,2,0.32094282,2024.0
43,True,134.45901265213,1.0,4,2,0.12980095,2024.0
44,True,2.0,1.0,2,5,0.3818236,2024.0
45,True,518.673218585361,1.0,4,5,0.17907844,2024.0
46,True,2.0,1.0,2,5,0.36894825,2024.0
47,True,72.60116677096582,1.0,2,1,0.29668924,2024.0
48,True,76.96322919450996,1.0,2,1,0.38022494,2024.0
49,True,73.11710216561521,1.0,2,1,0.25542757,2024.0
50,True,54.16666666162179,1.0,2,3,0.24427184,2024.0
51,True,111.68644396481766,1.0,3,2,0.19259761,2024.0
52,False,535.039251204222,1.0,5,3,0.014895346,2024.0
53,True,2.0,1.0,2,5,0.23262425,2024.0
54,True,54.29721131787335,1.0,2,3,0.41968003,2024.0
55,True,57.44297498881089,1.0,2,4,0.44244036,2024.0
56,True,126.36952142089717,1.0,2,4,0.3872517,2024.0
