user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score
0,True,144.1229628562716,1.0,4,1,0.3857384
1,False,349.5573589509137,1.0,6,2,0.0239328
2,False,196.22512532175205,1.0,4,2,0.04951911
3,True,13.420234986959507,1.0,2,2,0.4327502
4,True,31.69544373249297,1.0,2,0,0.4643885
5,False,308.3743092382517,1.0,5,1,0.03668483
6,True,269.9691929326441,1.0,4,2,0.17877623
7,True,222.9058086352501,1.0,6,2,0.044702757
8,False,111.1516685127992,1.0,3,4,0.0351138
9,True,178.31696018975205,1.0,3,5,0.1487145
10,False,311.8157161643992,1.0,5,2,0.239495
11,False,0.0,1.0,0,1,0.1675949
12,True,387.0980988745085,1.0,6,3,0.24520262
13,True,91.745289389097,1.0,2,1,0.4332728
14,True,16.289147713683253,1.0,2,2,0.39401215
15,True,79.19827229610564,1.0,2,1,0.34926435
16,True,288.93977759307086,1.0,4,0,0.257391
17,True,505.9463434230365,1.0,5,0,0.3543382
18,False,157.55328472615287,1.0,6,1,0.3009338
19,True,64.42147786122807,1.0,2,1,0.49063075
20,False,0.0,1.0,0,3,0.28910872
21,True,438.5931159960531,1.0,6,4,0.0188171
22,True,124.93935673752216,1.0,2,3,0.4745598
23,True,169.33834759506112,1.0,3,3,0.34494603
24,True,289.43517833708756,1.0,6,2,0.049467966
25,True,142.53098038236493,1.0,4,5,0.29447344
26,True,315.44116967467374,1.0,6,2,0.20475033
27,True,2.0,1.0,2,1,0.4914808
28,False,312.02439059393606,1.0,5,0,0.048109863
29,True,74.27667085199661,1.0,5,1,0.21263339
30,False,352.71889722771476,1.0,6,2,0.046669934
31,True,2.0,1.0,2,1,0.48107177
32,True,235.35500954464277,1.0,6,1,0.33016673
33,False,201.793663616269,1.0,3,4,0.0064393072
34,True,45.289036816407624,1.0,2,4,0.4027063
35,True,429.48207108758595,1.0,6,0,0.24938577
36,True,310.7363471082036,1.0,5,2,0.32143912
37,True,88.04647873015138,1.0,3,1,0.34939313
38,True,194.75195115335407,1.0,5,2,0.07693374
39,True,55.39776650403751,1.0,3,2,0.4084203
40,True,158.40412868087904,1.0,4,1,0.22188103
41,True,194.09427069243674,1.0,5,3,0.29561198
42,True,139.50963998880172,1.0,6,1,0.23462398
43,True,142.615886932435,1.0,2,0,0.48145947
44,True,64.64907773217665,1.0,2,0,0.404784
45,False,350.21300594025934,1.0,6,1,0.17618755
46,False,266.75491265367066,1.0,5,0,0.043071944
47,True,332.5571282912086,1.0,5,2,0.38167715
48,True,111.97979441578515,1.0,4,1,0.3619847
49,True,65.935286640193,1.0,2,4,0.48905364
50,False,349.6905512342207,1.0,6,0,0.049015082
51,True,230.56195600314945,1.0,6,1,0.18548664
52,True,25.29827428764177,1.0,2,0,0.4972229
53,True,309.77252297005487,1.0,6,3,0.3848705
54,True,302.94634793168007,1.0,6,2,0.20515525
55,False,0.0,1.0,0,1,0.48585224
56,True,76.64593847644231,1.0,3,1,0.41742784
57,False,314.8698285344018,1.0,5,2,0.46233764
58,True,448.23119183887064,1.0,6,3,0.22310218
59,True,135.8107670027615,1.0,5,1,0.4533764
60,True,83.70613934995617,1.0,3,0,0.16631511
61,False,84.28928506506604,1.0,1,4,0.1967903
62,False,49.754752717007705,1.0,2,4,0.39806172
63,True,172.34069007949205,1.0,4,4,0.40125299
64,True,235.61548890159207,1.0,5,1,0.40242717
