user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
0,1,272.58925557801615,0,5,2,0.09898447,2027.0
1,1,3.0,0,3,3,0.38139287,2027.0
2,1,62.77498791351987,0,2,0,0.38551393,2027.0
3,0,117.261555939631,0,3,4,0.029885905,2027.0
4,1,138.47667959501305,0,2,4,0.3937919,2027.0
5,1,2.0,0,2,5,0.42764947,2027.0
6,0,13.361027086285572,0,2,3,0.016643932,2027.0
7,1,18.363256694216652,0,2,2,0.43573368,2027.0
8,0,23.580789215229856,0,2,3,3.7627117e-06,2027.0
9,1,21.27884257849504,0,2,2,0.47582033,2027.0
10,1,51.4103186069383,0,3,3,0.39795265,2027.0
11,1,3.0,0,3,1,0.3614614,2027.0
12,1,138.13406127479715,0,3,4,0.38744333,2027.0
13,1,134.741995274338,0,4,0,0.110906035,2027.0
14,1,43.64699202709073,0,3,2,0.44907856,2027.0
15,1,65.81175820300469,0,2,0,0.33352366,2027.0
16,1,288.6326694653187,0,6,1,0.073802136,2027.0
17,1,17.10830877533268,0,2,0,0.49291193,2027.0
18,0,11.539049641382993,0,1,2,0.08119812,2027.0
19,1,2.0,0,2,5,0.38945755,2027.0
20,0,22.57845665082064,0,3,3,0.02116217,2027.0
21,1,324.91510507881367,0,5,1,0.26291665,2027.0
22,1,125.78596285785318,0,4,4,0.44882575,2027.0
23,1,70.7102420161641,0,2,0,0.37180766,2027.0
24,1,126.26686097794156,0,2,4,0.46906167,2027.0
25,1,86.30120836579394,0,4,4,0.46920225,2027.0
26,1,193.43886048632544,0,6,4,0.23702702,2027.0
27,1,113.51473083475477,0,4,4,0.35316876,2027.0
28,1,5.0,0,5,5,0.14384003,2027.0
29,1,153.2772338917026,0,2,0,0.48393998,2027.0
30,1,51.00062283025338,0,3,2,0.39855322,2027.0
31,0,90.94013702530297,0,2,4,0.006809705,2027.0
32,1,56.06866195647193,0,2,0,0.44573516,2027.0
33,1,2.0,0,2,5,0.2747409,2027.0
34,1,53.04488457122822,0,2,3,0.4701253,2027.0
35,1,81.95803842912345,0,2,1,0.26848593,2027.0
36,1,446.3965282822404,0,6,3,0.069772206,2027.0
37,1,93.88851494915626,0,2,1,0.27467605,2027.0
38,1,2.0,0,2,5,0.4440861,2027.0
39,1,28.496143386113765,0,2,2,0.4512459,2027.0
40,1,72.06878381314155,0,3,1,0.4054434,2027.0
41,1,117.80137279492445,0,3,4,0.30420634,2027.0
42,1,43.52716850872133,0,3,2,0.32094273,2027.0
43,1,138.30724329467077,0,4,2,0.12980095,2027.0
44,1,2.0,0,2,5,0.38182372,2027.0
45,1,417.65270011345785,0,5,5,0.17907842,2027.0
46,1,2.0,0,2,5,0.3689482,2027.0
47,1,70.69571746535709,0,2,1,0.29668924,2027.0
48,1,74.20779726401447,0,3,1,0.38022488,2027.0
49,1,71.23086794604512,0,2,1,0.25542754,2027.0
50,1,108.26423195060809,0,3,3,0.24427184,2027.0
51,1,118.00789774390378,0,3,2,0.19259764,2027.0
52,0,15.225029417249138,0,2,3,0.0148953395,2027.0
53,1,4.0,0,4,5,0.23262435,2027.0
54,1,47.40092335769588,0,3,3,0.41967997,2027.0
55,1,67.47707788607133,0,4,4,0.44244036,2027.0
56,1,122.18564054346035,0,2,4,0.38725168,2027.0
57,1,58.868206906659765,0,2,0,0.3893526,2027.0
58,1,2.0,0,2,0,0.45700473,2027.0
59,1,573.2846460040444,0,6,5,0.05355907,2027.0
60,1,111.98337616477028,0,3,3,0.17712347,2027.0
61,1,62.15666777783849,0,2,0,0.36937234,2027.0
62,1,107.40632685513009,0,3,3,0.21894126,2027.0
63,1,73.61704075046134,0,2,1,0.42190775,2027.0
64,1,58.09204877411412,0,2,3,0.46836728,2027.0
65,0,118.86980246670963,0,3,4,0.0495892,2027.0
66,1,51.810653736863415,0,3,2,0.28812122,2027.0
67,1,2.0,0,2,1,0.48952356,2027.0
68,1,2.0,0,2,5,0.39331087,2027.0
69,1,114.45395139004162,0,2,4,0.28451428,2027.0
70,1,276.4578003528288,0,6,1,0.09551787,2027.0
71,1,176.36839326444584,0,3,1,0.18105909,2027.0
72,1,140.22767477445458,0,3,5,0.22406389,2027.0
73,1,3.0,0,3,1,0.36595842,2027.0
74,1,2.0,0,2,5,0.45090666,2027.0
75,0,65.04610120992767,0,2,1,0.04248625,2027.0
76,1,199.44196188484676,0,3,1,0.36208865,2027.0
77,1,73.43355894876095,0,2,0,0.31619415,2027.0
78,1,74.7708505870911,0,4,1,0.36974776,2027.0
79,1,62.49871752775347,0,2,0,0.48677397,2027.0
80,1,389.5654139288589,0,4,3,0.23054734,2027.0
