user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
0,1,272.58925557801615,0,5,2,0.09898447,2024.0
1,1,49.972222555147496,0,2,3,0.38139287,2024.0
2,1,62.77498791351987,0,2,0,0.38551393,2024.0
3,0,114.72383847349022,0,1,4,0.029885905,2024.0
4,1,134.08187947879122,0,2,4,0.3937919,2024.0
5,1,2.0,0,2,5,0.42764947,2024.0
6,0,157.8781308202889,0,2,3,0.016643932,2024.0
7,1,18.363256694216652,0,2,2,0.43573368,2024.0
8,0,45.00972564093917,0,1,3,3.7627117e-06,2024.0
9,1,21.906787638391254,0,2,2,0.47582033,2024.0
10,1,50.4103186069383,0,2,3,0.39795265,2024.0
11,1,92.1713290211848,0,2,1,0.3614614,2024.0
12,1,131.97944890998744,0,3,4,0.38744333,2024.0
13,1,134.741995274338,0,4,0,0.110906035,2024.0
14,1,18.525375689229502,0,2,2,0.44907856,2024.0
15,1,61.83845618307264,0,2,0,0.33352366,2024.0
16,1,288.6326694653187,0,6,1,0.073802136,2024.0
17,1,2.0,0,2,0,0.49291193,2024.0
18,0,165.3184853980788,0,2,2,0.08119812,2024.0
19,1,2.0,0,2,5,0.38945755,2024.0
20,0,158.9069617770055,0,2,3,0.02116217,2024.0
21,1,324.91510507881367,0,5,1,0.26291665,2024.0
22,1,65.82746030936981,0,2,4,0.44882575,2024.0
23,1,66.68534121411827,0,2,0,0.37180766,2024.0
24,1,69.5505359576966,0,2,4,0.46906167,2024.0
25,1,75.27197535096481,0,2,4,0.46920225,2024.0
26,1,199.76751846493985,0,3,4,0.23702702,2024.0
27,1,111.51473083475477,0,2,4,0.35316876,2024.0
28,1,332.67121153576176,0,5,5,0.14384003,2024.0
29,1,2.0,0,2,0,0.48393998,2024.0
30,1,24.43136108926036,0,2,2,0.39855322,2024.0
31,0,129.07954324023856,0,2,4,0.006809705,2024.0
32,1,2.0,0,2,0,0.44573516,2024.0
33,1,2.0,0,2,5,0.2747409,2024.0
34,1,53.04488457122822,0,2,3,0.4701253,2024.0
35,1,80.04033477093243,0,2,1,0.26848593,2024.0
36,1,446.3965282822404,0,6,3,0.069772206,2024.0
37,1,92.02562535470841,0,2,1,0.27467605,2024.0
