user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score
0,False,1.0,1.0,1,1,0.3857384
1,False,22.323666292330557,1.0,2,2,0.0239328
2,False,18.017599270977996,1.0,2,2,0.04951911
3,False,1.0,1.0,1,2,0.4327502
4,False,1.0,1.0,1,0,0.4643885
5,False,74.69774387596058,1.0,2,1,0.03668483
6,False,1.0,1.0,1,2,0.17877623
7,False,19.722214740785315,1.0,2,2,0.044702757
8,False,131.57690477968697,1.0,2,4,0.0351138
9,False,1.0,1.0,1,5,0.1487145
10,False,1.0,1.0,1,2,0.239495
11,False,1.0,1.0,1,1,0.1675949
12,False,1.0,1.0,1,3,0.24520262
13,False,1.0,1.0,1,1,0.4332728
14,False,1.0,1.0,1,2,0.39401215
15,False,1.0,1.0,1,1,0.34926435
16,False,1.0,1.0,1,0,0.257391
17,False,1.0,1.0,1,0,0.3543382
18,False,1.0,1.0,1,1,0.3009338
19,False,1.0,1.0,1,1,0.49063075
20,False,1.0,1.0,1,3,0.28910872
21,False,132.3234629650721,1.0,2,4,0.0188171
22,False,1.0,1.0,1,3,0.4745598
23,False,1.0,1.0,1,3,0.34494603
24,False,22.188435509153788,1.0,2,2,0.049467966
25,False,1.0,1.0,1,5,0.29447344
26,False,20.022771476464342,1.0,2,2,0.20475033
27,False,1.0,1.0,1,1,0.4914808
28,False,63.92370063994529,1.0,2,0,0.048109863
29,False,1.0,1.0,1,1,0.21263339
30,False,20.361163647814084,1.0,2,2,0.046669934
31,False,1.0,1.0,1,1,0.48107177
32,False,1.0,1.0,1,1,0.33016673
33,False,153.81450268024756,1.0,2,4,0.0064393072
34,False,1.0,1.0,1,4,0.4027063
35,False,1.0,1.0,1,0,0.24938577
36,False,1.0,1.0,1,2,0.32143912
37,False,1.0,1.0,1,1,0.34939313
38,False,1.0,1.0,1,2,0.07693374
39,False,1.0,1.0,1,2,0.4084203
40,False,1.0,1.0,1,1,0.22188103
41,False,1.0,1.0,1,3,0.29561198
42,False,1.0,1.0,1,1,0.23462398
43,False,1.0,1.0,1,0,0.48145947
44,False,1.0,1.0,1,0,0.404784
45,False,1.0,1.0,1,1,0.17618755
46,False,68.02781977718183,1.0,2,0,0.043071944
47,False,1.0,1.0,1,2,0.38167715
48,False,1.0,1.0,1,1,0.3619847
49,False,1.0,1.0,1,4,0.48905364
50,False,1.0,1.0,1,0,0.049015082
51,False,1.0,1.0,1,1,0.18548664
52,False,1.0,1.0,1,0,0.4972229
53,False,1.0,1.0,1,3,0.3848705
54,False,1.0,1.0,1,2,0.20515525
55,False,1.0,1.0,1,1,0.48585224
56,False,1.0,1.0,1,1,0.41742784
57,False,1.0,1.0,1,2,0.46233764
58,False,1.0,1.0,1,3,0.22310218
59,False,1.0,1.0,1,1,0.4533764
60,False,1.0,1.0,1,0,0.16631511
61,False,123.46174554032176,1.0,2,4,0.1967903
62,False,1.0,1.0,1,4,0.39806172
63,False,1.0,1.0,1,4,0.40125299
64,False,1.0,1.0,1,1,0.40242717
65,False,1.0,1.0,1,4,0.35316876
66,False,1.0,1.0,1,2,0.35914996
67,False,1.0,1.0,1,2,0.43350044
68,False,1.0,1.0,1,2,0.415785
69,False,1.0,1.0,1,1,0.37343526
70,False,1.0,1.0,1,0,0.1266318
71,False,1.0,1.0,1,0,0.46304598
72,False,1.0,1.0,1,0,0.22656189
73,False,1.0,1.0,1,3,0.39646238
74,False,1.0,1.0,1,3,0.4692492
75,False,1.0,1.0,1,0,0.46982643
76,False,1.0,1.0,1,1,0.31188896
77,False,1.0,1.0,1,1,0.40709105
78,False,1.0,1.0,1,3,0.31493258
79,False,1.0,1.0,1,1,0.3325183
80,False,1.0,1.0,1,1,0.41995728
81,False,1.0,1.0,1,0,0.21468529
82,False,1.0,1.0,1,3,0.47486275
83,False,1.0,1.0,1,0,0.42076862
