user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
0,False,21.533478232993126,0,2,2,0.09898447,2027.0
1,True,273.33188475430416,0,3,3,0.38139287,2027.0
2,True,62.77498791351987,0,2,0,0.38551393,2027.0
3,False,182.80757422592836,0,4,4,0.029885905,2027.0
4,True,138.47667959501305,0,2,4,0.3937919,2027.0
5,True,2.0,0,2,5,0.42764947,2027.0
6,False,437.04658976148266,0,5,3,0.016643932,2027.0
7,True,18.363256694216652,0,2,2,0.43573368,2027.0
8,False,667.3552837773169,0,7,3,3.7627117e-06,2027.0
9,True,21.906787638391254,0,2,2,0.47582033,2027.0
10,True,54.3881505004192,0,2,3,0.39795265,2027.0
11,True,94.1713290211848,0,4,1,0.3614614,2027.0
12,True,135.19380304545876,0,2,4,0.38744333,2027.0
13,False,62.94039886856213,0,3,0,0.110906035,2027.0
14,True,18.525375689229502,0,2,2,0.44907856,2027.0
15,True,65.81175820300469,0,2,0,0.33352366,2027.0
16,False,286.6326694653187,0,4,1,0.073802136,2027.0
17,True,67.25886473486514,0,2,0,0.49291193,2027.0
18,True,71.65636511670687,0,4,2,0.08119812,2027.0
19,True,2.0,0,2,5,0.38945755,2027.0
20,False,322.03956815943354,0,5,3,0.02116217,2027.0
21,False,205.23928201816594,0,3,1,0.26291665,2027.0
22,True,128.16489374749662,0,2,4,0.44882575,2027.0
23,True,70.7102420161641,0,2,0,0.37180766,2027.0
24,True,67.51314462123989,0,2,4,0.46906167,2027.0
25,True,116.84234649710756,0,2,4,0.46920225,2027.0
26,True,199.76751846493985,0,3,4,0.23702702,2027.0
27,True,111.51473083475477,0,2,4,0.35316876,2027.0
28,False,2.0,0,2,5,0.14384003,2027.0
29,True,2.0,0,2,0,0.48393998,2027.0
30,True,25.05894859181614,0,2,2,0.39855322,2027.0
31,False,517.3385687796724,0,5,4,0.006809705,2027.0
32,True,60.011607361171215,0,2,0,0.44573516,2027.0
33,True,161.38069309782173,0,3,5,0.2747409,2027.0
34,True,53.04488457122822,0,2,3,0.4701253,2027.0
35,True,81.95803842912345,0,2,1,0.26848593,2027.0
36,False,110.93457166341419,0,3,3,0.069772206,2027.0
37,True,93.88851494915626,0,2,1,0.27467605,2027.0
38,True,2.0,0,2,5,0.4440861,2027.0
39,True,28.496143386113765,0,2,2,0.4512459,2027.0
40,True,72.94365101011692,0,2,1,0.4054434,2027.0
41,True,117.80137279492445,0,3,4,0.30420634,2027.0
42,True,18.729571102269702,0,2,2,0.32094273,2027.0
43,False,20.01416664571467,0,2,2,0.12980095,2027.0
44,True,2.0,0,2,5,0.38182372,2027.0
45,False,445.3468545375099,0,4,5,0.17907842,2027.0
46,True,2.0,0,2,5,0.3689482,2027.0
47,True,68.79026815974838,0,2,1,0.29668924,2027.0
48,True,75.08551322926222,0,2,1,0.38022488,2027.0
49,True,279.33384618599166,0,4,1,0.25542754,2027.0
50,True,108.26423195060809,0,3,3,0.24427184,2027.0
51,True,118.00789774390378,0,3,2,0.19259764,2027.0
52,False,439.0324590809964,0,7,3,0.0148953395,2027.0
53,True,273.50972461342286,0,4,5,0.23262435,2027.0
54,True,50.34906733778462,0,2,3,0.41967997,2027.0
55,True,125.35222803827943,0,4,4,0.44244036,2027.0
56,True,119.00175966602353,0,3,4,0.38725168,2027.0
57,True,62.88146130645441,0,2,0,0.3893526,2027.0
58,True,61.734653555756395,0,2,0,0.45700473,2027.0
59,True,770.6799022622649,0,7,5,0.05355907,2027.0
60,True,111.98337616477028,0,3,3,0.17712347,2027.0
61,True,99.32858466648109,0,3,0,0.36937234,2027.0
62,True,107.40632685513009,0,3,3,0.21894126,2027.0
63,True,73.61704075046134,0,2,1,0.42190775,2027.0
64,True,70.02167797146176,0,3,3,0.46836728,2027.0
65,False,234.62960815534024,0,5,4,0.0495892,2027.0
66,True,22.575381143524595,0,2,2,0.28812122,2027.0
67,True,8.432415659168967,0,4,1,0.48952356,2027.0
68,True,2.0,0,2,5,0.39331087,2027.0
69,True,114.45395139004162,0,2,4,0.28451428,2027.0
70,True,401.1291941302451,0,6,1,0.09551787,2027.0
71,True,284.60399756991023,0,4,1,0.18105909,2027.0
72,True,140.22767477445458,0,3,5,0.22406389,2027.0
73,True,76.9315646511792,0,2,1,0.36595842,2027.0
74,True,2.0,0,2,5,0.45090666,2027.0
75,False,83.82282335390072,0,2,1,0.04248625,2027.0
76,True,199.44196188484676,0,3,1,0.36208865,2027.0
77,True,73.43355894876095,0,2,0,0.31619415,2027.0
78,True,74.69331891890849,0,2,1,0.36974776,2027.0
79,True,62.49871752775347,0,2,0,0.48677397,2027.0
80,True,390.5654139288589,0,5,3,0.23054734,2027.0
81,True,30.18381539859818,0,2,2,0.34845668,2027.0
82,True,16.345456921323006,0,2,2,0.33989123,2027.0
83,True,19.272400714124245,0,2,2,0.36896226,2027.0
84,True,646.042685669821,0,6,5,0.09821548,2027.0
85,False,91.65577761630155,0,2,1,0.33328345,2027.0
86,True,23.931636390972717,0,3,2,0.1883943,2027.0
87,True,17.72927709426566,0,2,2,0.39435813,2027.0
