user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
0,False,21.533478232993126,0,2,2,0.09898447,2023.0
1,True,273.33188475430416,0,3,3,0.38139287,2023.0
2,True,62.77498791351987,0,2,0,0.38551393,2023.0
3,False,182.80757422592836,0,4,4,0.029885905,2023.0
4,True,138.47667959501305,0,2,4,0.3937919,2023.0
5,True,2.0,0,2,5,0.42764947,2023.0
6,False,437.04658976148266,0,5,3,0.016643932,2023.0
7,True,18.363256694216652,0,2,2,0.43573368,2023.0
8,False,667.3552837773169,0,7,3,3.7627117e-06,2023.0
9,True,21.906787638391254,0,2,2,0.47582033,2023.0
10,True,54.3881505004192,0,2,3,0.39795265,2023.0
11,True,94.1713290211848,0,4,1,0.3614614,2023.0
12,True,135.19380304545876,0,2,4,0.38744333,2023.0
13,False,62.94039886856213,0,3,0,0.110906035,2023.0
14,True,18.525375689229502,0,2,2,0.44907856,2023.0
15,True,65.81175820300469,0,2,0,0.33352366,2023.0
16,False,286.6326694653187,0,4,1,0.073802136,2023.0
17,True,67.25886473486514,0,2,0,0.49291193,2023.0
18,True,71.65636511670687,0,4,2,0.08119812,2023.0
19,True,2.0,0,2,5,0.38945755,2023.0
20,True,324.03956815943354,0,7,3,0.02116217,2023.0
21,False,205.23928201816594,0,3,1,0.26291665,2023.0
22,True,128.16489374749662,0,2,4,0.44882575,2023.0
23,True,70.7102420161641,0,2,0,0.37180766,2023.0
24,True,71.77819520974487,0,4,4,0.46906167,2023.0
25,True,116.84234649710756,0,2,4,0.46920225,2023.0
26,False,136.76652330247282,0,2,4,0.23702702,2023.0
27,True,115.74403943268413,0,2,4,0.35316876,2023.0
28,False,2.0,0,2,5,0.14384003,2023.0
29,True,62.902365503841196,0,2,0,0.48393998,2023.0
30,True,25.05894859181614,0,2,2,0.39855322,2023.0
31,False,517.3385687796724,0,5,4,0.006809705,2023.0
32,True,60.011607361171215,0,2,0,0.44573516,2023.0
33,True,161.38069309782173,0,3,5,0.2747409,2023.0
34,True,53.04488457122822,0,2,3,0.4701253,2023.0
35,True,81.95803842912345,0,2,1,0.26848593,2023.0
36,False,110.93457166341419,0,3,3,0.069772206,2023.0
37,True,93.88851494915626,0,2,1,0.27467605,2023.0
38,True,2.0,0,2,5,0.4440861,2023.0
39,True,28.496143386113765,0,2,2,0.4512459,2023.0
40,True,72.94365101011692,0,2,1,0.4054434,2023.0
41,True,117.80137279492445,0,3,4,0.30420634,2023.0
42,True,18.729571102269702,0,2,2,0.32094273,2023.0
43,False,20.01416664571467,0,2,2,0.12980095,2023.0
44,True,2.0,0,2,5,0.38182372,2023.0
45,True,929.5666106168719,0,5,5,0.17907842,2023.0
46,True,2.0,0,2,5,0.3689482,2023.0
47,True,68.79026815974838,0,2,1,0.29668924,2023.0
48,True,75.08551322926222,0,2,1,0.38022488,2023.0
49,True,71.23086794604512,0,2,1,0.25542754,2023.0
50,True,108.26423195060809,0,3,3,0.24427184,2023.0
51,True,21.234664512606344,0,3,2,0.19259764,2023.0
52,False,439.0324590809964,0,7,3,0.0148953395,2023.0
53,True,515.3221326619728,0,3,5,0.23262435,2023.0
54,True,50.34906733778462,0,2,3,0.41967997,2023.0
55,True,125.35222803827943,0,4,4,0.44244036,2023.0
56,True,122.18564054346035,0,2,4,0.38725168,2023.0
