user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,True,622.7904861749281,1.0,5,5,0.12771612063505924,2029.0
1,True,631.0383063440398,1.0,5,5,0.0,2029.0
2,True,617.136011564178,1.0,5,5,0.0,2029.0
3,True,583.3661306974327,1.0,5,3,0.0,2029.0
4,True,240.2731026690641,1.0,5,4,0.04791057248652128,2029.0
5,True,617.9005671911764,1.0,5,5,0.0,2029.0
6,True,336.7303418504531,1.0,5,0,0.0,2029.0
7,True,466.806698193148,1.0,6,0,0.0,2029.0
8,True,260.6801473578797,1.0,5,4,0.0,2029.0
9,False,622.1433784884827,1.0,6,5,0.0,2029.0
10,True,259.8769398979217,1.0,5,4,0.04791057248652128,2029.0
11,True,625.5239901937613,1.0,5,5,0.0,2029.0
12,True,464.2150696706939,1.0,6,0,0.0,2029.0
13,True,879.2440381031665,1.0,5,2,0.0,2029.0
14,True,290.90126554630626,1.0,5,4,0.0,2029.0
15,True,804.4605891781201,1.0,4,1,0.48046951251134107,2029.0
16,False,814.1803792605908,1.0,4,1,0.22802339143911762,2029.0
17,True,139.23697134570622,1.0,3,4,0.10375275216001625,2029.0
18,True,590.5338858634284,1.0,5,3,0.0,2029.0
19,True,818.3798843138667,1.0,5,2,0.0,2029.0
20,True,603.5563990760663,1.0,5,5,0.21199528513145244,2029.0
21,False,850.8082662757206,1.0,5,1,0.16661790095117437,2029.0
22,True,574.0715195021198,1.0,5,3,0.13731738787810557,2029.0
23,True,607.182120267317,1.0,5,5,0.0,2029.0
24,True,626.3251304091775,1.0,6,5,0.14138301002469766,2029.0
25,True,605.3372100982849,1.0,5,5,0.12771612063505924,2029.0
26,True,591.4751385976374,1.0,4,3,0.4101152961354694,2029.0
27,True,328.36270582111143,1.0,5,0,0.03706146047509851,2029.0
28,False,929.5218578693523,1.0,6,1,0.0,2029.0
29,True,186.98533897984387,1.0,4,0,0.4101152961354694,2029.0
30,True,889.9388264781164,1.0,5,1,0.12771612063505924,2029.0
31,False,587.8790352180354,1.0,5,5,0.4422693674763995,2029.0
32,True,587.2841735599574,1.0,5,3,0.0,2029.0
33,False,481.14918946129586,1.0,6,0,0.0,2029.0
34,False,892.4055834966102,1.0,5,1,0.4282637318118902,2029.0
35,True,185.51231871513104,1.0,4,0,0.16661790095117437,2029.0
36,True,932.5407312332006,1.0,6,2,0.0,2029.0
37,True,594.5114959844298,1.0,5,3,0.0,2029.0
38,True,240.7716743265113,1.0,5,4,0.04791057248652128,2029.0
39,True,625.5591016610955,1.0,5,5,0.0,2029.0
40,True,804.7424088536827,1.0,5,2,0.4235159004308964,2029.0
41,True,628.3417047115855,1.0,5,5,0.0,2029.0
42,False,268.1201624584893,1.0,4,4,0.4422693674763995,2029.0
43,False,582.7020133725243,1.0,4,5,0.21199528513145244,2029.0
44,True,606.2925203610502,1.0,5,3,0.0,2029.0
45,True,642.2432876350841,1.0,5,3,0.04791057248652128,2029.0
46,False,462.2196969031414,1.0,6,0,0.0,2029.0
47,True,463.5653828070289,1.0,6,0,0.04791057248652128,2029.0
48,True,599.963325690122,1.0,5,3,0.0,2029.0
49,True,901.94699546978,1.0,5,2,0.0,2029.0
50,True,327.24880257822826,1.0,5,0,0.12771612063505924,2029.0
51,False,870.0747452612757,1.0,6,2,0.0,2029.0
52,False,613.9406834456189,1.0,6,5,0.4422693674763995,2029.0
53,True,326.79239772644917,1.0,5,0,0.0,2029.0
54,False,895.7460268231686,1.0,6,2,0.0,2029.0
