user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,True,717.2719081846079,1.0,6,5,0.12771612063505924,2030.0
1,True,37.523583242238644,1.0,2,5,0.0,2030.0
2,True,493.63627649057844,1.0,4,5,0.0,2030.0
3,False,653.5044248092252,1.0,5,3,0.0,2030.0
4,True,333.5717635546177,1.0,6,4,0.04791057248652128,2030.0
5,True,652.2978890772399,1.0,5,5,0.0,2030.0
6,True,146.77832836817873,1.0,4,0,0.0,2030.0
7,False,1.0,1.0,1,0,0.0,2030.0
8,False,450.6091787415801,1.0,5,4,0.0,2030.0
9,False,719.4845160908931,1.0,6,5,0.0,2030.0
10,False,0.0,1.0,0,4,0.04791057248652128,2030.0
11,False,682.9167002540562,1.0,5,5,0.0,2030.0
12,False,411.2416098647939,1.0,4,0,0.0,2030.0
13,False,1200.1879717317395,1.0,6,2,0.0,2030.0
14,True,414.310720144441,1.0,5,4,0.0,2030.0
15,False,918.8429598668001,1.0,5,1,0.48046951251134107,2030.0
16,True,58.54375250834902,1.0,2,1,0.22802339143911762,2030.0
17,True,184.48350761752025,1.0,3,4,0.10375275216001625,2030.0
18,False,661.6856013641075,1.0,6,3,0.0,2030.0
19,True,858.3775969056333,1.0,6,2,0.0,2030.0
20,False,552.6110320416764,1.0,5,5,0.21199528513145244,2030.0
21,False,898.7374645694117,1.0,5,1,0.16661790095117437,2030.0
22,True,318.9957872204285,1.0,3,3,0.13731738787810557,2030.0
23,True,183.59085600823693,1.0,4,5,0.0,2030.0
24,False,679.3141320452635,1.0,5,5,0.14138301002469766,2030.0
25,False,658.5436016386167,1.0,4,5,0.12771612063505924,2030.0
26,False,668.9738953349656,1.0,5,3,0.4101152961354694,2030.0
27,True,183.90135528611242,1.0,2,0,0.03706146047509851,2030.0
28,False,329.54546394568996,1.0,4,1,0.0,2030.0
29,False,119.07341923559443,1.0,4,0,0.4101152961354694,2030.0
30,True,799.2892375478565,1.0,5,1,0.12771612063505924,2030.0
31,False,541.1268282436818,1.0,4,5,0.4422693674763995,2030.0
32,False,590.9386977984175,1.0,5,3,0.0,2030.0
33,False,457.06394041781374,1.0,4,0,0.0,2030.0
34,True,946.7148920960399,1.0,6,1,0.4282637318118902,2030.0
35,True,186.5001922318939,1.0,5,0,0.16661790095117437,2030.0
36,True,458.7765989629973,1.0,4,2,0.0,2030.0
37,False,666.513878296752,1.0,5,3,0.0,2030.0
38,False,322.03698423565714,1.0,4,4,0.04791057248652128,2030.0
39,True,695.7552897626498,1.0,6,5,0.0,2030.0
40,True,2.0,1.0,2,2,0.4235159004308964,2030.0
41,True,112.49276436466756,1.0,5,5,0.0,2030.0
42,False,348.3465854391526,1.0,4,4,0.4422693674763995,2030.0
43,True,625.7059001313073,1.0,6,5,0.21199528513145244,2030.0
44,False,673.7264660413038,1.0,5,3,0.0,2030.0
45,False,712.5775141654077,1.0,5,3,0.04791057248652128,2030.0
46,True,139.65380575368053,1.0,4,0,0.0,2030.0
47,True,490.0884626905522,1.0,6,0,0.04791057248652128,2030.0
48,True,672.0079129025752,1.0,6,3,0.0,2030.0
49,True,884.4698095712486,1.0,6,2,0.0,2030.0
50,True,358.1567035878436,1.0,6,0,0.12771612063505924,2030.0
51,False,846.3216396071377,1.0,5,2,0.0,2030.0
52,False,665.2438075472896,1.0,5,5,0.4422693674763995,2030.0
53,True,320.9974469162621,1.0,6,0,0.0,2030.0
54,False,947.0485061778982,1.0,6,2,0.0,2030.0
55,True,498.8858772301009,1.0,6,0,0.0,2030.0
56,True,81.04151525736332,1.0,2,2,0.22802339143911762,2030.0
57,True,548.3134796228445,1.0,4,2,0.12771612063505924,2030.0
58,True,338.66456461444204,1.0,2,2,0.4422693674763995,2030.0
59,True,215.6838671752769,1.0,4,4,0.2612958507728307,2030.0
60,False,854.6270028728928,1.0,5,1,0.04291382053974471,2030.0
61,True,620.1410639286178,1.0,6,5,0.04791057248652128,2030.0
62,False,414.91176021094384,1.0,4,4,0.0,2030.0
63,True,142.85825349165233,1.0,5,5,0.3882102410061009,2030.0
64,False,660.8252447956745,1.0,4,5,0.0,2030.0
65,True,172.75328397626296,1.0,4,5,0.0,2030.0
66,False,880.4815485006374,1.0,5,1,0.4422693674763995,2030.0
67,True,283.69334255412014,1.0,6,0,0.005403235671645964,2030.0
68,True,634.9905593003941,1.0,6,5,0.0,2030.0
69,True,255.6132078113822,1.0,5,4,0.0,2030.0
70,False,319.54424589821065,1.0,5,0,0.0,2030.0
71,False,182.61296201714228,1.0,1,0,0.0,2030.0
72,False,389.5954598637443,1.0,4,4,0.22445079832408563,2030.0
73,True,129.46475350532768,1.0,2,5,0.0,2030.0
74,False,731.0932125812152,1.0,5,5,0.4422693674763995,2030.0
75,True,837.5380060495377,1.0,6,2,0.0,2030.0
76,False,773.1143664618633,1.0,4,2,0.0,2030.0
77,True,353.09780631695264,1.0,4,1,0.0,2030.0
78,False,136.1747664243324,1.0,1,1,0.0,2030.0
79,True,315.8899398181458,1.0,5,0,0.0,2030.0
80,True,128.30045598298545,1.0,3,5,0.12771612063505924,2030.0
81,True,284.04533105679195,1.0,6,0,0.0,2030.0
82,True,507.52878588651123,1.0,4,5,0.3882102410061009,2030.0
83,True,685.3535314968493,1.0,6,3,0.12771612063505924,2030.0
84,True,463.63497391130244,1.0,6,4,0.0,2030.0
85,True,110.44640421540069,1.0,3,3,0.0,2030.0
86,True,57.17867705077149,1.0,2,1,0.0,2030.0
87,True,562.75137578281,1.0,2,1,0.2784360033538045,2030.0
88,True,473.1652344981489,1.0,3,2,0.4282637318118902,2030.0
89,True,493.53929240764927,1.0,5,2,0.04791057248652128,2030.0
90,False,225.9756038755222,1.0,4,4,0.0,2030.0
91,True,174.40096284880696,1.0,4,5,0.04791057248652128,2030.0
92,True,210.37547302897423,1.0,4,2,0.04791057248652128,2030.0
93,True,450.19214346554094,1.0,6,4,0.0,2030.0
94,True,133.92952922888063,1.0,2,5,0.16661790095117437,2030.0
95,True,493.5325142570114,1.0,6,0,0.0,2030.0
96,True,238.46383549676204,1.0,6,5,0.0,2030.0
97,False,401.0806935700922,1.0,4,1,0.0,2030.0
98,False,767.505191571513,1.0,5,2,0.0,2030.0
99,False,670.062181941267,1.0,5,3,0.0,2030.0
100,False,582.5476425052466,1.0,6,5,0.0,2030.0
101,False,840.9122761245017,1.0,5,1,0.14138301002469766,2030.0
102,False,984.9564539919862,1.0,6,1,0.12771612063505924,2030.0
103,True,426.4336653111369,1.0,6,1,0.22802339143911762,2030.0
104,True,137.96047905852734,1.0,2,1,0.4101152961354694,2030.0
105,True,911.7549952837448,1.0,6,1,0.0,2030.0
106,True,715.7711189093483,1.0,5,2,0.0,2030.0
107,False,696.2923837685357,1.0,6,5,0.16661790095117437,2030.0
108,False,454.0595133621769,1.0,4,4,0.0,2030.0
109,True,686.0051650510605,1.0,6,5,0.0,2030.0
110,True,826.9576723109116,1.0,6,2,0.12771612063505924,2030.0
111,False,176.7952309748573,1.0,1,0,0.4422693674763995,2030.0
112,True,2.0,1.0,2,4,0.17039086635325718,2030.0
113,False,411.7142706418608,1.0,4,0,0.0,2030.0
114,True,492.24949075557146,1.0,6,0,0.12771612063505924,2030.0
115,True,731.4443383235931,1.0,6,5,0.0,2030.0
116,True,372.0909167217008,1.0,3,3,0.16594978702918783,2030.0
117,False,452.6174068195466,1.0,5,4,0.0,2030.0
118,False,326.09599844987025,1.0,6,0,0.04791057248652128,2030.0
119,True,197.42957615451843,1.0,3,4,0.22802339143911762,2030.0
120,False,653.6689340766,1.0,5,5,0.0,2030.0
121,True,847.2610732293543,1.0,6,1,0.0,2030.0
122,False,872.7717947154756,1.0,5,1,0.03706146047509851,2030.0
123,False,445.35788865136067,1.0,5,0,0.0,2030.0
124,False,115.79787330095797,1.0,1,0,0.04791057248652128,2030.0
125,False,435.3768546436228,1.0,6,4,0.4591474052250204,2030.0
126,True,306.63512542321166,1.0,3,3,0.4567944673872564,2030.0
127,True,435.00720476980484,1.0,3,2,0.3882102410061009,2030.0
128,True,430.29238697742767,1.0,3,2,0.12771612063505924,2030.0
129,False,441.5725340869502,1.0,6,0,0.0,2030.0
