user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,False,258.8439314659109,1.0,5,1,0.06282706074433794,2026.0
1,True,269.4645814947321,1.0,4,1,0.13387871897366654,2026.0
2,False,16.242842571504564,1.0,2,2,0.07542818932519774,2026.0
3,False,2.0,1.0,2,5,0.13353331075523733,2026.0
4,False,176.75543483374605,1.0,3,1,0.04153810075675093,2026.0
5,False,681.153917561451,1.0,6,5,0.10533643813099768,2026.0
6,True,147.47267981611662,1.0,4,3,0.1411396638764311,2026.0
7,False,430.86986431050195,1.0,5,5,0.04666485170274542,2026.0
8,False,140.59752894935724,1.0,4,1,0.12152342244490388,2026.0
9,False,511.83740071313446,1.0,5,3,0.10533643813099768,2026.0
10,False,307.0975419239169,1.0,5,4,0.03617482230698669,2026.0
11,False,60.429005553413994,1.0,3,4,0.04869698863704141,2026.0
12,False,66.94115581248784,1.0,2,1,0.13387871897366654,2026.0
13,True,174.2522482536874,1.0,4,0,0.07426051619726992,2026.0
14,False,174.6542691788446,1.0,5,0,0.06044202373230548,2026.0
15,True,237.47681380687047,1.0,3,2,0.12015262675225996,2026.0
16,False,261.97595393739306,1.0,5,4,0.0,2026.0
17,True,52.44895977013242,1.0,3,0,0.1411396638764311,2026.0
18,True,142.37248277791963,1.0,4,1,0.1411396638764311,2026.0
19,False,408.1086085448381,1.0,5,3,0.10677370558026908,2026.0
20,False,540.6532993739962,1.0,5,5,0.06044202373230548,2026.0
21,False,371.29179250003483,1.0,3,0,0.04153810075675093,2026.0
22,False,277.4633952837923,1.0,7,2,0.0,2026.0
23,True,159.88100980034338,1.0,4,3,0.1411396638764311,2026.0
24,False,448.3206727455345,1.0,4,4,0.04153810075675093,2026.0
25,False,208.3087546605066,1.0,3,2,0.0538914526328874,2026.0
26,False,328.69241202907983,1.0,5,3,0.062099585110530355,2026.0
27,True,129.0032902478348,1.0,3,2,0.11532096722404728,2026.0
28,True,70.00327331674374,1.0,2,1,0.062099585110530355,2026.0
29,False,101.59506600644757,1.0,2,3,0.015326047798296237,2026.0
30,False,289.4973780068493,1.0,5,4,0.10677370558026908,2026.0
31,False,143.17089662718757,1.0,2,2,0.05290991300668976,2026.0
32,True,53.102171804483035,1.0,2,0,0.1411396638764311,2026.0
33,False,937.4068435790078,1.0,6,5,0.024227674760719943,2026.0
34,False,228.84687191450809,1.0,3,5,0.13387871897366654,2026.0
35,False,114.32480953344108,1.0,2,5,0.11739816105549224,2026.0
36,False,331.4457907348278,1.0,5,0,0.054193055651474475,2026.0
37,True,120.63388769679781,1.0,2,5,0.09411323085442284,2026.0
38,True,42.64330124417476,1.0,2,4,0.07995410644564697,2026.0
39,False,103.33719385129939,1.0,3,2,0.1411396638764311,2026.0
40,False,546.2065608322969,1.0,6,3,0.04970053457823645,2026.0
41,False,153.71022117078638,1.0,3,1,0.1411396638764311,2026.0
42,False,124.2072228960764,1.0,3,0,0.10533643813099768,2026.0
43,False,295.4737116373187,1.0,5,3,0.11532096722404728,2026.0
44,False,1.0,1.0,1,1,0.11155727469487091,2026.0
45,False,541.7123096806017,1.0,5,4,0.06044202373230548,2026.0
46,False,338.6068647986824,1.0,7,3,0.0,2026.0
47,False,157.28678623641144,1.0,5,0,0.14626356234387816,2026.0
48,False,596.5685074778087,1.0,6,4,0.03617482230698669,2026.0
49,True,164.42084734853654,1.0,5,2,0.0978905388606384,2026.0
50,False,289.669529199841,1.0,5,4,0.06044202373230548,2026.0
51,False,46.40322298181731,1.0,3,3,0.11532096722404728,2026.0
52,False,429.11472430043955,1.0,6,3,0.05706745292642642,2026.0
53,True,104.59267471390228,1.0,2,4,0.12965932837634253,2026.0
54,True,412.8503657564081,1.0,5,5,0.13353331075523733,2026.0
55,True,124.66499118698081,1.0,5,2,0.11155727469487091,2026.0
56,False,46.07678268287455,1.0,2,3,0.13387871897366654,2026.0
57,True,436.78474872433617,1.0,5,3,0.06044202373230548,2026.0
58,False,239.0125006995369,1.0,5,2,0.06044202373230548,2026.0
59,True,244.03809177749503,1.0,5,2,0.13387871897366654,2026.0
60,False,680.5163775615687,1.0,5,5,0.05623886763419442,2026.0
61,True,111.37822638343954,1.0,5,2,0.0978905388606384,2026.0
62,False,287.4058522922239,1.0,6,1,0.042560419964888026,2026.0
63,True,254.79976814256548,1.0,3,2,0.07995410644564697,2026.0
64,True,42.011710190291254,1.0,2,3,0.13387871897366654,2026.0
65,False,17.977543995560293,1.0,2,2,0.04970053457823645,2026.0
66,False,115.63995228597206,1.0,2,5,0.04313971407039134,2026.0
67,False,51.47073575994223,1.0,2,0,0.13387871897366654,2026.0
68,True,641.6062398968886,1.0,6,5,0.10677370558026908,2026.0
69,True,791.7342687324531,1.0,5,5,0.0978905388606384,2026.0
70,True,192.13766598326595,1.0,3,3,0.13387871897366654,2026.0
