user_idx,recourse,cost,is_it_valid,length,mixture_class,model_score,seed
0,False,2.0,1.0,2,1,0.06282706074433794,2028.0
1,False,1.0,1.0,1,1,0.13387871897366654,2028.0
2,False,1.0,1.0,1,2,0.07542818932519774,2028.0
3,False,97.63502263787579,1.0,2,5,0.13353331075523733,2028.0
4,False,2.0,1.0,2,1,0.04153810075675093,2028.0
5,False,142.45878902269317,1.0,2,5,0.10533643813099768,2028.0
6,False,154.3808938838326,1.0,3,3,0.1411396638764311,2028.0
7,False,107.09982941178853,1.0,2,5,0.04666485170274542,2028.0
8,True,87.51210349683264,1.0,3,1,0.12152342244490388,2028.0
9,False,103.46946502552767,1.0,2,3,0.10533643813099768,2028.0
10,False,2.0,1.0,2,4,0.03617482230698669,2028.0
11,False,4.0,1.0,4,4,0.04869698863704141,2028.0
12,False,1.0,1.0,1,1,0.13387871897366654,2028.0
13,False,92.52107618026747,1.0,6,0,0.07426051619726992,2028.0
14,False,21.055028986190873,1.0,2,0,0.06044202373230548,2028.0
15,True,425.3588851502052,1.0,4,2,0.12015262675225996,2028.0
16,False,5.0,1.0,5,4,0.0,2028.0
17,False,17.145704849868686,1.0,2,0,0.1411396638764311,2028.0
18,False,1.0,1.0,1,1,0.1411396638764311,2028.0
19,True,491.9869872514251,1.0,5,3,0.10677370558026908,2028.0
20,False,118.47431536387809,1.0,2,5,0.06044202373230548,2028.0
21,False,1.0,1.0,1,0,0.04153810075675093,2028.0
22,False,372.8984264894721,1.0,4,2,0.0,2028.0
23,False,113.6253894546143,1.0,2,3,0.1411396638764311,2028.0
24,False,1.0,1.0,1,4,0.04153810075675093,2028.0
25,False,284.7239161963214,1.0,3,2,0.0538914526328874,2028.0
26,False,225.11776337439096,1.0,3,3,0.062099585110530355,2028.0
27,False,128.75247448542865,1.0,2,2,0.11532096722404728,2028.0
28,False,1.0,1.0,1,1,0.062099585110530355,2028.0
29,False,199.80697068512382,1.0,3,3,0.015326047798296237,2028.0
30,True,4.0,1.0,4,4,0.10677370558026908,2028.0
31,False,286.92121360722876,1.0,3,2,0.05290991300668976,2028.0
32,False,1.0,1.0,1,0,0.1411396638764311,2028.0
33,False,111.7038065301473,1.0,2,5,0.024227674760719943,2028.0
34,False,1.0,1.0,1,5,0.13387871897366654,2028.0
35,False,228.1555768520888,1.0,3,5,0.11739816105549224,2028.0
36,False,38.13670265567603,1.0,3,0,0.054193055651474475,2028.0
37,False,100.73356876841827,1.0,2,5,0.09411323085442284,2028.0
38,False,1.0,1.0,1,4,0.07995410644564697,2028.0
39,False,1.0,1.0,1,2,0.1411396638764311,2028.0
