user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
0,1,290.44796528852567,0,6,1,0.03589266927198224,2032.0
1,0,368.9028199092499,0,5,0,0.035000573165822675,2032.0
2,1,289.94077438387933,0,4,3,0.18569015962135846,2032.0
3,0,480.22648839281356,0,5,4,0.005482542209953718,2032.0
4,1,67.57157584228878,0,2,3,0.1911601355245619,2032.0
5,1,339.10367415142923,0,6,4,0.03930887167540414,2032.0
6,0,260.4612629090931,0,4,0,0.030893806995901243,2032.0
7,1,404.4851268647409,0,4,0,0.06511225949309545,2032.0
8,1,451.36981562315384,0,5,3,0.11229294087944108,2032.0
9,0,513.2938252687643,0,3,5,0.0472017165922795,2032.0
10,1,51.003517302996784,0,3,3,0.16989627090516476,2032.0
11,1,192.16729511947648,0,4,1,0.10425786849744614,2032.0
12,0,583.4410708822832,0,5,4,4.2694304469771153e-17,2032.0
13,1,207.7197872774773,0,4,4,0.13925616275038608,2032.0
14,1,313.0626305082741,0,4,1,0.05681672183978521,2032.0
15,0,362.42139769044235,0,5,1,4.167355673372758e-17,2032.0
16,1,173.40420265370128,0,5,2,0.09460449325027237,2032.0
17,1,138.1031482322598,0,2,4,0.18973291252259955,2032.0
18,1,147.69765881710208,0,5,2,0.03407378594049334,2032.0
19,1,553.4591507947785,0,6,5,0.027853711784199958,2032.0
20,0,513.8524380855782,0,5,4,0.006367727466873047,2032.0
21,1,190.78046276067923,0,3,1,0.19987321473060796,2032.0
22,1,184.4761975021094,0,4,4,0.171055558795249,2032.0
23,1,156.832636511331,0,4,2,0.1455729923866577,2032.0
24,1,248.41991673659663,0,4,5,0.11772458401142534,2032.0
25,0,97.76704401041717,0,5,2,3.83914092463091e-17,2032.0
26,1,405.8544890401424,0,4,4,0.10675198876919688,2032.0
27,1,180.29364323366462,0,3,1,0.10905679034967929,2032.0
28,1,129.36555596524664,0,3,0,0.1458401288954364,2032.0
29,1,284.04139033007186,0,4,4,0.09430347351807915,2032.0
30,1,188.48993871625544,0,5,1,0.05824472845673475,2032.0
31,1,160.01033913178657,0,5,2,0.06924590691476037,2032.0
32,1,216.6471502475313,0,4,0,0.054233785994713,2032.0
33,0,535.6218934466425,0,5,3,0.00237339444705851,2032.0
34,0,75.55579776998734,0,2,4,0.029178544077988037,2032.0
35,0,0.0,0,0,3,0.019190001498990562,2032.0
36,1,168.67573540687442,0,3,4,0.1642237584623524,2032.0
37,1,260.03503990090593,0,4,3,0.09843485737523533,2032.0
38,1,176.73802656213695,0,4,0,0.10575064884603258,2032.0
39,1,372.3247414865151,0,4,5,0.1514705056992298,2032.0
40,1,325.1290976659017,0,6,0,0.053127875107781726,2032.0
41,1,258.8247902378988,0,4,3,0.07409370408278812,2032.0
42,0,827.6513287042092,0,6,5,1.605147593466716e-05,2032.0
43,1,432.6785174308547,0,5,4,0.07763769929871171,2032.0
44,1,132.6331842324873,0,2,4,0.19697633457850608,2032.0
45,1,310.2192159420172,0,5,5,0.11250323385305148,2032.0
46,0,380.7774617263392,0,5,1,0.003023788216728468,2032.0
47,0,0.0,0,0,4,0.013432658868607242,2032.0
48,1,278.28150703647515,0,5,1,0.087176147728465,2032.0
49,1,74.59624111230701,0,3,1,0.1851786957627289,2032.0
50,1,208.52796072631241,0,3,4,0.1272601503299857,2032.0
51,1,253.6154873873121,0,3,4,0.08875000415982369,2032.0
52,1,172.0734969889582,0,3,1,0.11962861734230343,2032.0
53,0,217.77570541017292,0,5,2,0.01237136112515868,2032.0
54,1,258.78317930565174,0,4,5,0.14542377337884965,2032.0
55,1,164.359587543298,0,3,0,0.11787659860565625,2032.0
56,0,546.1721826191459,0,5,0,0.012726109665968785,2032.0
57,1,207.57057483027052,0,3,4,0.1263073930835377,2032.0
58,1,47.19672846038662,0,3,2,0.16906380153701872,2032.0
59,1,473.07885511033976,0,5,5,0.1613869117615986,2032.0
60,1,276.680798204501,0,5,1,0.057667958615816924,2032.0
61,1,180.3042945216335,0,4,0,0.10918648143037134,2032.0
62,1,268.86446656947857,0,5,3,0.046923393260409035,2032.0
63,0,188.7477560152593,0,4,0,0.0038722249721919637,2032.0
64,1,143.6327466066003,0,3,0,0.09801760746199188,2032.0
65,1,533.190399941634,0,5,5,0.04707896201937834,2032.0
66,0,234.13415619427784,0,5,1,0.030010699833846095,2032.0
67,1,19.588287701532177,0,3,2,0.15599942515182297,2032.0
68,1,82.38851086153257,0,2,1,0.19909840850553528,2032.0
69,1,96.34179561028117,0,4,3,0.1513807021695236,2032.0
70,1,252.62728133936884,0,5,0,0.07520647737702434,2032.0
71,1,356.63270883664495,0,6,4,0.020125399929687527,2032.0
72,1,256.00683987488947,0,4,5,0.17573652521487282,2032.0
73,1,69.85685822794075,0,2,3,0.19417291608289836,2032.0
74,1,264.88969158410083,0,6,1,0.04458085704422963,2032.0
75,1,606.2666565553759,0,6,5,0.07558554936967062,2032.0
76,1,488.717372685542,0,5,4,0.06201421022397356,2032.0
77,1,414.6217883290835,0,5,3,0.04974837289788468,2032.0
78,1,194.0078970068577,0,6,2,0.1394575308465034,2032.0
79,1,255.0324132561218,0,5,0,0.062265871454676776,2032.0
80,1,176.14921381669274,0,4,1,0.15619673873891465,2032.0
81,0,137.45474499121974,0,3,1,0.030445875104243833,2032.0
82,0,233.46796661105336,0,2,1,0.0901412025837866,2032.0
83,0,622.4462887635244,0,6,4,0.007518935810297,2032.0
84,0,468.4930450265513,0,5,1,0.018037750836382267,2032.0
85,0,210.17455694875287,0,2,3,0.08019496485873842,2032.0
86,1,297.23259883109375,0,4,1,0.16865401467564467,2032.0
87,0,36.34957115905863,0,1,3,0.05081107207215615,2032.0
88,1,336.0504473603919,0,4,4,0.19804715614209398,2032.0
89,1,266.46719611191133,0,4,3,0.10500106791132986,2032.0
90,0,556.9469493733877,0,5,3,0.0038843696118424434,2032.0
91,0,86.63183316957979,0,3,4,0.04396257890044885,2032.0
92,0,458.17258865271754,0,5,1,0.0001467488332997292,2032.0
93,1,322.62919489580054,0,4,3,0.12931227673054801,2032.0
94,1,165.16012328389957,0,3,4,0.1401358658563593,2032.0
95,1,189.32070572372444,0,4,1,0.18089621765578165,2032.0
96,1,77.3608115240931,0,2,1,0.1913022057154365,2032.0
97,1,275.76105965886916,0,6,2,0.01271164603772525,2032.0
98,0,110.01299029928546,0,1,1,0.14091593007257222,2032.0
99,0,281.713260246865,0,2,5,0.08732309295884122,2032.0
100,1,189.24337764758857,0,3,1,0.12701639501774117,2032.0
101,0,214.9082776551902,0,4,4,0.008837299127516438,2032.0
102,1,205.31483110096417,0,6,2,0.0541401402960936,2032.0
103,1,170.42269001359693,0,4,0,0.14298164040379913,2032.0
104,1,154.99489447471655,0,3,5,0.19140574323606196,2032.0
105,1,21.480970805607836,0,3,2,0.17369013406608758,2032.0
106,1,346.3723453259222,0,4,4,0.11570263991544649,2032.0
107,1,180.8367848475394,0,5,1,0.07959972636036534,2032.0
108,1,321.53523945957284,0,6,1,0.01994794059369941,2032.0
109,1,183.52351240269408,0,4,1,0.07581285246993748,2032.0
110,1,88.99950845715625,0,2,1,0.18703599374875035,2032.0
111,1,21.173736188351675,0,6,2,0.012852760933533948,2032.0
