user_idx,recourse,cost,elicitation,length,mixture_class,model_score
0,1,272.58925557801615,1.0,5,2,0.09898443
1,1,3.0,1.0,3,3,0.38139293
2,1,18.945115402033267,1.0,3,0,0.385514
3,0,468.6402658925029,1.0,6,4,0.029885905
4,1,138.47667959501305,1.0,2,4,0.3937919
5,1,2.0,1.0,2,5,0.42764953
6,0,1.0,1.0,1,3,0.01664394
7,1,18.363256694216652,1.0,2,2,0.43573368
8,0,416.2897260941911,1.0,6,3,3.7627117e-06
9,1,21.27884257849504,1.0,2,2,0.47582033
10,1,54.3881505004192,1.0,2,3,0.39795265
11,1,3.0,1.0,3,1,0.36146137
12,1,135.19380304545876,1.0,2,4,0.38744342
13,1,134.741995274338,1.0,4,0,0.11090609
14,1,18.040186760991425,1.0,2,2,0.44907856
15,1,65.81175820300469,1.0,2,0,0.33352363
16,1,288.6326694653187,1.0,6,1,0.073802136
17,1,2.0,1.0,2,0,0.49291182
18,0,273.73548041509946,1.0,5,2,0.081198156
19,1,2.0,1.0,2,5,0.38945758
20,0,2.0,1.0,2,3,0.021162162
21,1,324.91510507881367,1.0,5,1,0.26291656
22,1,128.16489374749662,1.0,2,4,0.44882575
23,1,70.7102420161641,1.0,2,0,0.3718077
24,1,71.77819520974487,1.0,4,4,0.46906173
25,1,52.948585140985074,1.0,4,4,0.4692023
26,1,193.43886048632544,1.0,6,4,0.23702706
27,1,115.74403943268413,1.0,2,4,0.3531687
28,1,4.0,1.0,4,5,0.14384001
29,1,2.0,1.0,2,0,0.48393998
30,1,24.43136108926036,1.0,2,2,0.39855316
31,0,275.4497596074217,1.0,6,4,0.006809705
32,1,2.0,1.0,2,0,0.44573516
33,1,2.0,1.0,2,5,0.27474093
34,1,53.04488457122822,1.0,2,3,0.4701253
35,1,81.95803842912345,1.0,2,1,0.2684859
36,1,446.3965282822404,1.0,6,3,0.069772236
37,1,93.88851494915626,1.0,2,1,0.274676
38,1,2.0,1.0,2,5,0.44408616
39,1,27.84729471088179,1.0,2,2,0.45124584
40,1,72.94365101011692,1.0,2,1,0.4054434
41,1,117.80137279492445,1.0,3,4,0.30420634
42,1,18.12929096565759,1.0,2,2,0.32094282
43,1,21.342631354465368,1.0,4,2,0.12980095
44,1,2.0,1.0,2,5,0.3818236
45,1,665.2721615376028,1.0,5,5,0.17907844
46,1,2.0,1.0,2,5,0.36894825
47,1,70.69571746535709,1.0,2,1,0.29668924
48,1,75.08551322926222,1.0,2,1,0.38022494
49,1,71.23086794604512,1.0,2,1,0.25542757
50,1,108.26423195060809,1.0,3,3,0.24427184
51,1,21.234664512606344,1.0,3,2,0.19259761
52,0,1.0,1.0,1,3,0.014895346
53,1,4.0,1.0,4,5,0.23262425
54,1,50.34906733778462,1.0,2,3,0.41968003
55,1,67.47707788607133,1.0,4,4,0.44244036
56,1,120.00175966602353,1.0,4,4,0.3872517
57,1,2.0,1.0,2,0,0.38935256
58,1,2.0,1.0,2,0,0.4570047
59,1,573.2846460040444,1.0,6,5,0.05355907
60,1,111.98337616477028,1.0,3,3,0.17712352
61,1,62.15666777783849,1.0,2,0,0.36937234
62,1,107.40632685513009,1.0,3,3,0.21894135
63,1,73.61704075046134,1.0,2,1,0.42190787
64,1,58.09204877411412,1.0,2,3,0.46836728
65,0,247.43704554467143,1.0,5,4,0.049589228
66,1,21.910684648930086,1.0,2,2,0.28812116
67,1,3.0,1.0,3,1,0.48952356
68,1,2.0,1.0,2,5,0.39331087
69,1,114.45395139004162,1.0,2,4,0.28451428
70,1,276.4578003528288,1.0,6,1,0.09551795
71,1,176.36839326444584,1.0,3,1,0.18105909
72,1,140.22767477445458,1.0,3,5,0.22406387
73,1,3.0,1.0,3,1,0.36595842
74,1,2.0,1.0,2,5,0.45090672
75,0,1.0,1.0,1,1,0.042486235
76,1,199.44196188484676,1.0,3,1,0.36208874
77,1,73.43355894876095,1.0,2,0,0.3161941
78,1,74.69331891890849,1.0,2,1,0.3697478
79,1,2.0,1.0,2,0,0.4867739
80,1,389.5654139288589,1.0,4,3,0.23054741
81,1,29.48524787955632,1.0,2,2,0.34845662
82,1,16.345456921323006,1.0,2,2,0.33989128
83,1,18.745676893769847,1.0,2,2,0.36896226
84,1,5.0,1.0,5,5,0.09821548
85,1,69.97313065067911,1.0,2,1,0.3332834
86,1,23.931636390972717,1.0,3,2,0.1883943
87,1,17.093056447460313,1.0,2,2,0.3943581
88,1,351.47888217861765,1.0,4,0,0.11898716
89,1,54.168845519873855,1.0,2,3,0.36554843
90,1,2.0,1.0,2,5,0.33996552
91,1,60.16817676473703,1.0,2,0,0.3316544
92,1,64.25332700705636,1.0,2,0,0.28240618
93,1,70.33671047233653,1.0,2,1,0.30861902
94,1,49.85690168948878,1.0,2,3,0.35949627
95,1,62.72251255587046,1.0,2,0,0.35923228
96,1,2.0,1.0,2,5,0.43642706
97,1,4.0,1.0,4,5,0.21530811
98,1,80.50074452372559,1.0,2,1,0.44702724
99,0,358.7452812569778,1.0,5,3,0.025862535
