user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
0,0,92.80692083510249,0,2,4,0.04031233,2026.0
1,1,270.77922990323475,0,5,4,0.103689894,2026.0
2,0,62.72924057018477,0,2,1,0.04860466,2026.0
3,1,418.98830109357186,0,6,3,0.14346182,2026.0
4,0,53.05503204584931,0,1,1,0.03155896,2026.0
5,1,717.9011085338254,0,6,5,0.052289028,2026.0
6,1,258.1793098248687,0,4,3,0.16823426,2026.0
7,1,242.32625726178298,0,5,0,0.061581556,2026.0
8,1,155.76404880396896,0,6,1,0.18146868,2026.0
9,1,152.74549622150482,0,4,0,0.14493558,2026.0
10,1,624.1298098524294,0,6,5,0.05448069,2026.0
11,0,19.768234785780898,0,3,3,0.041172158,2026.0
12,0,185.721698456021,0,2,0,0.06171145,2026.0
13,1,143.83972447484456,0,4,0,0.16876987,2026.0
14,0,236.7311613229094,0,2,5,0.040575642,2026.0
15,1,164.5461399759362,0,4,0,0.18698905,2026.0
16,0,555.231797616777,0,4,5,0.054265402,2026.0
17,0,124.4597065741168,0,3,4,0.010304988,2026.0
18,0,90.67837814953708,0,2,4,0.009750919,2026.0
19,1,272.7244795599769,0,4,4,0.15682766,2026.0
20,1,51.364483398776265,0,4,3,0.16251266,2026.0
21,1,200.85550135720976,0,5,1,0.13240361,2026.0
22,0,205.81926067231174,0,3,0,0.08051756,2026.0
23,1,21.671363265412282,0,4,2,0.08614129,2026.0
24,1,167.7442808322266,0,6,2,0.041495547,2026.0
25,0,37.35984626304205,0,2,2,0.017040772,2026.0
26,1,21.613814329844317,0,4,2,0.07731332,2026.0
27,1,25.893624700772612,0,3,2,0.16628566,2026.0
28,0,24.029856028938383,0,3,3,0.09730074,2026.0
29,0,61.16719131953561,0,2,1,0.04205308,2026.0
30,0,88.33923327025781,0,2,4,0.0351138,2026.0
31,1,152.13728138211397,0,4,0,0.16344815,2026.0
32,1,256.9329617284261,0,4,3,0.13944079,2026.0
33,0,22.826446441515042,0,3,3,0.05189213,2026.0
34,1,422.1894230788587,0,5,3,0.082334,2026.0
35,1,4.0,0,4,5,0.17558056,2026.0
36,1,273.6953545431031,0,4,4,0.11553081,2026.0
37,1,111.98337616477028,0,3,3,0.17712347,2026.0
38,1,255.14059035501083,0,4,3,0.13751982,2026.0
39,0,139.39056211500105,0,3,1,0.030472258,2026.0
40,0,26.812752007966047,0,3,3,0.028949918,2026.0
41,0,133.73177613734546,0,3,1,0.031723473,2026.0
42,1,462.0035903095795,0,6,4,0.050918367,2026.0
43,1,431.96029540761873,0,5,4,0.09371732,2026.0
44,0,182.5696700940074,0,2,0,0.02344574,2026.0
45,1,193.54656984532687,0,3,4,0.18237558,2026.0
46,1,194.18835991296032,0,3,4,0.18360089,2026.0
47,1,162.51629517896816,0,5,0,0.12415475,2026.0
48,0,23.44668257649385,0,1,0,0.06046394,2026.0
49,0,122.68833069183366,0,3,4,0.03651007,2026.0
50,1,192.89014422682845,0,6,1,0.16535622,2026.0
51,0,179.60796204382999,0,2,0,0.007166598,2026.0
52,1,220.3684063951586,0,6,4,0.1498894,2026.0
53,0,1.0,0,1,5,0.017542128,2026.0
54,0,17.029881748581925,0,2,3,0.07785998,2026.0
55,1,146.9843668250199,0,4,0,0.13419767,2026.0
56,1,177.68747538636103,0,5,1,0.09144381,2026.0
57,1,3.0,0,3,5,0.15490644,2026.0
58,1,154.51106374771058,0,4,0,0.1222446,2026.0
59,1,565.3308795379122,0,6,4,0.050273206,2026.0
60,1,178.3528334163592,0,3,1,0.18530451,2026.0
61,1,223.90945603700678,0,5,0,0.059513785,2026.0
62,1,526.0863407387263,0,6,4,0.060500387,2026.0
63,1,23.068013256811618,0,5,2,0.081777364,2026.0
64,1,148.82903413361794,0,5,2,0.09254364,2026.0
65,1,284.4927829508148,0,5,3,0.07891133,2026.0
66,0,224.7719831318644,0,2,5,0.06132872,2026.0
67,0,194.91384452861053,0,2,0,0.026552442,2026.0
68,1,255.75191459028002,0,4,4,0.15208246,2026.0
69,1,130.02330326850918,0,5,2,0.084769025,2026.0
70,0,16.81498119775207,0,2,3,0.06458731,2026.0
71,1,158.80304147172762,0,4,0,0.10797755,2026.0
72,0,332.3651132367296,0,3,5,0.025149645,2026.0
73,0,142.5041929176909,0,3,4,0.04484952,2026.0
74,1,5.0,0,5,5,0.16028927,2026.0
75,1,270.0603698186366,0,4,4,0.14811401,2026.0
76,1,423.14979778193305,0,5,3,0.0935918,2026.0
77,0,135.4996170185269,0,2,1,0.041310668,2026.0
78,0,14.569137845947845,0,2,3,0.0044227787,2026.0
79,1,246.14439098541453,0,5,4,0.10147305,2026.0
80,0,15.852820166576688,0,2,3,0.06940876,2026.0
81,0,119.4217676505285,0,3,2,0.037550963,2026.0
82,0,88.18127414935626,0,1,4,0.0433057,2026.0
83,0,316.10329092689364,0,3,5,0.048126265,2026.0
84,0,76.81305429048189,0,2,1,0.032427475,2026.0
85,1,143.87421673779278,0,5,2,0.06729518,2026.0
86,1,284.16884457716236,0,5,1,0.096577786,2026.0
87,1,252.93099113109537,0,6,2,0.034321263,2026.0
88,0,234.87909024534363,0,5,3,0.0327776,2026.0
89,0,33.606861315511274,0,2,2,0.028739218,2026.0
90,0,1.0,0,1,5,0.03561086,2026.0
91,0,221.79575481204554,0,2,5,0.049769547,2026.0
92,0,238.40098693385139,0,2,5,0.060479518,2026.0
93,1,281.0733113892084,0,6,4,0.134651,2026.0
94,1,465.44389802253346,0,5,5,0.092402175,2026.0
95,1,5.0,0,5,5,0.124121964,2026.0
96,1,164.5575722824126,0,4,0,0.105628565,2026.0
97,0,12.954690810243147,0,2,3,0.016053474,2026.0
98,0,179.47209178045185,0,2,0,0.015913619,2026.0
99,0,10.899790278751057,0,1,3,0.014816593,2026.0
100,1,329.690901239194,0,6,4,0.16899799,2026.0
101,1,379.17899880011703,0,5,4,0.10909029,2026.0
102,0,13.358346677845516,0,1,3,0.021586472,2026.0
