user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
0,0,131.66755828327067,0,2,4,0.04031233,2030.0
1,1,270.77922990323475,0,5,4,0.103689894,2030.0
2,0,79.42392509044765,0,2,1,0.04860466,2030.0
3,1,418.98830109357186,0,6,3,0.14346182,2030.0
4,0,70.960016424266,0,2,1,0.03155896,2030.0
5,1,717.9011085338254,0,6,5,0.052289028,2030.0
6,1,258.1793098248687,0,4,3,0.16823426,2030.0
7,1,242.32625726178298,0,5,0,0.061581556,2030.0
8,1,172.7893360964821,0,3,1,0.18146868,2030.0
9,1,152.74549622150482,0,4,0,0.14493558,2030.0
10,1,624.1298098524294,0,6,5,0.05448069,2030.0
11,0,138.4077723456469,0,2,3,0.041172158,2030.0
12,0,16.12854255221478,0,1,0,0.06171145,2030.0
13,1,143.83972447484456,0,4,0,0.16876987,2030.0
14,0,103.03201554973538,0,2,5,0.040575642,2030.0
15,1,164.5461399759362,0,4,0,0.18698905,2030.0
16,0,1.0,0,1,5,0.054265402,2030.0
17,0,121.10619432428327,0,2,4,0.010304988,2030.0
18,0,126.9093399654573,0,2,4,0.009750919,2030.0
19,1,272.7244795599769,0,4,4,0.15682766,2030.0
20,1,278.5947542613474,0,4,3,0.16251266,2030.0
21,1,200.85550135720976,0,5,1,0.13240361,2030.0
22,0,86.81506440581256,0,2,0,0.08051756,2030.0
23,1,268.80717252885063,0,6,2,0.08614129,2030.0
24,1,167.7442808322266,0,6,2,0.041495547,2030.0
25,0,154.64159966224503,0,2,2,0.017040772,2030.0
26,1,281.4219262798463,0,6,2,0.07731332,2030.0
27,1,158.59619730644445,0,4,2,0.16628566,2030.0
28,0,48.23645518619159,0,1,3,0.09730074,2030.0
29,0,77.39849990114482,0,2,1,0.04205308,2030.0
30,0,127.25313762874407,0,2,4,0.0351138,2030.0
31,1,152.13728138211397,0,4,0,0.16344815,2030.0
32,1,256.9329617284261,0,4,3,0.13944079,2030.0
33,0,47.407202469479444,0,1,3,0.05189213,2030.0
34,1,422.1894230788587,0,5,3,0.082334,2030.0
35,1,271.47779240104006,0,4,5,0.17558056,2030.0
36,1,273.6953545431031,0,4,4,0.11553081,2030.0
37,1,111.98337616477028,0,3,3,0.17712347,2030.0
