user_idx,recourse,cost,elicitation,length,mixture_class,model_score
0,0,92.80692083510249,0,2,4,0.04031233
1,1,270.77922990323475,0,5,4,0.103689894
2,0,61.72924057018477,0,1,1,0.04860466
3,1,418.98830109357186,0,6,3,0.14346182
4,0,53.05503204584931,0,1,1,0.03155896
5,1,717.9011085338254,0,6,5,0.052289028
6,1,258.1793098248687,0,4,3,0.16823426
7,1,242.32625726178298,0,5,0,0.061581556
8,1,172.7893360964821,0,3,1,0.18146868
9,1,152.74549622150482,0,4,0,0.14493558
10,1,624.1298098524294,0,6,5,0.05448069
11,0,19.768234785780898,0,3,3,0.041172158
12,0,152.8837056820863,0,1,0,0.06171145
13,1,143.83972447484456,0,4,0,0.16876987
14,0,1.0,0,1,5,0.040575642
15,1,164.5461399759362,0,4,0,0.18698905
16,0,1.0,0,1,5,0.054265402
17,0,124.4597065741168,0,3,4,0.010304988
18,0,86.7030184642915,0,1,4,0.009750919
19,1,272.7244795599769,0,4,4,0.15682766
20,1,278.5947542613474,0,4,3,0.16251266
21,1,200.85550135720976,0,5,1,0.13240361
22,0,29.780992108332644,0,1,0,0.08051756
23,1,21.671363265412282,0,4,2,0.08614129
24,1,167.7442808322266,0,6,2,0.041495547
25,0,37.35984626304205,0,2,2,0.017040772
26,1,281.4219262798463,0,6,2,0.07731332
27,1,49.20812877369518,0,4,2,0.16628566
28,0,12.590593514531324,0,1,3,0.09730074
29,0,124.88655631279724,0,2,1,0.04205308
30,0,87.33923327025781,0,1,4,0.0351138
31,1,152.13728138211397,0,4,0,0.16344815
32,1,256.9329617284261,0,4,3,0.13944079
33,0,23.96195730997337,0,2,3,0.05189213
34,1,422.1894230788587,0,5,3,0.082334
35,1,295.5348018717416,0,4,5,0.17558056
36,1,273.6953545431031,0,4,4,0.11553081
37,1,111.98337616477028,0,3,3,0.17712347
38,1,255.14059035501083,0,4,3,0.13751982
39,0,139.39056211500105,0,3,1,0.030472258
40,0,12.34878622606672,0,1,3,0.028949918
41,0,133.73177613734546,0,3,1,0.031723473
42,1,462.0035903095795,0,6,4,0.050918367
43,1,431.96029540761873,0,5,4,0.09371732
44,0,182.5696700940074,0,2,0,0.02344574
45,1,193.54656984532687,0,3,4,0.18237558
46,1,194.18835991296032,0,3,4,0.18360089
47,1,155.17950542035976,0,4,0,0.12415475
48,0,23.44668257649385,0,1,0,0.06046394
49,0,122.68833069183366,0,3,4,0.03651007
50,1,287.32675180349247,0,4,1,0.16535622
51,0,179.60796204382999,0,2,0,0.007166598
52,1,220.3684063951586,0,6,4,0.1498894
53,0,233.7511580313613,0,2,5,0.017542128
54,0,16.029881748581925,0,1,3,0.07785998
55,1,146.9843668250199,0,4,0,0.13419767
56,1,177.68747538636103,0,5,1,0.09144381
57,1,293.3473053467968,0,4,5,0.15490644
58,1,154.51106374771058,0,4,0,0.1222446
59,1,565.3308795379122,0,6,4,0.050273206
60,1,178.3528334163592,0,3,1,0.18530451
61,1,223.90945603700678,0,5,0,0.059513785
62,1,526.0863407387263,0,6,4,0.060500387
63,1,147.37636026829645,0,5,2,0.081777364
64,1,148.82903413361794,0,5,2,0.09254364
65,1,284.4927829508148,0,5,3,0.07891133
66,0,224.7719831318644,0,2,5,0.06132872
67,0,194.91384452861053,0,2,0,0.026552442
68,1,255.75191459028002,0,4,4,0.15208246
69,1,280.3352633820218,0,6,2,0.084769025
70,0,15.814981197752068,0,1,3,0.06458731
71,1,158.80304147172762,0,4,0,0.10797755
72,0,332.3651132367296,0,3,5,0.025149645
73,0,142.5041929176909,0,3,4,0.04484952
74,1,369.522663825764,0,4,5,0.16028927
75,1,270.0603698186366,0,4,4,0.14811401
76,1,423.14979778193305,0,5,3,0.0935918
77,0,58.28742987198695,0,2,1,0.041310668
78,0,14.569137845947845,0,2,3,0.0044227787
79,1,246.14439098541453,0,5,4,0.10147305
80,0,15.852820166576688,0,2,3,0.06940876
81,0,119.4217676505285,0,3,2,0.037550963
82,0,88.18127414935626,0,1,4,0.0433057
83,0,316.10329092689364,0,3,5,0.048126265
84,0,75.81305429048189,0,1,1,0.032427475
85,1,143.87421673779278,0,5,2,0.06729518
