user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
0,False,21.533478232993126,0,2,2,0.09898447,2032.0
1,True,141.91606554105107,0,2,3,0.38139287,2032.0
2,True,62.77498791351987,0,2,0,0.38551393,2032.0
3,False,182.80757422592836,0,4,4,0.029885905,2032.0
4,True,138.47667959501305,0,2,4,0.3937919,2032.0
5,True,2.0,0,2,5,0.42764947,2032.0
6,False,437.04658976148266,0,5,3,0.016643932,2032.0
7,True,18.363256694216652,0,2,2,0.43573368,2032.0
8,False,667.3552837773169,0,7,3,3.7627117e-06,2032.0
9,True,21.906787638391254,0,2,2,0.47582033,2032.0
10,True,54.3881505004192,0,2,3,0.39795265,2032.0
11,True,94.1713290211848,0,4,1,0.3614614,2032.0
12,True,135.19380304545876,0,2,4,0.38744333,2032.0
13,False,62.94039886856213,0,3,0,0.110906035,2032.0
14,True,18.525375689229502,0,2,2,0.44907856,2032.0
15,True,65.81175820300469,0,2,0,0.33352366,2032.0
16,False,286.6326694653187,0,4,1,0.073802136,2032.0
17,True,67.25886473486514,0,2,0,0.49291193,2032.0
18,True,71.65636511670687,0,4,2,0.08119812,2032.0
19,True,2.0,0,2,5,0.38945755,2032.0
20,True,324.03956815943354,0,7,3,0.02116217,2032.0
21,False,205.23928201816594,0,3,1,0.26291665,2032.0
22,True,128.16489374749662,0,2,4,0.44882575,2032.0
23,True,70.7102420161641,0,2,0,0.37180766,2032.0
24,True,122.0106955921854,0,2,4,0.46906167,2032.0
25,True,75.27197535096481,0,2,4,0.46920225,2032.0
26,False,136.76652330247282,0,2,4,0.23702702,2032.0
27,True,115.74403943268413,0,2,4,0.35316876,2032.0
28,False,2.0,0,2,5,0.14384003,2032.0
29,True,62.902365503841196,0,2,0,0.48393998,2032.0
30,True,25.05894859181614,0,2,2,0.39855322,2032.0
31,False,517.3385687796724,0,5,4,0.006809705,2032.0
32,True,60.011607361171215,0,2,0,0.44573516,2032.0
33,True,161.38069309782173,0,3,5,0.2747409,2032.0
34,True,53.04488457122822,0,2,3,0.4701253,2032.0
35,True,81.95803842912345,0,2,1,0.26848593,2032.0
36,False,110.93457166341419,0,3,3,0.069772206,2032.0
37,True,93.88851494915626,0,2,1,0.27467605,2032.0
38,True,2.0,0,2,5,0.4440861,2032.0
39,True,28.496143386113765,0,2,2,0.4512459,2032.0
40,True,72.94365101011692,0,2,1,0.4054434,2032.0
41,True,117.80137279492445,0,3,4,0.30420634,2032.0
42,True,18.729571102269702,0,2,2,0.32094273,2032.0
43,True,263.42366510809296,0,5,2,0.12980095,2032.0
44,True,2.0,0,2,5,0.38182372,2032.0
45,True,929.5666106168719,0,5,5,0.17907842,2032.0
46,True,2.0,0,2,5,0.3689482,2032.0
47,True,68.79026815974838,0,2,1,0.29668924,2032.0
48,True,75.08551322926222,0,2,1,0.38022488,2032.0
49,True,279.33384618599166,0,4,1,0.25542754,2032.0
50,True,108.26423195060809,0,3,3,0.24427184,2032.0
51,True,118.00789774390378,0,3,2,0.19259764,2032.0
52,False,439.0324590809964,0,7,3,0.0148953395,2032.0
53,True,273.50972461342286,0,4,5,0.23262435,2032.0
54,True,50.34906733778462,0,2,3,0.41967997,2032.0
55,True,125.35222803827943,0,4,4,0.44244036,2032.0
56,True,122.18564054346035,0,2,4,0.38725168,2032.0
57,True,62.88146130645441,0,2,0,0.3893526,2032.0
58,True,61.734653555756395,0,2,0,0.45700473,2032.0
59,True,770.6799022622649,0,7,5,0.05355907,2032.0
60,True,111.98337616477028,0,3,3,0.17712347,2032.0
61,True,62.15666777783849,0,2,0,0.36937234,2032.0
62,True,107.40632685513009,0,3,3,0.21894126,2032.0
63,True,73.81411609383201,0,4,1,0.42190775,2032.0
64,True,58.09204877411412,0,2,3,0.46836728,2032.0
65,False,183.7468150723504,0,3,4,0.0495892,2032.0
66,True,21.910684648930086,0,2,2,0.28812122,2032.0
67,True,8.432415659168967,0,4,1,0.48952356,2032.0
68,True,2.0,0,2,5,0.39331087,2032.0
69,True,172.9048352043559,0,3,4,0.28451428,2032.0
70,False,267.44081793847204,0,4,1,0.09551787,2032.0
71,True,284.60399756991023,0,4,1,0.18105909,2032.0
72,True,140.22767477445458,0,3,5,0.22406389,2032.0
73,True,330.2315363710966,0,3,1,0.36595842,2032.0
74,True,2.0,0,2,5,0.45090666,2032.0
75,False,83.82282335390072,0,2,1,0.04248625,2032.0
76,True,199.44196188484676,0,3,1,0.36208865,2032.0
77,True,73.43355894876095,0,2,0,0.31619415,2032.0
78,True,74.69331891890849,0,2,1,0.36974776,2032.0
79,True,62.49871752775347,0,2,0,0.48677397,2032.0
80,True,389.5654139288589,0,4,3,0.23054734,2032.0
81,True,30.18381539859818,0,2,2,0.34845668,2032.0
82,True,16.345456921323006,0,2,2,0.33989123,2032.0
83,True,18.745676893769847,0,2,2,0.36896226,2032.0
84,True,646.042685669821,0,6,5,0.09821548,2032.0
85,True,69.97313065067911,0,2,1,0.33328345,2032.0
86,True,40.24874148415998,0,3,2,0.1883943,2032.0
87,True,17.72927709426566,0,2,2,0.39435813,2032.0
88,False,169.1178019339386,0,3,0,0.11898716,2032.0
89,True,54.168845519873855,0,2,3,0.36554846,2032.0
90,True,2.0,0,2,5,0.3399656,2032.0
91,True,60.16817676473703,0,2,0,0.33165437,2032.0
92,True,65.25332700705636,0,3,0,0.28240612,2032.0
93,True,70.33671047233653,0,2,1,0.30861905,2032.0
94,True,49.85690168948878,0,2,3,0.35949633,2032.0
95,True,62.72251255587046,0,2,0,0.35923228,2032.0
96,True,2.0,0,2,5,0.43642706,2032.0
97,False,2.0,0,2,5,0.21530817,2032.0
98,True,80.50074452372559,0,2,1,0.44702718,2032.0
99,True,197.78013505783585,0,3,3,0.025862535,2032.0
100,True,236.25667747835806,0,4,3,0.39646238,2032.0
101,True,288.15078635925363,0,4,2,0.25159973,2032.0
102,True,20.210658568284504,0,2,2,0.47128367,2032.0
103,True,166.89647049050734,0,4,2,0.13613944,2032.0
104,True,2.0,0,2,5,0.36576188,2032.0
105,True,2.0,0,2,5,0.3833653,2032.0
106,False,138.2761781430487,0,3,5,0.06883639,2032.0
107,True,76.05322137168629,0,2,1,0.33127505,2032.0
108,True,148.04099000565944,0,2,4,0.2840253,2032.0
109,False,511.3460172885593,0,5,5,0.07401914,2032.0
110,True,2.0,0,2,5,0.42120993,2032.0
111,False,206.1055719621372,0,3,3,0.35371596,2032.0
112,True,254.61498066475585,0,3,3,0.14696336,2032.0
113,False,108.7003539164857,0,3,0,0.14358589,2032.0
114,True,74.58282790988558,0,4,1,0.46147487,2032.0
115,False,147.9148560816225,0,4,2,0.022331188,2032.0
116,False,88.89431469515985,0,2,4,0.48019066,2032.0
117,True,52.95583394919633,0,2,3,0.31852487,2032.0
118,True,151.43238031800018,0,5,2,0.084769025,2032.0
119,True,22.354898521549142,0,2,2,0.3703566,2032.0
120,True,90.80995514411003,0,2,1,0.34939313,2032.0
121,True,82.61964630988767,0,2,1,0.43557742,2032.0
122,True,625.1623785694569,0,5,5,0.28479296,2032.0
123,True,167.60563866495258,0,5,1,0.20905356,2032.0
