user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
0,0,131.66755828327067,0,2,4,0.04031233,2029.0
1,1,270.77922990323475,0,5,4,0.103689894,2029.0
2,0,79.42392509044765,0,2,1,0.04860466,2029.0
3,1,418.98830109357186,0,6,3,0.14346182,2029.0
4,0,70.960016424266,0,2,1,0.03155896,2029.0
5,1,717.9011085338254,0,6,5,0.052289028,2029.0
6,1,258.1793098248687,0,4,3,0.16823426,2029.0
7,1,242.32625726178298,0,5,0,0.061581556,2029.0
8,1,172.7893360964821,0,3,1,0.18146868,2029.0
9,1,152.74549622150482,0,4,0,0.14493558,2029.0
10,1,624.1298098524294,0,6,5,0.05448069,2029.0
11,0,138.4077723456469,0,2,3,0.041172158,2029.0
12,0,16.12854255221478,0,1,0,0.06171145,2029.0
13,1,143.83972447484456,0,4,0,0.16876987,2029.0
14,0,103.03201554973538,0,2,5,0.040575642,2029.0
15,1,164.5461399759362,0,4,0,0.18698905,2029.0
16,0,1.0,0,1,5,0.054265402,2029.0
17,0,121.10619432428327,0,2,4,0.010304988,2029.0
18,0,126.9093399654573,0,2,4,0.009750919,2029.0
19,1,272.7244795599769,0,4,4,0.15682766,2029.0
20,1,278.5947542613474,0,4,3,0.16251266,2029.0
21,1,200.85550135720976,0,5,1,0.13240361,2029.0
22,0,86.81506440581256,0,2,0,0.08051756,2029.0
23,1,268.80717252885063,0,6,2,0.08614129,2029.0
24,1,167.7442808322266,0,6,2,0.041495547,2029.0
25,0,154.64159966224503,0,2,2,0.017040772,2029.0
26,1,281.4219262798463,0,6,2,0.07731332,2029.0
27,1,158.59619730644445,0,4,2,0.16628566,2029.0
28,0,48.23645518619159,0,1,3,0.09730074,2029.0
29,0,77.39849990114482,0,2,1,0.04205308,2029.0
30,0,127.25313762874407,0,2,4,0.0351138,2029.0
31,1,152.13728138211397,0,4,0,0.16344815,2029.0
32,1,256.9329617284261,0,4,3,0.13944079,2029.0
33,0,47.407202469479444,0,1,3,0.05189213,2029.0
34,1,422.1894230788587,0,5,3,0.082334,2029.0
35,1,271.47779240104006,0,4,5,0.17558056,2029.0
36,1,273.6953545431031,0,4,4,0.11553081,2029.0
37,1,111.98337616477028,0,3,3,0.17712347,2029.0
38,1,255.14059035501083,0,4,3,0.13751982,2029.0
39,0,85.7219167904018,0,1,1,0.030472258,2029.0
40,0,48.106207105166376,0,1,3,0.028949918,2029.0
41,0,74.55317974692187,0,1,1,0.031723473,2029.0
42,1,462.0035903095795,0,6,4,0.050918367,2029.0
43,1,431.96029540761873,0,5,4,0.09371732,2029.0
44,0,73.80949068888512,0,2,0,0.02344574,2029.0
45,1,193.54656984532687,0,3,4,0.18237558,2029.0
46,1,194.18835991296032,0,3,4,0.18360089,2029.0
47,1,155.17950542035976,0,4,0,0.12415475,2029.0
48,0,58.46173650595915,0,1,0,0.06046394,2029.0
49,0,111.48938775509846,0,1,4,0.03651007,2029.0
50,1,183.23405494041077,0,4,1,0.16535622,2029.0
51,0,78.06576331904435,0,2,0,0.007166598,2029.0
52,1,371.10481573313723,0,3,4,0.1498894,2029.0
53,0,1.0,0,1,5,0.017542128,2029.0
54,0,148.04922400527482,0,1,3,0.07785998,2029.0
55,1,146.9843668250199,0,4,0,0.13419767,2029.0
56,1,177.68747538636103,0,5,1,0.09144381,2029.0
57,1,293.3473053467968,0,4,5,0.15490644,2029.0
58,1,154.51106374771058,0,4,0,0.1222446,2029.0
59,1,565.3308795379122,0,6,4,0.050273206,2029.0
60,1,178.3528334163592,0,3,1,0.18530451,2029.0
61,1,223.90945603700678,0,5,0,0.059513785,2029.0
62,1,526.0863407387263,0,6,4,0.060500387,2029.0
63,1,147.37636026829645,0,5,2,0.081777364,2029.0
64,1,148.82903413361794,0,5,2,0.09254364,2029.0
65,1,284.4927829508148,0,5,3,0.07891133,2029.0
66,0,122.34578126255725,0,2,5,0.06132872,2029.0
67,0,75.03887182747565,0,2,0,0.026552442,2029.0
68,1,207.80426674243057,0,5,4,0.15208246,2029.0
69,1,280.3352633820218,0,6,2,0.084769025,2029.0
70,0,134.8097881899854,0,1,3,0.06458731,2029.0
